Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;8;18;Muy buena / Oso ona;30;21;Muy buena / Oso ona;4;5;Muy buena / Oso ona;194;94;1023,2;2,6;10,3;0,94
29/10/2017;06:00;9;19;Muy buena / Oso ona;33;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;196;94;1023,5;0,2;10,1;0,97
29/10/2017;05:00;8;20;Muy buena / Oso ona;32;15;Muy buena / Oso ona;4;4;Muy buena / Oso ona;185;94;1023,6;0,2;10,4;0,59
29/10/2017;04:00;7;21;Muy buena / Oso ona;31;17;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;202;94;1023,5;0,2;10,4;0,74
29/10/2017;03:00;7;23;Muy buena / Oso ona;34;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;203;94;1023,6;0,2;10,5;0,71
29/10/2017;02:00;7;26;Muy buena / Oso ona;37;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;203;93;1024;0,2;10,8;0,88
29/10/2017;01:00;13;28;Muy buena / Oso ona;47;14;Muy buena / Oso ona;4;4;Muy buena / Oso ona;194;93;1024,4;0,2;11,1;0,53
28/10/2017;24:00;21;32;Muy buena / Oso ona;64;15;Muy buena / Oso ona;5;5;Muy buena / Oso ona;202;92;1024,7;0,2;11,4;0,62
28/10/2017;23:00;14;34;Muy buena / Oso ona;55;13;Muy buena / Oso ona;4;4;Muy buena / Oso ona;201;91;1024,9;0,2;11,8;0,79
28/10/2017;22:00;17;31;Muy buena / Oso ona;56;15;Muy buena / Oso ona;4;5;Muy buena / Oso ona;209;90;1025,1;0,2;12;0,56
28/10/2017;21:00;12;41;Muy buena / Oso ona;59;15;Muy buena / Oso ona;3;5;Muy buena / Oso ona;222;89;1025,1;0,2;12,6;0,49
28/10/2017;20:00;17;48;Muy buena / Oso ona;73;21;Muy buena / Oso ona;3;5;Muy buena / Oso ona;214;87;1025;0,2;13;0,8
28/10/2017;19:00;27;52;Muy buena / Oso ona;93;16;Muy buena / Oso ona;3;5;Muy buena / Oso ona;313;86;1025,1;0,2;13,5;0,15
28/10/2017;18:00;10;34;Muy buena / Oso ona;49;14;Muy buena / Oso ona;3;5;Muy buena / Oso ona;344;82;1025;1,3;14,2;0,34
28/10/2017;17:00;11;21;Muy buena / Oso ona;39;10;Muy buena / Oso ona;3;4;Muy buena / Oso ona;339;76;1024,7;23;16;1,07
28/10/2017;16:00;9;19;Muy buena / Oso ona;33;14;Muy buena / Oso ona;2;4;Muy buena / Oso ona;355;75;1024,5;85,7;16,9;1,29
28/10/2017;15:00;12;20;Muy buena / Oso ona;38;15;Muy buena / Oso ona;3;5;Muy buena / Oso ona;18;76;1024,6;171,6;17,1;1,74
28/10/2017;14:00;12;16;Muy buena / Oso ona;34;13;Muy buena / Oso ona;3;5;Muy buena / Oso ona;8;76;1024,9;199,4;17;2,17
28/10/2017;13:00;11;20;Muy buena / Oso ona;36;15;Muy buena / Oso ona;3;5;Muy buena / Oso ona;6;77;1025,4;155;17,1;2,3
28/10/2017;12:00;19;32;Muy buena / Oso ona;61;10;Muy buena / Oso ona;5;4;Muy buena / Oso ona;12;81;1026,1;294,3;17,6;0,94
28/10/2017;11:00;26;43;Muy buena / Oso ona;83;29;Muy buena / Oso ona;12;4;Muy buena / Oso ona;311;92;1026,7;118,1;16,2;0,22
28/10/2017;10:00;39;37;Muy buena / Oso ona;97;21;Muy buena / Oso ona;18;5;Muy buena / Oso ona;17;94;1026,8;62,8;15,3;0,14
28/10/2017;09:00;39;31;Muy buena / Oso ona;91;19;Muy buena / Oso ona;23;5;Muy buena / Oso ona;323;95;1026,7;52;14,7;0,37
28/10/2017;08:00;27;25;Muy buena / Oso ona;67;17;Muy buena / Oso ona;35;5;Muy buena / Oso ona;323;95;1026,5;27,8;14,2;0,18
28/10/2017;07:00;19;29;Muy buena / Oso ona;58;14;Muy buena / Oso ona;5;4;Muy buena / Oso ona;336;95;1026,2;2,5;14;0,13
28/10/2017;06:00;11;25;Muy buena / Oso ona;42;10;Muy buena / Oso ona;4;4;Muy buena / Oso ona;271;94;1026,2;0,2;14,7;0,11
28/10/2017;05:00;5;20;Muy buena / Oso ona;28;11;Muy buena / Oso ona;4;4;Muy buena / Oso ona;298;93;1026,4;0,2;15;0,08
28/10/2017;04:00;5;15;Muy buena / Oso ona;22;13;Muy buena / Oso ona;4;;Sin datos / Daturik gabe;293;92;1026,5;0,2;15,3;0,23
28/10/2017;03:00;3;12;Muy buena / Oso ona;15;12;Muy buena / Oso ona;4;4;Muy buena / Oso ona;311;90;1026,7;0,2;15,5;0,09
28/10/2017;02:00;2;9;Muy buena / Oso ona;11;11;Muy buena / Oso ona;3;5;Muy buena / Oso ona;250;88;1027;0,2;15,6;0,12
28/10/2017;01:00;4;4;Muy buena / Oso ona;9;11;Muy buena / Oso ona;3;4;Muy buena / Oso ona;222;86;1027,4;0,2;15,6;0,93
27/10/2017;24:00;2;4;Muy buena / Oso ona;7;11;Muy buena / Oso ona;3;5;Muy buena / Oso ona;327;85;1027,7;0,2;15,9;1,1
27/10/2017;23:00;3;8;Muy buena / Oso ona;13;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;352;83;1027,8;0,2;16,6;2,38
27/10/2017;22:00;2;7;Muy buena / Oso ona;10;12;Muy buena / Oso ona;3;4;Muy buena / Oso ona;334;80;1027,9;0,2;16,8;1,41
27/10/2017;21:00;7;15;Muy buena / Oso ona;26;7;Muy buena / Oso ona;3;4;Muy buena / Oso ona;349;83;1027,8;0,2;16,8;1,5
27/10/2017;20:00;9;23;Muy buena / Oso ona;36;16;Muy buena / Oso ona;3;4;Muy buena / Oso ona;357;88;1027,6;0,2;16,9;1,83
27/10/2017;19:00;17;36;Muy buena / Oso ona;61;16;Muy buena / Oso ona;3;4;Muy buena / Oso ona;2;88;1027,5;0,2;17;1,49
27/10/2017;18:00;12;20;Muy buena / Oso ona;39;19;Muy buena / Oso ona;3;5;Muy buena / Oso ona;347;87;1027,3;0,7;17,5;2
27/10/2017;17:00;10;23;Muy buena / Oso ona;38;16;Muy buena / Oso ona;3;5;Muy buena / Oso ona;333;87;1027,3;12,8;17,9;1,01
27/10/2017;16:00;10;22;Muy buena / Oso ona;37;19;Muy buena / Oso ona;3;4;Muy buena / Oso ona;330;89;1027,4;43,3;18;1,57
27/10/2017;15:00;17;30;Muy buena / Oso ona;56;26;Muy buena / Oso ona;3;5;Muy buena / Oso ona;338;89;1027,4;71;18;1,82
27/10/2017;14:00;11;21;Muy buena / Oso ona;37;27;Muy buena / Oso ona;3;5;Muy buena / Oso ona;345;89;1027,5;83,9;18,1;1,68
27/10/2017;13:00;22;33;Muy buena / Oso ona;67;44;Buena / Ona;4;5;Muy buena / Oso ona;346;80;1027,7;89,9;18,6;1,07
27/10/2017;12:00;38;44;Muy buena / Oso ona;101;44;Buena / Ona;4;5;Muy buena / Oso ona;201;78;1028;192,9;17,5;0,87
27/10/2017;11:00;48;39;Muy buena / Oso ona;112;44;Buena / Ona;4;5;Muy buena / Oso ona;212;82;1028,1;224,1;15,7;1,68
27/10/2017;10:00;51;39;Muy buena / Oso ona;117;39;Muy buena / Oso ona;4;5;Muy buena / Oso ona;205;86;1028;56,7;14,2;1,74
27/10/2017;09:00;49;37;Muy buena / Oso ona;113;39;Muy buena / Oso ona;4;5;Muy buena / Oso ona;205;88;1027,8;51,8;13,5;2,28
27/10/2017;08:00;56;39;Muy buena / Oso ona;125;39;Muy buena / Oso ona;4;5;Muy buena / Oso ona;207;88;1027,5;13,4;12,9;2,11
27/10/2017;07:00;51;41;Muy buena / Oso ona;119;30;Muy buena / Oso ona;4;5;Muy buena / Oso ona;206;88;1027,2;1,7;12,4;2,47
27/10/2017;06:00;26;39;Muy buena / Oso ona;79;24;Muy buena / Oso ona;4;4;Muy buena / Oso ona;206;88;1027;0,2;12,3;2,17
27/10/2017;05:00;12;34;Muy buena / Oso ona;52;24;Muy buena / Oso ona;3;4;Muy buena / Oso ona;205;90;1026,7;0,2;12;1,82
27/10/2017;04:00;4;25;Muy buena / Oso ona;32;21;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;201;90;1026,2;0,2;12,1;1,98
27/10/2017;03:00;5;27;Muy buena / Oso ona;35;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;201;89;1026,2;0,2;12,2;2,09
27/10/2017;02:00;6;33;Muy buena / Oso ona;42;19;Muy buena / Oso ona;3;4;Muy buena / Oso ona;203;88;1026,5;0,2;12,5;2,01
27/10/2017;01:00;5;36;Muy buena / Oso ona;43;19;Muy buena / Oso ona;4;4;Muy buena / Oso ona;211;85;1026,6;0,2;12,9;1,68
26/10/2017;24:00;5;40;Muy buena / Oso ona;48;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;209;82;1026,4;0,2;13,8;1,39
26/10/2017;23:00;6;39;Muy buena / Oso ona;49;20;Muy buena / Oso ona;4;4;Muy buena / Oso ona;199;80;1026,1;0,2;14,3;1,47
26/10/2017;22:00;7;47;Muy buena / Oso ona;58;21;Muy buena / Oso ona;3;4;Muy buena / Oso ona;206;81;1025,6;0,2;14,8;1,53
26/10/2017;21:00;10;50;Muy buena / Oso ona;64;24;Muy buena / Oso ona;3;5;Muy buena / Oso ona;201;82;1025;0,2;15,2;1,38
26/10/2017;20:00;28;58;Muy buena / Oso ona;100;25;Muy buena / Oso ona;11;5;Muy buena / Oso ona;204;83;1024,8;0,2;15,8;0,94
26/10/2017;19:00;29;46;Muy buena / Oso ona;89;28;Muy buena / Oso ona;90;4;Muy buena / Oso ona;207;81;1024,4;0,2;16,8;0,26
26/10/2017;18:00;33;73;Muy buena / Oso ona;123;35;Muy buena / Oso ona;5;4;Muy buena / Oso ona;62;74;1023,6;1,6;18,4;0,18
26/10/2017;17:00;10;30;Muy buena / Oso ona;46;28;Muy buena / Oso ona;3;4;Muy buena / Oso ona;310;66;1023,1;34;20,2;0,87
26/10/2017;16:00;9;21;Muy buena / Oso ona;33;23;Muy buena / Oso ona;3;4;Muy buena / Oso ona;278;57;1022,6;174,2;23;1,18
26/10/2017;15:00;15;33;Muy buena / Oso ona;55;38;Muy buena / Oso ona;4;4;Muy buena / Oso ona;135;62;1022,5;300,2;23,7;0,37
26/10/2017;14:00;12;24;Muy buena / Oso ona;42;41;Buena / Ona;3;5;Muy buena / Oso ona;355;72;1022,5;401,2;20,9;2,53
26/10/2017;13:00;13;23;Muy buena / Oso ona;43;42;Buena / Ona;3;4;Muy buena / Oso ona;347;71;1022,3;474,6;20,9;2,99
26/10/2017;12:00;24;35;Muy buena / Oso ona;72;46;Buena / Ona;3;4;Muy buena / Oso ona;17;68;1022;484,5;21,8;1,94
26/10/2017;11:00;37;43;Muy buena / Oso ona;99;50;Buena / Ona;3;5;Muy buena / Oso ona;358;60;1021,2;467,3;23;1,76
26/10/2017;10:00;39;53;Muy buena / Oso ona;113;35;Muy buena / Oso ona;4;4;Muy buena / Oso ona;215;48;1020,2;385,5;23,7;0,84
26/10/2017;09:00;50;59;Muy buena / Oso ona;136;30;Muy buena / Oso ona;4;5;Muy buena / Oso ona;205;55;1019,8;260,4;20,6;1,21
26/10/2017;08:00;103;67;Muy buena / Oso ona;225;32;Muy buena / Oso ona;6;5;Muy buena / Oso ona;210;63;1019,3;101,9;17,7;1,56
26/10/2017;07:00;166;63;Muy buena / Oso ona;317;32;Muy buena / Oso ona;10;6;Muy buena / Oso ona;219;70;1018,6;4,7;15,9;0,51
26/10/2017;06:00;65;54;Muy buena / Oso ona;154;21;Muy buena / Oso ona;8;5;Muy buena / Oso ona;224;65;1017,9;0,2;17,1;1,23
26/10/2017;05:00;31;30;Muy buena / Oso ona;77;17;Muy buena / Oso ona;18;5;Muy buena / Oso ona;201;83;1017,6;0,2;14,3;0,32
26/10/2017;04:00;21;23;Muy buena / Oso ona;55;18;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;162;86;1017,4;0,2;14,1;0,15
26/10/2017;03:00;16;21;Muy buena / Oso ona;45;16;Muy buena / Oso ona;20;4;Muy buena / Oso ona;315;86;1017,2;0,2;14;0,25
26/10/2017;02:00;19;22;Muy buena / Oso ona;52;19;Muy buena / Oso ona;29;4;Muy buena / Oso ona;315;82;1017,2;0,2;14,6;0,06
26/10/2017;01:00;14;25;Muy buena / Oso ona;47;18;Muy buena / Oso ona;27;4;Muy buena / Oso ona;240;79;1017,3;0,2;15,4;0,06
25/10/2017;24:00;4;36;Muy buena / Oso ona;42;18;Muy buena / Oso ona;4;4;Muy buena / Oso ona;220;71;1017,7;0,2;17;1,92
25/10/2017;23:00;3;39;Muy buena / Oso ona;44;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;216;72;1017,7;0,2;17,2;2,37
25/10/2017;22:00;6;45;Muy buena / Oso ona;54;21;Muy buena / Oso ona;3;4;Muy buena / Oso ona;216;74;1017,6;0,2;17,6;2,29
25/10/2017;21:00;25;53;Muy buena / Oso ona;92;27;Muy buena / Oso ona;3;4;Muy buena / Oso ona;204;82;1017,3;0,2;17;2,02
25/10/2017;20:00;48;60;Muy buena / Oso ona;134;39;Muy buena / Oso ona;4;5;Muy buena / Oso ona;194;85;1017,4;0,2;16,9;1,26
25/10/2017;19:00;39;62;Muy buena / Oso ona;122;37;Muy buena / Oso ona;4;4;Muy buena / Oso ona;205;84;1017,5;0,2;16,9;0,28
25/10/2017;18:00;15;50;Muy buena / Oso ona;73;37;Muy buena / Oso ona;3;4;Muy buena / Oso ona;327;81;1017,4;1,7;18,2;0,6
25/10/2017;17:00;8;39;Muy buena / Oso ona;52;47;Buena / Ona;3;4;Muy buena / Oso ona;308;72;1017,1;32,3;20,3;1,51
25/10/2017;16:00;13;45;Muy buena / Oso ona;65;69;Mejorable / Hobetzeko modukoa;3;4;Muy buena / Oso ona;293;61;1016,8;183,4;23,9;1,4
25/10/2017;15:00;12;38;Muy buena / Oso ona;56;56;Buena / Ona;3;4;Muy buena / Oso ona;290;57;1016,7;321,1;24,6;1,25
25/10/2017;14:00;23;45;Muy buena / Oso ona;81;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;336;51;1016,9;425,9;25,2;1,11
25/10/2017;13:00;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;54;;;;;0,72
25/10/2017;12:00;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;;;;;
25/10/2017;11:00;35;48;Muy buena / Oso ona;102;31;Muy buena / Oso ona;13;7;Muy buena / Oso ona;70;55;1018,6;467,9;21,6;0,33
25/10/2017;10:00;42;37;Muy buena / Oso ona;100;30;Muy buena / Oso ona;3;6;Muy buena / Oso ona;203;67;1018,9;382;17,7;1,27
25/10/2017;09:00;45;36;Muy buena / Oso ona;105;28;Muy buena / Oso ona;3;7;Muy buena / Oso ona;214;74;1018,6;256,9;14,9;2,29
25/10/2017;08:00;56;41;Muy buena / Oso ona;127;29;Muy buena / Oso ona;4;7;Muy buena / Oso ona;207;78;1018,2;104,5;13,6;2,14
25/10/2017;07:00;59;46;Muy buena / Oso ona;135;26;Muy buena / Oso ona;4;6;Muy buena / Oso ona;207;79;1017,5;5,7;13,4;2,18
25/10/2017;06:00;32;41;Muy buena / Oso ona;89;21;Muy buena / Oso ona;3;7;Muy buena / Oso ona;206;79;1017,3;0,2;13,6;2,01
25/10/2017;05:00;14;35;Muy buena / Oso ona;57;19;Muy buena / Oso ona;3;7;Muy buena / Oso ona;209;78;1017;0,2;13,8;2,52
25/10/2017;04:00;5;31;Muy buena / Oso ona;39;17;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;208;79;1016,8;0,2;14;2,56
25/10/2017;03:00;5;27;Muy buena / Oso ona;34;15;Muy buena / Oso ona;3;7;Muy buena / Oso ona;204;81;1017,1;0,2;14,2;2,27
25/10/2017;02:00;3;25;Muy buena / Oso ona;29;15;Muy buena / Oso ona;3;6;Muy buena / Oso ona;203;82;1017,4;0,2;14,5;2,17
25/10/2017;01:00;2;25;Muy buena / Oso ona;28;14;Muy buena / Oso ona;3;6;Muy buena / Oso ona;200;83;1017,4;0,2;14,8;2,21
24/10/2017;24:00;4;28;Muy buena / Oso ona;34;14;Muy buena / Oso ona;3;7;Muy buena / Oso ona;201;83;1017,5;0,2;15;1,79
24/10/2017;23:00;9;34;Muy buena / Oso ona;48;16;Muy buena / Oso ona;3;7;Muy buena / Oso ona;203;84;1017,8;0,2;15,4;1,83
24/10/2017;22:00;13;38;Muy buena / Oso ona;57;17;Muy buena / Oso ona;3;7;Muy buena / Oso ona;208;84;1017,7;0,2;15,9;1,45
24/10/2017;21:00;19;41;Muy buena / Oso ona;70;17;Muy buena / Oso ona;4;6;Muy buena / Oso ona;209;83;1017,3;0,2;16,7;1,88
24/10/2017;20:00;38;44;Muy buena / Oso ona;103;19;Muy buena / Oso ona;7;8;Muy buena / Oso ona;195;82;1017,1;0,2;17,2;1,13
24/10/2017;19:00;106;53;Muy buena / Oso ona;215;32;Muy buena / Oso ona;16;9;Muy buena / Oso ona;186;80;1017,2;0,2;17,9;0,8
24/10/2017;18:00;116;65;Muy buena / Oso ona;242;38;Muy buena / Oso ona;41;8;Muy buena / Oso ona;161;71;1017,1;2,8;19,6;0,61
24/10/2017;17:00;85;71;Muy buena / Oso ona;201;46;Buena / Ona;5;8;Muy buena / Oso ona;174;54;1016,9;38,4;24,1;0,14
24/10/2017;16:00;46;57;Muy buena / Oso ona;126;35;Muy buena / Oso ona;4;8;Muy buena / Oso ona;320;46;1016,8;186,2;25,7;0,69
24/10/2017;15:00;26;39;Muy buena / Oso ona;79;15;Muy buena / Oso ona;4;8;Muy buena / Oso ona;322;39;1016,8;281,1;26,5;0,55
24/10/2017;14:00;15;30;Muy buena / Oso ona;53;19;Muy buena / Oso ona;3;8;Muy buena / Oso ona;250;42;1017,1;384,3;25,8;0,52
24/10/2017;13:00;34;41;Muy buena / Oso ona;93;26;Muy buena / Oso ona;3;7;Muy buena / Oso ona;189;45;1017,5;440,4;24,1;0,64
24/10/2017;12:00;21;33;Muy buena / Oso ona;66;24;Muy buena / Oso ona;3;7;Muy buena / Oso ona;208;51;1018,3;472,4;20,3;1,55
24/10/2017;11:00;23;35;Muy buena / Oso ona;70;19;Muy buena / Oso ona;3;7;Muy buena / Oso ona;200;55;1019,2;453,1;17,2;2,08
24/10/2017;10:00;26;34;Muy buena / Oso ona;74;19;Muy buena / Oso ona;3;6;Muy buena / Oso ona;199;64;1019,9;336,5;14;2,45
24/10/2017;09:00;31;34;Muy buena / Oso ona;81;18;Muy buena / Oso ona;3;6;Muy buena / Oso ona;197;74;1020,2;253,4;11,5;2,45
24/10/2017;08:00;36;36;Muy buena / Oso ona;91;19;Muy buena / Oso ona;3;6;Muy buena / Oso ona;199;81;1020,4;104,2;9,9;2,34
24/10/2017;07:00;38;38;Muy buena / Oso ona;96;18;Muy buena / Oso ona;3;6;Muy buena / Oso ona;197;86;1020,4;6,1;9,3;2,17
24/10/2017;06:00;26;34;Muy buena / Oso ona;73;14;Muy buena / Oso ona;3;6;Muy buena / Oso ona;194;87;1020,7;0,2;9,5;1,95
24/10/2017;05:00;12;26;Muy buena / Oso ona;45;13;Muy buena / Oso ona;3;6;Muy buena / Oso ona;197;88;1021;0,2;9,8;2
24/10/2017;04:00;4;24;Muy buena / Oso ona;30;13;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;195;89;1021,2;0,2;10,1;1,72
24/10/2017;03:00;2;21;Muy buena / Oso ona;25;12;Muy buena / Oso ona;3;6;Muy buena / Oso ona;197;89;1021,5;0,2;10,5;1,78
24/10/2017;02:00;;;Sin datos / Daturik gabe;21;11;Muy buena / Oso ona;3;6;Muy buena / Oso ona;195;89;1021,8;0,2;10,9;1,62
24/10/2017;01:00;2;17;Muy buena / Oso ona;20;12;Muy buena / Oso ona;3;6;Muy buena / Oso ona;198;88;1022,2;0,2;11,5;1,29
23/10/2017;24:00;3;19;Muy buena / Oso ona;23;11;Muy buena / Oso ona;4;6;Muy buena / Oso ona;197;87;1022,6;0,2;11,8;1,18
23/10/2017;23:00;3;24;Muy buena / Oso ona;28;13;Muy buena / Oso ona;5;6;Muy buena / Oso ona;196;85;1022,8;0,2;12,4;1,26
23/10/2017;22:00;4;24;Muy buena / Oso ona;30;11;Muy buena / Oso ona;8;6;Muy buena / Oso ona;200;83;1022,5;0,2;12,9;0,88
23/10/2017;21:00;31;39;Muy buena / Oso ona;86;16;Muy buena / Oso ona;21;7;Muy buena / Oso ona;178;85;1022,2;0,2;13,4;0,61
23/10/2017;20:00;25;36;Muy buena / Oso ona;74;16;Muy buena / Oso ona;51;7;Muy buena / Oso ona;171;85;1022;0,2;13,9;0,48
23/10/2017;19:00;47;54;Muy buena / Oso ona;126;24;Muy buena / Oso ona;18;7;Muy buena / Oso ona;162;84;1021,9;0,2;14,8;0,34
23/10/2017;18:00;38;62;Muy buena / Oso ona;121;28;Muy buena / Oso ona;20;7;Muy buena / Oso ona;147;76;1021,7;2;16,3;0,38
23/10/2017;17:00;17;55;Muy buena / Oso ona;80;23;Muy buena / Oso ona;3;7;Muy buena / Oso ona;321;66;1021,8;34,7;18,5;0,67
23/10/2017;16:00;21;50;Muy buena / Oso ona;82;20;Muy buena / Oso ona;2;7;Muy buena / Oso ona;29;59;1021,9;192,2;20;1,17
23/10/2017;15:00;24;36;Muy buena / Oso ona;72;22;Muy buena / Oso ona;3;6;Muy buena / Oso ona;17;62;1022;331;19,5;1,97
23/10/2017;14:00;13;27;Muy buena / Oso ona;47;18;Muy buena / Oso ona;3;7;Muy buena / Oso ona;10;61;1022,2;437,4;19,4;2,25
23/10/2017;13:00;18;27;Muy buena / Oso ona;54;17;Muy buena / Oso ona;4;7;Muy buena / Oso ona;11;57;1022;506,4;20,6;0,9
23/10/2017;12:00;10;20;Muy buena / Oso ona;35;13;Muy buena / Oso ona;2;6;Muy buena / Oso ona;225;66;1022,2;509,9;17,5;2,09
23/10/2017;11:00;15;26;Muy buena / Oso ona;48;14;Muy buena / Oso ona;3;6;Muy buena / Oso ona;218;76;1022,8;470,6;15,1;2,61
23/10/2017;10:00;24;26;Muy buena / Oso ona;63;15;Muy buena / Oso ona;3;6;Muy buena / Oso ona;203;85;1023,3;379,8;13;2,12
23/10/2017;09:00;24;27;Muy buena / Oso ona;64;15;Muy buena / Oso ona;3;7;Muy buena / Oso ona;201;91;1023,5;258,3;11,5;2,31
23/10/2017;08:00;24;30;Muy buena / Oso ona;66;12;Muy buena / Oso ona;2;7;Muy buena / Oso ona;200;94;1023,2;89,5;10,6;2,14
23/10/2017;07:00;25;38;Muy buena / Oso ona;76;14;Muy buena / Oso ona;3;7;Muy buena / Oso ona;200;95;1023;7,1;10,4;2,31
23/10/2017;06:00;15;31;Muy buena / Oso ona;54;13;Muy buena / Oso ona;3;7;Muy buena / Oso ona;203;95;1023,3;0,2;10,6;2,08
23/10/2017;05:00;5;21;Muy buena / Oso ona;28;14;Muy buena / Oso ona;3;7;Muy buena / Oso ona;209;95;1023,2;0,2;10,8;2,15
23/10/2017;04:00;4;22;Muy buena / Oso ona;27;12;Muy buena / Oso ona;2;;Sin datos / Daturik gabe;208;94;1023;0,2;11;1,51
23/10/2017;03:00;2;19;Muy buena / Oso ona;22;10;Muy buena / Oso ona;3;6;Muy buena / Oso ona;206;93;1023,1;0,2;11,5;1,37
23/10/2017;02:00;;;Sin datos / Daturik gabe;21;9;Muy buena / Oso ona;3;6;Muy buena / Oso ona;200;92;1023,6;0,2;12;1,07
23/10/2017;01:00;1;18;Muy buena / Oso ona;20;9;Muy buena / Oso ona;2;6;Muy buena / Oso ona;203;91;1023,9;0,2;12,5;1,42
22/10/2017;24:00;3;21;Muy buena / Oso ona;25;10;Muy buena / Oso ona;2;6;Muy buena / Oso ona;205;91;1024,4;0,2;12,7;1,43
22/10/2017;23:00;2;24;Muy buena / Oso ona;28;10;Muy buena / Oso ona;2;5;Muy buena / Oso ona;200;91;1024,7;0,2;12,8;1,18
22/10/2017;22:00;2;27;Muy buena / Oso ona;30;13;Muy buena / Oso ona;3;5;Muy buena / Oso ona;205;92;1024,8;0,2;12,8;1,24
22/10/2017;21:00;;;Sin datos / Daturik gabe;26;11;Muy buena / Oso ona;2;5;Muy buena / Oso ona;209;90;1024,9;0,2;13,1;1,5
22/10/2017;20:00;3;29;Muy buena / Oso ona;34;10;Muy buena / Oso ona;3;5;Muy buena / Oso ona;195;89;1024,8;0,2;13,4;0,85
22/10/2017;19:00;5;33;Muy buena / Oso ona;42;12;Muy buena / Oso ona;3;5;Muy buena / Oso ona;203;89;1024,7;0,2;13,6;1,05
22/10/2017;18:00;4;25;Muy buena / Oso ona;31;12;Muy buena / Oso ona;2;5;Muy buena / Oso ona;217;87;1024,6;1,4;13,9;0,93
22/10/2017;17:00;2;14;Muy buena / Oso ona;18;9;Muy buena / Oso ona;3;5;Muy buena / Oso ona;222;85;1024,2;36,3;14,1;1,23
22/10/2017;16:00;4;5;Muy buena / Oso ona;10;13;Muy buena / Oso ona;3;5;Muy buena / Oso ona;287;83;1024,3;62,1;14,6;1,56
22/10/2017;15:00;2;7;Muy buena / Oso ona;11;12;Muy buena / Oso ona;3;5;Muy buena / Oso ona;227;77;1024,1;196,8;15,9;0,68
22/10/2017;14:00;1;6;Muy buena / Oso ona;8;9;Muy buena / Oso ona;3;5;Muy buena / Oso ona;226;81;1024,2;171,8;15,1;0,55
22/10/2017;13:00;3;5;Muy buena / Oso ona;9;8;Muy buena / Oso ona;2;5;Muy buena / Oso ona;246;86;1024,6;205,4;14;1,98
22/10/2017;12:00;3;6;Muy buena / Oso ona;9;10;Muy buena / Oso ona;2;5;Muy buena / Oso ona;292;77;1025,2;128,5;15,2;1,42
22/10/2017;11:00;4;7;Muy buena / Oso ona;14;8;Muy buena / Oso ona;2;5;Muy buena / Oso ona;248;76;1025,1;320,2;15,7;1,1
22/10/2017;10:00;6;14;Muy buena / Oso ona;23;10;Muy buena / Oso ona;2;5;Muy buena / Oso ona;236;83;1025;168,6;14,5;1,24
22/10/2017;09:00;4;12;Muy buena / Oso ona;18;7;Muy buena / Oso ona;2;5;Muy buena / Oso ona;222;88;1024,9;161,1;13,4;1,58
22/10/2017;08:00;5;15;Muy buena / Oso ona;22;7;Muy buena / Oso ona;2;5;Muy buena / Oso ona;224;92;1024,7;55,8;12,5;1,44
22/10/2017;07:00;6;14;Muy buena / Oso ona;22;7;Muy buena / Oso ona;3;5;Muy buena / Oso ona;198;92;1024,3;4;12,4;0,74
22/10/2017;06:00;5;7;Muy buena / Oso ona;15;8;Muy buena / Oso ona;2;4;Muy buena / Oso ona;241;87;1024;0,2;12,9;0,47
22/10/2017;05:00;5;4;Muy buena / Oso ona;12;6;Muy buena / Oso ona;2;5;Muy buena / Oso ona;228;86;1023,4;0,2;12,8;1,78
22/10/2017;04:00;3;4;Muy buena / Oso ona;8;7;Muy buena / Oso ona;2;;Sin datos / Daturik gabe;236;89;1023,5;0,2;12,7;1,73
