Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;6;10;Muy buena / Oso ona;19;3;"Muy buena / ";6;11;Muy buena / Oso ona;136;94;1017,7;0;2,4;9,3;0,41
29/10/2017;06:00;4;11;Muy buena / Oso ona;18;3;"Muy buena / ";7;15;Muy buena / Oso ona;152;94;1017,9;0;0,6;9,1;0,24
29/10/2017;05:00;3;10;Muy buena / Oso ona;14;5;"Muy buena / ";9;10;Muy buena / Oso ona;119;94;1017,9;0;0,6;9,3;0,42
29/10/2017;04:00;3;11;Muy buena / Oso ona;16;5;"Muy buena / ";11;10;Muy buena / Oso ona;203;93;1017,9;0;0,6;9,5;0,25
29/10/2017;03:00;3;12;Muy buena / Oso ona;17;5;"Muy buena / ";14;10;Muy buena / Oso ona;217;93;1018;0;0,6;9,8;0,28
29/10/2017;02:00;2;10;Muy buena / Oso ona;13;10;"Muy buena / ";20;9;Muy buena / Oso ona;217;92;1018,4;0;0,6;10,3;0,38
29/10/2017;01:00;2;11;Muy buena / Oso ona;14;12;"Muy buena / ";28;12;Muy buena / Oso ona;134;93;1018,7;0;0,6;10,2;0,43
28/10/2017;24:00;2;11;Muy buena / Oso ona;14;12;"Muy buena / ";36;12;Muy buena / Oso ona;179;92;1019;0;0,6;10,4;0,11
28/10/2017;23:00;5;18;Muy buena / Oso ona;27;10;"Muy buena / ";36;11;Muy buena / Oso ona;220;91;1019,3;0;0,6;10,9;0,35
28/10/2017;22:00;5;18;Muy buena / Oso ona;26;15;"Muy buena / ";40;10;Muy buena / Oso ona;250;89;1019,4;0;0,5;11,4;0,59
28/10/2017;21:00;4;17;Muy buena / Oso ona;24;20;"Muy buena / ";49;14;Muy buena / Oso ona;141;88;1019,4;0;0,5;11,8;0,23
28/10/2017;20:00;4;15;Muy buena / Oso ona;22;28;"Muy buena / ";56;12;Muy buena / Oso ona;111;85;1019,4;0;0,7;12,8;0,55
28/10/2017;19:00;3;18;Muy buena / Oso ona;24;43;"Muy buena / ";61;13;Muy buena / Oso ona;80;77;1019,4;0;0,7;14,5;0,8
28/10/2017;18:00;1;11;Muy buena / Oso ona;13;65;"Buena / ";62;10;Muy buena / Oso ona;71;69;1019,1;0;1,1;15,9;0,43
28/10/2017;17:00;7;12;Muy buena / Oso ona;23;70;"Buena / ";57;9;Muy buena / Oso ona;3;67;1018,9;0;18,8;16,7;0,76
28/10/2017;16:00;1;7;Muy buena / Oso ona;9;;"Sin datos / ";50;8;Muy buena / Oso ona;35;71;1018,8;0;75,7;16,8;0,73
28/10/2017;15:00;1;5;Muy buena / Oso ona;8;73;"Buena / ";44;12;Muy buena / Oso ona;23;75;1018,8;0;104,1;17;1,26
28/10/2017;14:00;3;9;Muy buena / Oso ona;13;67;"Buena / ";41;10;Muy buena / Oso ona;26;76;1019,1;0;136;16,9;1,3
28/10/2017;13:00;2;10;Muy buena / Oso ona;13;60;"Muy buena / ";37;14;Muy buena / Oso ona;48;78;1019,5;0;65,5;16,7;1,4
28/10/2017;12:00;3;12;Muy buena / Oso ona;17;59;"Muy buena / ";37;10;Muy buena / Oso ona;48;76;1020,3;0;123,7;17,1;0,95
28/10/2017;11:00;6;15;Muy buena / Oso ona;25;52;"Muy buena / ";38;14;Muy buena / Oso ona;57;82;1020,7;0;79,9;16,6;0,78
28/10/2017;10:00;5;17;Muy buena / Oso ona;25;35;"Muy buena / ";38;14;Muy buena / Oso ona;76;89;1020,7;0;69,4;15,6;0,34
28/10/2017;09:00;4;18;Muy buena / Oso ona;24;24;"Muy buena / ";39;13;Muy buena / Oso ona;75;91;1020,6;0;41;15,2;0,41
28/10/2017;08:00;10;28;Muy buena / Oso ona;44;11;"Muy buena / ";42;17;Muy buena / Oso ona;211;92;1020,4;0;25,1;14,8;0,09
28/10/2017;07:00;6;25;Muy buena / Oso ona;34;18;"Muy buena / ";46;12;Muy buena / Oso ona;257;92;1020,3;0;2,2;15;0,56
28/10/2017;06:00;5;25;Muy buena / Oso ona;27;33;"Muy buena / ";50;12;Muy buena / Oso ona;280;89;1020,2;0;0,6;15,5;0,34
28/10/2017;05:00;;;Sin datos / Daturik gabe;5;67;"Buena / ";53;8;Muy buena / Oso ona;86;89;1020,4;0;0,5;15,8;0,34
28/10/2017;04:00;;;Sin datos / Daturik gabe;4;61;"Buena / ";53;12;Muy buena / Oso ona;95;92;1020,4;0,1;0,5;15,6;0,41
28/10/2017;03:00;;;Sin datos / Daturik gabe;4;52;"Muy buena / ";54;9;Muy buena / Oso ona;217;93;1020,6;0;0,5;15,1;0,35
28/10/2017;02:00;1;4;Muy buena / Oso ona;6;49;"Muy buena / ";54;7;Muy buena / Oso ona;249;92;1021,1;0,1;0,5;15,2;0,48
28/10/2017;01:00;2;10;Muy buena / Oso ona;11;43;"Muy buena / ";52;10;Muy buena / Oso ona;241;92;1021,4;0;0,5;15,3;0,33
27/10/2017;24:00;2;10;Muy buena / Oso ona;13;42;"Muy buena / ";53;9;Muy buena / Oso ona;258;90;1021,6;0;0,5;15,5;0,35
27/10/2017;23:00;1;11;Muy buena / Oso ona;13;44;"Muy buena / ";53;10;Muy buena / Oso ona;265;88;1021,9;0;0,5;15,7;0,6
27/10/2017;22:00;1;8;Muy buena / Oso ona;10;58;"Muy buena / ";54;8;Muy buena / Oso ona;15;88;1022,1;0;0,5;15,9;0,4
27/10/2017;21:00;1;6;Muy buena / Oso ona;9;67;"Buena / ";53;9;Muy buena / Oso ona;51;87;1021,9;0;0,5;16,2;1,75
27/10/2017;20:00;3;8;Muy buena / Oso ona;12;68;"Buena / ";44;11;Muy buena / Oso ona;45;88;1021,6;0,3;0,6;16,6;2,36
27/10/2017;19:00;5;21;Muy buena / Oso ona;28;50;"Muy buena / ";33;21;Muy buena / Oso ona;39;83;1021,6;0,1;0,7;17,4;0,75
27/10/2017;18:00;12;36;Muy buena / Oso ona;55;34;"Muy buena / ";26;16;Muy buena / Oso ona;351;81;1021,5;0;1;17,8;0,39
27/10/2017;17:00;10;25;Muy buena / Oso ona;39;49;"Muy buena / ";21;17;Muy buena / Oso ona;36;81;1021,5;0;13,9;18;1,46
27/10/2017;16:00;11;18;Muy buena / Oso ona;35;;"Sin datos / ";14;14;Muy buena / Oso ona;43;81;1021,5;0;30,3;18,2;2,29
27/10/2017;15:00;7;15;Muy buena / Oso ona;25;62;"Buena / ";12;17;Muy buena / Oso ona;41;80;1021,5;0;69,8;18,4;2,69
27/10/2017;14:00;12;23;Muy buena / Oso ona;41;49;"Muy buena / ";11;43;Buena / Ona;42;78;1021,5;0;111,5;18,7;1,88
27/10/2017;13:00;35;60;Muy buena / Oso ona;115;12;"Muy buena / ";5;72;Mejorable / Hobetzeko modukoa;256;77;1022;0;151;17;0,65
27/10/2017;12:00;39;55;Muy buena / Oso ona;114;6;"Muy buena / ";4;54;Buena / Ona;244;76;1022,3;0;90,3;15,9;0,43
27/10/2017;11:00;36;44;Muy buena / Oso ona;98;7;"Muy buena / ";3;47;Buena / Ona;257;80;1022,4;0;107,6;14,5;0,12
27/10/2017;10:00;44;38;Muy buena / Oso ona;105;4;"Muy buena / ";3;55;Buena / Ona;259;86;1022,5;0;76,3;13,2;0,49
27/10/2017;09:00;41;31;Muy buena / Oso ona;93;3;"Muy buena / ";3;34;Muy buena / Oso ona;235;90;1022,4;0;68;11,8;0,42
27/10/2017;08:00;74;28;Muy buena / Oso ona;141;2;"Muy buena / ";4;34;Muy buena / Oso ona;248;92;1022,1;0;22;10,4;0,8
27/10/2017;07:00;92;26;Muy buena / Oso ona;167;2;"Muy buena / ";4;28;Muy buena / Oso ona;253;93;1021,8;0;2,1;9,5;0,63
27/10/2017;06:00;74;23;Muy buena / Oso ona;137;2;"Muy buena / ";5;20;Muy buena / Oso ona;250;93;1021,6;0;0,7;9,3;0,67
27/10/2017;05:00;33;15;Muy buena / Oso ona;66;2;"Muy buena / ";5;16;Muy buena / Oso ona;233;94;1021,1;0;0,7;9,2;0,34
27/10/2017;04:00;15;13;Muy buena / Oso ona;36;3;"Muy buena / ";6;15;Muy buena / Oso ona;249;93;1020,7;0;0,6;9,7;0,66
27/10/2017;03:00;4;11;Muy buena / Oso ona;17;5;"Muy buena / ";6;12;Muy buena / Oso ona;235;93;1020,8;0;0,6;9,9;0,4
27/10/2017;02:00;2;10;Muy buena / Oso ona;14;6;"Muy buena / ";7;14;Muy buena / Oso ona;241;93;1021;0;0,6;10,2;0,42
27/10/2017;01:00;3;14;Muy buena / Oso ona;19;6;"Muy buena / ";11;15;Muy buena / Oso ona;246;92;1021,1;0;0,6;10,8;0,64
26/10/2017;24:00;4;17;Muy buena / Oso ona;23;6;"Muy buena / ";20;17;Muy buena / Oso ona;238;92;1020,9;0;0,6;11,1;0,4
26/10/2017;23:00;4;19;Muy buena / Oso ona;25;10;"Muy buena / ";20;17;Muy buena / Oso ona;231;90;1020,6;0;0,6;11,7;0,42
26/10/2017;22:00;11;28;Muy buena / Oso ona;44;5;"Muy buena / ";22;19;Muy buena / Oso ona;190;89;1020,2;0;0,6;12,3;0,23
26/10/2017;21:00;16;34;Muy buena / Oso ona;58;4;"Muy buena / ";33;18;Muy buena / Oso ona;245;87;1019,6;0;0,6;13,2;0,56
26/10/2017;20:00;23;43;Muy buena / Oso ona;78;5;"Muy buena / ";44;22;Muy buena / Oso ona;233;84;1019,3;0;0,7;14,4;0,5
26/10/2017;19:00;26;50;Muy buena / Oso ona;90;10;"Muy buena / ";52;27;Muy buena / Oso ona;249;79;1018,8;0;0,7;16,1;0,69
26/10/2017;18:00;14;43;Muy buena / Oso ona;64;35;"Muy buena / ";54;24;Muy buena / Oso ona;63;68;1017,9;0;2;18,6;0,48
26/10/2017;17:00;7;24;Muy buena / Oso ona;34;70;"Buena / ";50;17;Muy buena / Oso ona;51;58;1017,2;0;48,9;21,1;1,65
26/10/2017;16:00;9;26;Muy buena / Oso ona;39;;"Sin datos / ";40;20;Muy buena / Oso ona;38;58;1016,7;0;219,4;22,4;2,27
26/10/2017;15:00;6;21;Muy buena / Oso ona;30;76;"Buena / ";34;31;Muy buena / Oso ona;41;64;1016,3;0;303;22,1;3,03
26/10/2017;14:00;5;15;Muy buena / Oso ona;23;76;"Buena / ";30;40;Muy buena / Oso ona;38;67;1015,7;0;365,2;21,5;5,21
26/10/2017;13:00;10;18;Muy buena / Oso ona;34;66;"Buena / ";21;31;Muy buena / Oso ona;38;63;1015,4;0;189,2;22,4;4,85
26/10/2017;12:00;9;26;Muy buena / Oso ona;39;52;"Muy buena / ";13;40;Muy buena / Oso ona;35;51;1015,3;0;80,9;25;2,53
26/10/2017;11:00;53;76;Muy buena / Oso ona;156;24;"Muy buena / ";7;66;Mejorable / Hobetzeko modukoa;230;47;1015,2;0;114,3;25,1;0,72
26/10/2017;10:00;62;77;Muy buena / Oso ona;172;14;"Muy buena / ";5;75;Mejorable / Hobetzeko modukoa;221;55;1015,1;0;38,4;21,4;0,37
26/10/2017;09:00;69;55;Muy buena / Oso ona;161;5;"Muy buena / ";4;55;Buena / Ona;189;71;1015,1;0;29,8;16,5;0,21
26/10/2017;08:00;177;61;Muy buena / Oso ona;332;2;"Muy buena / ";4;68;Mejorable / Hobetzeko modukoa;239;85;1014,6;0;24,6;12,7;0,37
26/10/2017;07:00;190;57;Muy buena / Oso ona;349;1;"Muy buena / ";4;36;Muy buena / Oso ona;228;86;1013,8;0;3,6;12,3;0,34
26/10/2017;06:00;85;44;Muy buena / Oso ona;175;1;"Muy buena / ";4;31;Muy buena / Oso ona;229;88;1013,2;0;0,7;12,1;0,56
26/10/2017;05:00;36;29;Muy buena / Oso ona;84;2;"Muy buena / ";4;21;Muy buena / Oso ona;244;90;1012,8;0;0,7;11,8;0,62
26/10/2017;04:00;13;19;Muy buena / Oso ona;38;4;"Muy buena / ";4;19;Muy buena / Oso ona;228;90;1012,5;0;0,6;11,8;0,65
26/10/2017;03:00;2;12;Muy buena / Oso ona;15;7;"Muy buena / ";4;17;Muy buena / Oso ona;248;91;1012,4;0;0,6;11,7;0,69
26/10/2017;02:00;1;13;Muy buena / Oso ona;15;8;"Muy buena / ";3;16;Muy buena / Oso ona;247;91;1012,4;0;0,6;12;0,67
26/10/2017;01:00;3;14;Muy buena / Oso ona;19;6;"Muy buena / ";6;12;Muy buena / Oso ona;247;92;1012,5;0;0,6;12,2;0,97
25/10/2017;24:00;5;16;Muy buena / Oso ona;24;3;"Muy buena / ";10;13;Muy buena / Oso ona;247;91;1012,8;0;0,6;12,4;0,87
25/10/2017;23:00;14;22;Muy buena / Oso ona;43;1;"Muy buena / ";10;16;Muy buena / Oso ona;245;91;1012,8;0;0,6;12,9;0,61
25/10/2017;22:00;19;27;Muy buena / Oso ona;56;1;"Muy buena / ";12;19;Muy buena / Oso ona;244;90;1012,7;0;0,6;13,4;0,57
25/10/2017;21:00;30;33;Muy buena / Oso ona;78;1;"Muy buena / ";20;26;Muy buena / Oso ona;243;89;1012,3;0;0,7;14,2;0,58
25/10/2017;20:00;33;39;Muy buena / Oso ona;90;2;"Muy buena / ";29;26;Muy buena / Oso ona;246;86;1012,1;0;0,7;15,2;0,55
