Date;Hour;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;168;91;1023,1;10,9;1,78
29/10/2017;06:00;166;91;1023,3;11,1;1,91
29/10/2017;05:00;162;92;1023,3;10,8;2,01
29/10/2017;04:00;163;92;1023,2;10,7;2,12
29/10/2017;03:00;164;91;1023,5;11,1;1,85
29/10/2017;02:00;160;91;1023,8;11,4;2,04
29/10/2017;01:00;162;90;1024,1;11,7;2,24
28/10/2017;24:00;155;89;1024,5;12;2,64
28/10/2017;23:00;153;87;1024,8;12,7;2,3
28/10/2017;22:00;153;84;1024,9;13,7;1,9
28/10/2017;21:00;156;77;1024,9;15,1;1,12
28/10/2017;20:00;107;73;1024,9;16,1;0,48
28/10/2017;19:00;121;68;1025;16,6;0,93
28/10/2017;18:00;94;69;1024,8;16,7;2,06
28/10/2017;17:00;86;72;1024,4;17,6;1,38
28/10/2017;16:00;355;75;1024,3;17,7;2,07
28/10/2017;15:00;22;77;1024,3;17,8;3,59
28/10/2017;14:00;356;77;1024,5;18;3,43
28/10/2017;13:00;319;78;1025,1;18,4;1,39
28/10/2017;12:00;314;84;1026;17,5;3,2
28/10/2017;11:00;310;84;1026,3;17,4;3,95
28/10/2017;10:00;306;84;1026,3;17,2;3,06
28/10/2017;09:00;302;89;1026,3;16,8;1,09
28/10/2017;08:00;155;89;1026,1;16,4;1,17
28/10/2017;07:00;273;88;1026,1;16,5;0,77
28/10/2017;06:00;254;89;1026,1;16,5;1,49
28/10/2017;05:00;343;88;1026,4;16,6;1,11
28/10/2017;04:00;334;85;1026,5;17;2,34
28/10/2017;03:00;334;85;1026,7;17;2,71
28/10/2017;02:00;347;82;1027,1;17,3;3,98
28/10/2017;01:00;348;81;1027,5;17,3;4,49
27/10/2017;24:00;358;82;1027,7;17,3;3,15
27/10/2017;23:00;353;80;1028;17,5;5,47
27/10/2017;22:00;3;80;1028;17,5;5,55
27/10/2017;21:00;9;84;1027,7;17,5;3,93
27/10/2017;20:00;10;86;1027,7;17,5;3,54
27/10/2017;19:00;9;89;1027,7;17,5;4,04
27/10/2017;18:00;326;87;1027,5;18;4,07
27/10/2017;17:00;330;87;1027,4;18,1;3,83
27/10/2017;16:00;327;87;1027,5;18,3;3,53
27/10/2017;15:00;319;86;1027,4;18,4;3,47
27/10/2017;14:00;336;86;1027,4;18,3;3,88
27/10/2017;13:00;346;76;1027,6;18,7;3,02
27/10/2017;12:00;141;72;1027,7;18,6;1,03
27/10/2017;11:00;152;76;1027,8;16,6;2,42
27/10/2017;10:00;159;80;1027,9;15,1;2,45
27/10/2017;09:00;159;83;1027,7;14;2,93
27/10/2017;08:00;156;86;1027,3;13,4;2,54
27/10/2017;07:00;170;87;1026,9;13,2;1,86
27/10/2017;06:00;166;87;1026,6;13,1;1,99
27/10/2017;05:00;180;87;1026,2;13,4;1,92
27/10/2017;04:00;163;87;1025,6;13,6;1,88
27/10/2017;03:00;170;88;1025,6;13,7;1,68
27/10/2017;02:00;165;88;1025,7;14;1,58
27/10/2017;01:00;174;88;1025,9;14,3;1,61
26/10/2017;24:00;168;87;1025,9;14,8;1,79
26/10/2017;23:00;161;86;1025,6;15,3;1,79
26/10/2017;22:00;154;83;1025,3;16;1,73
26/10/2017;21:00;153;81;1024,6;16,7;1,86
26/10/2017;20:00;168;80;1024,1;17,5;1,57
26/10/2017;19:00;149;78;1023,8;18,6;0,85
26/10/2017;18:00;82;75;1023,4;19,3;0,83
26/10/2017;17:00;331;69;1022,9;20,1;1,59
26/10/2017;16:00;345;66;1022,5;20,7;2,96
26/10/2017;15:00;329;67;1022,1;20,7;3,57
26/10/2017;14:00;353;73;1021,9;20,2;4,02
26/10/2017;13:00;356;72;1021,9;20,3;3,56
26/10/2017;12:00;17;72;1021,9;19,6;3,42
26/10/2017;11:00;34;72;1021,6;19;2,02
26/10/2017;10:00;5;80;1021,1;17,9;1,89
26/10/2017;09:00;20;91;1020,5;16,9;3,41
26/10/2017;08:00;340;80;1019,3;17,7;2,88
26/10/2017;07:00;169;53;1018;19;2,31
26/10/2017;06:00;157;51;1017,3;19,5;2,13
26/10/2017;05:00;165;61;1016,7;17,8;2,19
26/10/2017;04:00;175;67;1016,6;16,9;0,81
26/10/2017;03:00;173;72;1016,6;16,3;2,63
26/10/2017;02:00;189;74;1016,9;16,2;1,63
26/10/2017;01:00;179;75;1016,8;16,6;3,06
25/10/2017;24:00;190;79;1016,9;16,6;1,86
25/10/2017;23:00;167;85;1017,1;16;1,45
25/10/2017;22:00;164;83;1017,2;16,8;1,31
25/10/2017;21:00;180;85;1016,9;16,6;0,88
25/10/2017;20:00;157;85;1016,6;17;1,09
25/10/2017;19:00;168;81;1016,5;17,9;1,23
25/10/2017;18:00;301;77;1016,6;18,4;1,29
25/10/2017;17:00;313;73;1016,5;18,9;2,87
25/10/2017;16:00;312;74;1016,4;19,1;3,53
25/10/2017;15:00;334;72;1016,4;19;4,4
25/10/2017;14:00;326;66;1016,6;19,2;4,63
25/10/2017;13:00;327;61;1016,9;20,6;3,26
25/10/2017;12:00;65;48;1017,5;21,7;0,61
25/10/2017;11:00;165;54;1017,9;19,9;1,83
25/10/2017;10:00;169;65;1018,2;16,8;2,01
25/10/2017;09:00;151;76;1018,1;14,4;2,63
25/10/2017;08:00;161;81;1017,8;13,1;2,31
25/10/2017;07:00;166;83;1017,3;12,6;1,6
25/10/2017;06:00;170;85;1017,1;12,4;1,89
25/10/2017;05:00;169;81;1016,9;13,1;1,87
25/10/2017;04:00;173;80;1016,9;13,6;1,64
25/10/2017;03:00;184;80;1016,9;13,8;1,51
25/10/2017;02:00;183;79;1016,7;14,2;2,01
25/10/2017;01:00;177;79;1016,8;14,6;2,21
24/10/2017;24:00;189;80;1017;14,9;1,75
24/10/2017;23:00;183;80;1017,3;15,2;1,65
24/10/2017;22:00;173;83;1017,4;15,1;2,31
24/10/2017;21:00;174;82;1017,5;15,9;1,92
24/10/2017;20:00;164;74;1017,3;17,4;1,37
24/10/2017;19:00;275;67;1017,3;18,3;0,57
24/10/2017;18:00;326;70;1017;18,8;1,82
24/10/2017;17:00;323;60;1016,7;20,2;2,65
24/10/2017;16:00;338;59;1016,3;21,8;2,16
24/10/2017;15:00;327;54;1015,8;23,9;2,23
24/10/2017;14:00;143;38;1015,8;26,4;2,77
24/10/2017;13:00;155;40;1016,2;24,8;3,33
24/10/2017;12:00;152;42;1016,9;22,4;4,51
24/10/2017;11:00;159;45;1017,8;20;3,75
24/10/2017;10:00;170;49;1018,3;17,5;3,36
24/10/2017;09:00;165;59;1018,7;14,7;2,78
24/10/2017;08:00;164;69;1018,9;12,6;2,09
24/10/2017;07:00;177;72;1018,9;11,5;2,16
24/10/2017;06:00;183;74;1019,3;11,2;2,97
24/10/2017;05:00;175;76;1019,7;11,4;1,87
24/10/2017;04:00;170;79;1019,9;11,5;2,08
24/10/2017;03:00;160;82;1020,3;11,5;2,18
24/10/2017;02:00;171;81;1020,8;12;1,96
24/10/2017;01:00;176;81;1021,3;12,4;1,92
23/10/2017;24:00;174;83;1021,8;12,7;2,02
23/10/2017;23:00;175;81;1022;13,2;1,71
23/10/2017;22:00;175;80;1021,8;13,5;1,59
23/10/2017;21:00;161;75;1021,6;14,4;2,03
23/10/2017;20:00;174;72;1021,6;15,4;1,41
23/10/2017;19:00;171;69;1021,5;16,5;1,12
23/10/2017;18:00;273;65;1021,3;17,4;0,44
23/10/2017;17:00;305;60;1021,3;18,2;2,15
23/10/2017;16:00;307;61;1021,5;18,4;2,72
23/10/2017;15:00;324;63;1021,5;18,1;3,34
23/10/2017;14:00;323;63;1021,8;18,1;3,74
23/10/2017;13:00;344;58;1021,6;19,2;2,71
23/10/2017;12:00;143;54;1021,5;18,9;1,42
23/10/2017;11:00;154;63;1021,8;16;3,69
23/10/2017;10:00;154;70;1022,3;14;4,03
23/10/2017;09:00;164;76;1022,7;12,6;3,14
23/10/2017;08:00;165;84;1022,4;11;3,09
23/10/2017;07:00;152;88;1022;10,6;4,43
23/10/2017;06:00;152;89;1022,4;10,7;4,94
23/10/2017;05:00;161;89;1022,6;10,9;3,21
23/10/2017;04:00;163;90;1022,5;11,2;2,17
23/10/2017;03:00;156;89;1022,5;11,5;3,07
23/10/2017;02:00;168;87;1022,9;11,9;2,45
23/10/2017;01:00;185;87;1023,5;12,3;1,97
22/10/2017;24:00;162;86;1024;12,9;1,88
22/10/2017;23:00;155;87;1024,3;13,4;2,3
22/10/2017;22:00;172;86;1024,3;14;1,12
22/10/2017;21:00;158;84;1024,3;14,6;1,62
22/10/2017;20:00;202;75;1024,4;15,3;1,05
22/10/2017;19:00;253;76;1024,4;15,3;2,33
22/10/2017;18:00;291;72;1024,1;15,8;1,8
22/10/2017;17:00;312;76;1024;15,5;3,12
22/10/2017;16:00;300;73;1023,9;16;3,33
22/10/2017;15:00;353;75;1024,1;15,5;1,73
22/10/2017;14:00;4;77;1024,2;14,8;3,54
22/10/2017;13:00;298;70;1024,5;15,6;4,25
22/10/2017;12:00;279;75;1025;15,2;3,29
22/10/2017;11:00;268;80;1025,2;14,4;3,09
22/10/2017;10:00;268;84;1025,2;13,7;2,97
22/10/2017;09:00;270;87;1024,9;13,2;2,36
22/10/2017;08:00;280;80;1024,8;13,7;4,08
22/10/2017;07:00;267;74;1023,8;14,1;3,31
22/10/2017;06:00;277;74;1023,8;14,3;3,27
22/10/2017;05:00;280;79;1023,2;14;1,35
22/10/2017;04:00;277;83;1023,3;13,5;3,07
22/10/2017;03:00;291;75;1023,3;14,3;5,85
22/10/2017;02:00;291;72;1023,2;14,9;5,14
22/10/2017;01:00;290;73;1023,4;14,8;3,52
21/10/2017;24:00;281;71;1023,6;15,2;3,75
21/10/2017;23:00;290;68;1023,4;15,7;5,55
21/10/2017;22:00;288;61;1023;16,5;4,99
21/10/2017;21:00;279;63;1022,6;16,5;3,91
21/10/2017;20:00;285;63;1022,6;16,6;5,77
21/10/2017;19:00;285;62;1022,3;16,8;4,89
21/10/2017;18:00;291;60;1021,8;17,1;4,08
21/10/2017;17:00;293;64;1021,3;17,2;4,34
21/10/2017;16:00;304;64;1020,9;17,4;6,63
21/10/2017;15:00;307;64;1020,6;17,5;7,16
21/10/2017;14:00;314;69;1020,3;17,1;6,52
21/10/2017;13:00;317;68;1020;17,4;7,79
21/10/2017;12:00;305;54;1019,8;18,7;6,4
21/10/2017;11:00;302;55;1019,7;18,4;5,07
21/10/2017;10:00;280;62;1019,4;18,3;1,15
21/10/2017;09:00;263;71;1018,9;17;1,52
21/10/2017;08:00;282;73;1018,4;16,3;3,38
21/10/2017;07:00;288;77;1017,8;16;5,14
21/10/2017;06:00;290;81;1016,9;16,7;6,08
21/10/2017;05:00;293;81;1016,2;17,1;7,62
21/10/2017;04:00;292;78;1015,3;18,1;5,97
21/10/2017;03:00;298;84;1014,6;18;7,15
21/10/2017;02:00;300;78;1013,5;19,9;10,94
21/10/2017;01:00;266;54;1010,8;24,6;3,23
20/10/2017;24:00;249;53;1009,9;24,8;3,77
20/10/2017;23:00;244;53;1009,5;24,8;4,01
20/10/2017;22:00;202;49;1009,5;24,9;1,25
20/10/2017;21:00;111;46;1009,5;23,9;1,05
20/10/2017;20:00;140;55;1009,8;21,9;2,73
20/10/2017;19:00;155;70;1010,2;20;2,94
20/10/2017;18:00;122;69;1010,3;20;0,23
20/10/2017;17:00;307;62;1010,4;21,2;1,59
20/10/2017;16:00;301;61;1010,8;21,4;3,05
20/10/2017;15:00;305;60;1011;21,2;3,45
20/10/2017;14:00;321;62;1011,3;20,6;4,23
20/10/2017;13:00;316;63;1011,5;20,5;4,69
20/10/2017;12:00;283;53;1011,8;23;1,39
20/10/2017;11:00;149;60;1011,9;20,9;1,8
20/10/2017;10:00;136;70;1012,1;18,3;3,59
20/10/2017;09:00;130;72;1012,2;17;3,83
20/10/2017;08:00;147;73;1012;16,5;3,37
20/10/2017;07:00;154;72;1011,5;16,7;1,9
20/10/2017;06:00;134;71;1011;17;0,71
20/10/2017;05:00;164;67;1010,5;17,3;1,12
20/10/2017;04:00;160;67;1010,1;17,4;1,13
20/10/2017;03:00;157;67;1010;17,4;1,32
20/10/2017;02:00;151;67;1009,7;17,6;0,92
20/10/2017;01:00;147;65;1009,7;18,3;1,68
19/10/2017;24:00;101;62;1009,6;18,9;0,23
19/10/2017;23:00;353;58;1008,9;19;0,27
19/10/2017;22:00;151;52;1007,9;19,6;1,87
19/10/2017;21:00;145;56;1007,2;18,9;4,26
19/10/2017;20:00;121;65;1006,7;18;4,23
19/10/2017;19:00;132;67;1006,4;18,4;3,13
19/10/2017;18:00;246;56;1006;20,2;0,55
19/10/2017;17:00;199;45;1005,5;21,9;0,92
19/10/2017;16:00;167;48;1005,2;21,9;1,79
19/10/2017;15:00;151;48;1004,9;21,8;2,65
19/10/2017;14:00;136;52;1005,3;21,7;0,2
19/10/2017;13:00;146;55;1005,8;20,2;2,35
19/10/2017;12:00;145;58;1006,6;19;4,06
19/10/2017;11:00;141;57;1007,3;19,5;1,36
19/10/2017;10:00;146;74;1007,2;16,5;2,71
19/10/2017;09:00;139;82;1007,1;15,1;2,82
19/10/2017;08:00;151;88;1006,9;14;2,31
19/10/2017;07:00;148;90;1006,7;13,8;2,52
19/10/2017;06:00;141;89;1006,4;14,1;2,63
19/10/2017;05:00;174;89;1006,3;14,3;1,31
19/10/2017;04:00;156;89;1006,4;14,4;1,84
