Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;17;20;Muy buena / Oso ona;46;21;Muy buena / Oso ona;15;Muy buena / Oso ona;360;90;1021,4;0;2,6;9,8;0,11
29/10/2017;06:00;12;20;Muy buena / Oso ona;38;24;Muy buena / Oso ona;11;Muy buena / Oso ona;360;90;1021,6;0;0;10,1;0,15
29/10/2017;05:00;9;20;Muy buena / Oso ona;34;24;Muy buena / Oso ona;14;Muy buena / Oso ona;68;90;1021,6;0;0;9,5;0,35
29/10/2017;04:00;9;21;Muy buena / Oso ona;35;22;Muy buena / Oso ona;17;Muy buena / Oso ona;67;91;1021,5;0;0,6;9;0,28
29/10/2017;03:00;9;24;Muy buena / Oso ona;38;25;Muy buena / Oso ona;13;Muy buena / Oso ona;41;91;1021,7;0;0,5;8,9;0,34
29/10/2017;02:00;10;26;Muy buena / Oso ona;42;22;Muy buena / Oso ona;7;Muy buena / Oso ona;15;91;1022,1;0;0,4;9,3;0,3
29/10/2017;01:00;16;29;Muy buena / Oso ona;53;21;Muy buena / Oso ona;11;Muy buena / Oso ona;30;91;1022,4;0;0,8;9,4;0,28
28/10/2017;24:00;19;30;Muy buena / Oso ona;59;22;Muy buena / Oso ona;12;Muy buena / Oso ona;10;90;1022,9;0;0,6;9,9;0,36
28/10/2017;23:00;15;33;Muy buena / Oso ona;56;25;Muy buena / Oso ona;11;Muy buena / Oso ona;18;90;1023,2;0;0,7;10,3;0,33
28/10/2017;22:00;18;42;Muy buena / Oso ona;70;21;Muy buena / Oso ona;10;Muy buena / Oso ona;6;88;1023,3;0;0,6;11,3;0,23
28/10/2017;21:00;13;50;Muy buena / Oso ona;70;29;Muy buena / Oso ona;12;Muy buena / Oso ona;22;87;1023,3;0;0,4;12;0,32
28/10/2017;20:00;2;22;Muy buena / Oso ona;24;24;Muy buena / Oso ona;12;Muy buena / Oso ona;358;78;1023,4;0;0;13,9;0,13
28/10/2017;19:00;1;43;Muy buena / Oso ona;44;22;Muy buena / Oso ona;12;Muy buena / Oso ona;1;73;1023,4;0;0;15,5;0,1
28/10/2017;18:00;;;Sin datos / Daturik gabe;19;20;Muy buena / Oso ona;15;Muy buena / Oso ona;358;69;1023,2;0;0,4;16,5;0,12
28/10/2017;17:00;;;Sin datos / Daturik gabe;10;21;Muy buena / Oso ona;15;Muy buena / Oso ona;83;69;1022,9;0;30,4;17,3;0,61
28/10/2017;16:00;1;6;Muy buena / Oso ona;8;18;Muy buena / Oso ona;8;Muy buena / Oso ona;52;67;1022,6;0;97,5;18,4;0,87
28/10/2017;15:00;1;4;Muy buena / Oso ona;6;17;Muy buena / Oso ona;12;Muy buena / Oso ona;48;66;1022,4;0;176,2;18,8;1,11
28/10/2017;14:00;1;5;Muy buena / Oso ona;7;20;Muy buena / Oso ona;7;Muy buena / Oso ona;4;63;1022,7;0;161,1;19,6;0,54
28/10/2017;13:00;1;5;Muy buena / Oso ona;7;20;Muy buena / Oso ona;1;Muy buena / Oso ona;36;64;1023,3;0;207,1;19,9;0,39
28/10/2017;12:00;1;8;Muy buena / Oso ona;10;37;Muy buena / Oso ona;9;Muy buena / Oso ona;23;70;1024,1;0;187,4;19,1;0,67
28/10/2017;11:00;4;21;Muy buena / Oso ona;28;49;Buena / Ona;13;Muy buena / Oso ona;292;79;1024,6;0;137;18,4;0,63
28/10/2017;10:00;22;46;Muy buena / Oso ona;80;29;Muy buena / Oso ona;8;Muy buena / Oso ona;360;83;1024,5;0;149,7;17,5;0,07
28/10/2017;09:00;22;38;Muy buena / Oso ona;72;22;Muy buena / Oso ona;10;Muy buena / Oso ona;34;88;1024,5;0;102,5;15,6;0,26
28/10/2017;08:00;26;50;Muy buena / Oso ona;89;20;Muy buena / Oso ona;9;Muy buena / Oso ona;66;92;1024,6;0;27,5;14,8;0,22
28/10/2017;07:00;4;27;Muy buena / Oso ona;33;14;Muy buena / Oso ona;8;Muy buena / Oso ona;16;92;1024,5;0;1,5;14,9;0,26
28/10/2017;06:00;2;23;Muy buena / Oso ona;25;19;Muy buena / Oso ona;14;Muy buena / Oso ona;10;89;1024,6;0;0;15,8;0,21
28/10/2017;05:00;1;16;Muy buena / Oso ona;16;19;Muy buena / Oso ona;13;Muy buena / Oso ona;343;87;1024,9;0;0;16,2;0,19
28/10/2017;04:00;;;Sin datos / Daturik gabe;5;18;Muy buena / Oso ona;12;Muy buena / Oso ona;301;81;1025;0;0;17;0,2
28/10/2017;03:00;;;Sin datos / Daturik gabe;6;25;Muy buena / Oso ona;11;Muy buena / Oso ona;348;79;1025,2;0;0;17,1;0,16
28/10/2017;02:00;;;Sin datos / Daturik gabe;9;24;Muy buena / Oso ona;11;Muy buena / Oso ona;334;78;1025,5;0;0;17,1;0,23
28/10/2017;01:00;;;Sin datos / Daturik gabe;9;20;Muy buena / Oso ona;10;Muy buena / Oso ona;330;78;1025,9;0;0;17,2;0,2
27/10/2017;24:00;;;Sin datos / Daturik gabe;4;16;Muy buena / Oso ona;5;Muy buena / Oso ona;307;77;1026,2;0;0;17,1;0,53
27/10/2017;23:00;;;Sin datos / Daturik gabe;5;14;Muy buena / Oso ona;1;Muy buena / Oso ona;308;76;1026,5;0;0,1;17,3;0,51
27/10/2017;22:00;;;Sin datos / Daturik gabe;5;22;Muy buena / Oso ona;7;Muy buena / Oso ona;343;78;1026,5;0;0;17,5;0,41
27/10/2017;21:00;;;Sin datos / Daturik gabe;9;4;Muy buena / Oso ona;7;Muy buena / Oso ona;343;81;1026,3;0;0;17,5;0,22
27/10/2017;20:00;1;8;Muy buena / Oso ona;10;21;Muy buena / Oso ona;10;Muy buena / Oso ona;354;82;1026,3;0;0;17,9;0,28
27/10/2017;19:00;;;Sin datos / Daturik gabe;11;24;Muy buena / Oso ona;13;Muy buena / Oso ona;337;84;1026,2;0;0;17,9;0,48
27/10/2017;18:00;1;12;Muy buena / Oso ona;13;24;Muy buena / Oso ona;13;Muy buena / Oso ona;322;84;1026;0;0,1;18;0,82
27/10/2017;17:00;1;7;Muy buena / Oso ona;9;22;Muy buena / Oso ona;9;Muy buena / Oso ona;324;81;1025,9;0;18,1;18,4;1,02
27/10/2017;16:00;1;10;Muy buena / Oso ona;11;23;Muy buena / Oso ona;9;Muy buena / Oso ona;324;79;1025,8;0;83,7;18,9;1,32
27/10/2017;15:00;1;12;Muy buena / Oso ona;14;28;Muy buena / Oso ona;17;Muy buena / Oso ona;329;76;1025,7;0;92;19,3;1,07
27/10/2017;14:00;3;21;Muy buena / Oso ona;26;33;Muy buena / Oso ona;25;Muy buena / Oso ona;327;73;1025,6;0;155,1;19,8;1,17
27/10/2017;13:00;15;44;Muy buena / Oso ona;66;52;Buena / Ona;28;Buena / Ona;336;67;1025,8;0;165,1;20,4;0,74
27/10/2017;12:00;47;60;Muy buena / Oso ona;132;57;Buena / Ona;23;Muy buena / Oso ona;349;63;1025,8;0;279,2;21,1;0,16
27/10/2017;11:00;77;55;Muy buena / Oso ona;172;60;Buena / Ona;29;Buena / Ona;44;69;1026;0;220,9;18,6;0,16
27/10/2017;10:00;77;48;Muy buena / Oso ona;166;81;Mejorable / Hobetzeko modukoa;38;Buena / Ona;69;78;1026,1;0;165,5;15,7;0,47
27/10/2017;09:00;140;47;Muy buena / Oso ona;261;63;Mejorable / Hobetzeko modukoa;33;Buena / Ona;104;86;1026,1;0;64,6;13,5;0,35
27/10/2017;08:00;175;50;Muy buena / Oso ona;318;49;Buena / Ona;27;Buena / Ona;61;88;1025,7;0;22,4;12,1;0,34
27/10/2017;07:00;114;38;Muy buena / Oso ona;212;37;Muy buena / Oso ona;22;Muy buena / Oso ona;28;89;1025,3;0;1,6;11,2;0,31
27/10/2017;06:00;68;33;Muy buena / Oso ona;136;32;Muy buena / Oso ona;16;Muy buena / Oso ona;356;89;1024,9;0;0,4;11,2;0,02
27/10/2017;05:00;40;30;Muy buena / Oso ona;91;28;Muy buena / Oso ona;19;Muy buena / Oso ona;1;89;1024,5;0;0,5;11,5;0,12
27/10/2017;04:00;25;30;Muy buena / Oso ona;68;35;Muy buena / Oso ona;21;Muy buena / Oso ona;21;91;1024;0;0,1;11,3;0,25
27/10/2017;03:00;20;34;Muy buena / Oso ona;65;32;Muy buena / Oso ona;17;Muy buena / Oso ona;86;90;1024;0;0;11,7;0,69
27/10/2017;02:00;25;29;Muy buena / Oso ona;67;27;Muy buena / Oso ona;13;Muy buena / Oso ona;25;91;1024,1;0;0,4;11,6;0,31
27/10/2017;01:00;31;32;Muy buena / Oso ona;79;28;Muy buena / Oso ona;14;Muy buena / Oso ona;45;90;1024,3;0;0,4;12,2;0,33
26/10/2017;24:00;40;37;Muy buena / Oso ona;98;31;Muy buena / Oso ona;19;Muy buena / Oso ona;5;90;1024,3;0;0,5;12,7;0,35
26/10/2017;23:00;53;46;Muy buena / Oso ona;127;33;Muy buena / Oso ona;17;Muy buena / Oso ona;5;89;1024,1;0;0,3;13,4;0,12
26/10/2017;22:00;58;52;Muy buena / Oso ona;141;32;Muy buena / Oso ona;17;Muy buena / Oso ona;2;89;1023,7;0;0,9;13,7;0,25
26/10/2017;21:00;45;56;Muy buena / Oso ona;124;36;Muy buena / Oso ona;21;Muy buena / Oso ona;26;88;1023;0;0,9;14,2;0,35
26/10/2017;20:00;42;66;Muy buena / Oso ona;131;34;Muy buena / Oso ona;22;Muy buena / Oso ona;82;85;1022,6;0;0,9;15,2;0,34
26/10/2017;19:00;36;77;Muy buena / Oso ona;131;40;Muy buena / Oso ona;31;Buena / Ona;59;81;1022,4;0;0,3;16,3;0,33
26/10/2017;18:00;9;68;Muy buena / Oso ona;82;34;Muy buena / Oso ona;27;Buena / Ona;344;71;1022;0;1,2;18,6;0,31
26/10/2017;17:00;1;23;Muy buena / Oso ona;24;24;Muy buena / Oso ona;18;Muy buena / Oso ona;332;59;1021,4;0;32,5;21,3;0,8
26/10/2017;16:00;2;14;Muy buena / Oso ona;16;24;Muy buena / Oso ona;9;Muy buena / Oso ona;332;55;1020,8;0;202,9;22,3;1,22
26/10/2017;15:00;1;11;Muy buena / Oso ona;12;23;Muy buena / Oso ona;11;Muy buena / Oso ona;332;51;1020,3;0;340,3;23,1;1,24
26/10/2017;14:00;1;10;Muy buena / Oso ona;11;29;Muy buena / Oso ona;13;Muy buena / Oso ona;329;53;1019,8;0;185,9;23,1;1,61
26/10/2017;13:00;3;17;Muy buena / Oso ona;21;31;Muy buena / Oso ona;11;Muy buena / Oso ona;327;54;1019,5;0;576,5;22,9;1,64
26/10/2017;12:00;5;20;Muy buena / Oso ona;27;35;Muy buena / Oso ona;7;Muy buena / Oso ona;331;54;1019,3;0;597,6;22,4;1,25
26/10/2017;11:00;6;23;Muy buena / Oso ona;33;43;Buena / Ona;9;Muy buena / Oso ona;324;57;1018,9;0;478,9;21,7;1,23
26/10/2017;10:00;10;25;Muy buena / Oso ona;39;55;Buena / Ona;18;Muy buena / Oso ona;279;68;1018,5;0;320,8;20,4;1,41
26/10/2017;09:00;57;47;Muy buena / Oso ona;133;64;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;279;72;1018;0;111;18,6;1,13
26/10/2017;08:00;191;79;Muy buena / Oso ona;371;47;Buena / Ona;17;Muy buena / Oso ona;69;58;1017,2;0;41,8;17,6;0,66
26/10/2017;07:00;134;65;Muy buena / Oso ona;271;36;Muy buena / Oso ona;17;Muy buena / Oso ona;62;68;1016,5;0;2,7;14,5;0,4
26/10/2017;06:00;67;51;Muy buena / Oso ona;154;29;Muy buena / Oso ona;16;Muy buena / Oso ona;7;74;1016;0;0;13,6;0,19
26/10/2017;05:00;34;39;Muy buena / Oso ona;91;27;Muy buena / Oso ona;14;Muy buena / Oso ona;48;81;1015,4;0;0;12,7;0,34
26/10/2017;04:00;17;36;Muy buena / Oso ona;63;35;Muy buena / Oso ona;17;Muy buena / Oso ona;52;80;1015;0;0;13,2;0,3
26/10/2017;03:00;21;31;Muy buena / Oso ona;63;39;Muy buena / Oso ona;20;Muy buena / Oso ona;72;85;1015,1;0;0;12,8;0,39
26/10/2017;02:00;27;33;Muy buena / Oso ona;73;37;Muy buena / Oso ona;26;Buena / Ona;18;88;1015,2;0;0;12,6;0,25
26/10/2017;01:00;46;33;Muy buena / Oso ona;103;47;Buena / Ona;25;Muy buena / Oso ona;16;90;1015,2;0;0;12,4;0,26
25/10/2017;24:00;50;40;Muy buena / Oso ona;116;44;Buena / Ona;30;Buena / Ona;11;90;1015,3;0;0;13,1;0,26
25/10/2017;23:00;66;46;Muy buena / Oso ona;147;44;Buena / Ona;24;Muy buena / Oso ona;40;90;1015,4;0;0;13,6;0,16
25/10/2017;22:00;64;51;Muy buena / Oso ona;149;37;Muy buena / Oso ona;18;Muy buena / Oso ona;328;89;1015,5;0;0,1;13,9;0,19
25/10/2017;21:00;69;59;Muy buena / Oso ona;165;34;Muy buena / Oso ona;19;Muy buena / Oso ona;40;89;1015,1;0;0,1;14,4;0,2
25/10/2017;20:00;60;64;Muy buena / Oso ona;156;37;Muy buena / Oso ona;15;Muy buena / Oso ona;53;86;1015;0;0,3;15,2;0,37
25/10/2017;19:00;51;71;Muy buena / Oso ona;149;37;Muy buena / Oso ona;28;Buena / Ona;40;84;1015;0;0,3;15,9;0,42
