Date;Hour;Benceno (µg/m3);Etilbenceno (µg/m3);Ortoxileno (µg/m3);Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;0,24;0,13;0,99;1,65;155;88;1024,4;0;2,5;9,8;1,16
29/10/2017;06:00;0,24;0,13;1,05;1,77;163;88;1024,5;0;0,3;10,2;0,78
29/10/2017;05:00;0,29;0,13;0,96;1,82;154;89;1024,5;0;0,3;10,1;0,89
29/10/2017;04:00;0,29;0,13;0,94;1,94;162;89;1024,5;0;0,3;9,7;0,94
29/10/2017;03:00;0,28;0,13;1,01;2,03;159;88;1024,7;0;0,3;10;0,95
29/10/2017;02:00;0,28;0,13;1;2,03;158;88;1025,1;0;0,3;10,4;0,91
29/10/2017;01:00;0,27;0,13;0,84;1,8;163;87;1025,4;0;0,3;10,5;0,9
28/10/2017;24:00;0,33;0,13;0,96;1,91;168;86;1025,8;0;0,3;10,9;1,01
28/10/2017;23:00;0,3;0,13;1,2;2,04;179;83;1026,1;0;0,3;11,4;0,88
28/10/2017;22:00;0,42;0,2;1,56;2,42;175;80;1026,1;0;0,3;12,3;0,6
28/10/2017;21:00;0,52;0,39;1,75;2,47;158;76;1026,1;0;0,3;13,8;0,15
28/10/2017;20:00;0,5;0,22;1,15;1,82;131;72;1026,2;0;0,3;15,2;0,05
28/10/2017;19:00;0,53;0,19;0,82;1,29;221;68;1026,2;0;0,3;15,8;0,17
28/10/2017;18:00;0,37;0,13;0,44;1,12;51;69;1025,9;0;1,3;16,3;0,28
28/10/2017;17:00;0,23;0,13;0,12;0,61;35;71;1025,6;0;24,2;17,1;0,9
28/10/2017;16:00;0,35;0,13;0,39;0,77;40;68;1025,4;0;77,4;17,7;1,63
28/10/2017;15:00;0,31;0,13;0,44;0,94;39;70;1025,4;0;75,3;18,2;1,23
28/10/2017;14:00;;;;;31;67;1025,6;0;150,7;18,8;0,82
28/10/2017;13:00;;;;;5;75;1026,3;0;174,6;18,4;0,51
28/10/2017;12:00;0,32;0,74;2,91;3,51;338;80;1027,1;0;106,8;17,6;1,41
28/10/2017;11:00;0,49;1,19;5,08;6,02;331;83;1027,5;0;120;17,2;1,38
28/10/2017;10:00;0,53;1,34;5,29;7,79;8;85;1027,5;0;62,4;16,5;0,37
28/10/2017;09:00;0,28;1,49;6,19;7,17;79;87;1027,5;0;90,5;16,5;0,05
28/10/2017;08:00;0,29;1,01;4,52;5,68;96;88;1027,4;0;29,1;15,3;0,05
28/10/2017;07:00;0,22;0,15;1,04;2,23;224;87;1027,3;0;1,7;15,4;0,16
28/10/2017;06:00;0,26;0,25;1,23;3,97;283;86;1027,3;0;0,3;15,9;0,25
28/10/2017;05:00;0,25;0,13;0,77;0,97;334;84;1027,7;0;0,3;16,1;1,04
28/10/2017;04:00;0,15;0,13;1,26;0,91;336;81;1027,7;0;0,3;16,4;1,14
28/10/2017;03:00;0,16;0,13;0,95;0,94;339;80;1027,9;0;0,3;16,5;1,44
28/10/2017;02:00;0,23;0,13;0,95;1,1;339;78;1028,2;0;0,3;16,8;1,71
28/10/2017;01:00;0,22;0,13;1,01;1,2;338;79;1028,7;0;0,3;16,8;1,26
27/10/2017;24:00;0,2;0,2;1,05;1,26;336;79;1028,9;0;0,3;16,9;1,37
27/10/2017;23:00;0,25;0,13;1,12;1,37;337;78;1029,2;0;0,3;16,9;1,6
27/10/2017;22:00;0,34;0,23;1,49;1,77;342;81;1029,2;0;0,3;16,8;1,2
27/10/2017;21:00;0,28;0,13;1,19;1,53;337;83;1028,9;0;0,3;16,9;0,9
27/10/2017;20:00;0,29;0,4;1,95;2,01;340;86;1029;0;0,3;16,9;1
27/10/2017;19:00;0,26;0,43;1,73;2,11;340;85;1028,8;0;0,3;17,3;1,49
27/10/2017;18:00;0,28;0,54;2,24;2,43;342;83;1028,7;0;0,9;17,7;1,94
27/10/2017;17:00;0,3;0,63;2,58;2,49;339;82;1028,6;0;17,3;17,9;1,63
27/10/2017;16:00;0,35;0,67;2,63;2,59;339;81;1028,7;0;60,4;18,2;1,91
27/10/2017;15:00;0,42;0,67;2,75;3,11;338;79;1028,6;0;69,7;18,5;1,72
27/10/2017;14:00;;;;;336;77;1028,6;0;126,9;18,7;1,81
27/10/2017;13:00;;;;;348;68;1028,7;0;149,2;19,8;1,01
27/10/2017;12:00;0,46;1,16;4,9;5,62;152;68;1029;0;214,3;19,3;0,11
27/10/2017;11:00;0,45;1,31;5,42;7,14;161;76;1029,2;0;186,8;16,2;0,67
27/10/2017;10:00;0,45;1,12;4,25;5,85;161;81;1029,2;0;124,2;13,9;0,82
27/10/2017;09:00;0,43;0,72;3,16;4,99;161;86;1029,1;0;66,5;12,4;1,2
27/10/2017;08:00;0,66;0,89;3,59;7,12;159;88;1028,6;0;24,3;11,4;1,27
27/10/2017;07:00;0,31;0,33;1,31;4,12;160;88;1028,2;0;1,9;11;1,1
27/10/2017;06:00;0,29;0,15;1,27;3,32;162;88;1027,9;0;0,3;11;1,03
27/10/2017;05:00;0,35;0,27;1,44;3,73;169;87;1027,5;0;0,3;11,2;0,95
27/10/2017;04:00;0,31;0,29;1,5;3,58;165;86;1026,9;0;0,3;11,7;0,95
27/10/2017;03:00;0,32;0,41;1,89;3,48;158;86;1026,9;0;0,3;12,3;1,07
27/10/2017;02:00;0,29;0,33;1,83;3,77;160;86;1027;0;0,3;12,5;1,25
27/10/2017;01:00;0,32;0,36;1,45;3,86;157;85;1027,2;0;0,3;12,8;1,34
26/10/2017;24:00;0,37;0,4;1,63;3,72;161;84;1027,2;0;0,3;13,4;1,08
26/10/2017;23:00;0,43;0,54;2,16;3,54;172;82;1026,9;0;0,3;14;0,93
26/10/2017;22:00;0,44;0,61;2,5;3,41;179;80;1026,5;0;0,3;14,6;0,75
26/10/2017;21:00;0,51;0,62;2,64;3,21;185;78;1025,8;0;0,3;15,3;0,82
26/10/2017;20:00;0,51;0,74;3,16;3,39;184;74;1025,4;0;0,3;16,4;0,71
26/10/2017;19:00;0,52;0,77;3,11;3,08;210;70;1025,1;0;0,3;17,8;0,3
26/10/2017;18:00;0,58;1,06;4,01;4,11;249;66;1024,6;0;1,6;19,3;0,34
26/10/2017;17:00;0,49;1,07;4,29;3,12;338;61;1024,1;0;16,4;20,9;0,87
26/10/2017;16:00;0,26;0,37;1,5;1,9;341;58;1023,6;0;32,3;21,8;1,52
26/10/2017;15:00;0,33;0,41;1,69;1,96;339;56;1023,2;0;51,6;22,2;1,54
26/10/2017;14:00;;;;;336;58;1023;0;155;22,2;2,02
26/10/2017;13:00;;;;;340;58;1023;0;252,1;22,2;1,73
26/10/2017;12:00;0,9;1,2;4,9;5,96;346;57;1023;0;78,5;21,3;1,3
26/10/2017;11:00;0,81;1,37;5,39;6,91;8;65;1022,7;0;93,6;20,3;0,9
26/10/2017;10:00;0,66;1,43;5,32;6,5;350;74;1022,3;0;121,8;18,9;0,49
26/10/2017;09:00;0,9;2,23;8,86;9,62;345;74;1021,6;0;38;18;1,06
26/10/2017;08:00;0,79;0,97;3,58;4,14;190;51;1020,4;0;63,1;18,8;0,29
26/10/2017;07:00;0,28;0,43;1,98;3,06;147;53;1019,4;0;2,9;17,6;0,84
26/10/2017;06:00;0,26;0,51;1,77;3,23;165;58;1018,7;0;0,3;16,6;0,88
26/10/2017;05:00;0,28;0,62;2,36;3,65;157;61;1018,2;0;0,3;16,1;1,33
26/10/2017;04:00;0,28;0,65;2,47;4,25;171;62;1017,9;0;0,3;16,1;1,3
26/10/2017;03:00;0,37;0,75;2,99;4,66;166;63;1018;0;0,3;16,3;1,31
26/10/2017;02:00;0,39;0,79;3,27;5,54;157;66;1018,1;0;0,3;16;1,06
26/10/2017;01:00;0,74;1,65;6,69;12,53;160;71;1018,1;0;0,3;15,5;1,11
25/10/2017;24:00;1,56;2,54;9,87;13,66;215;80;1018,1;0;0,3;14,8;0,11
25/10/2017;23:00;1,91;2,84;11,29;14,59;111;81;1018,2;0;0,3;15;0,12
25/10/2017;22:00;1,06;2,86;11,45;12,99;246;79;1018,3;0;0,3;15,7;0,15
25/10/2017;21:00;1,05;2,11;8,04;10,35;154;79;1017,9;0;0,3;16,1;0,68
25/10/2017;20:00;0,84;1,61;5,67;8,17;166;79;1017,7;0;0,3;15,9;0,76
25/10/2017;19:00;0,76;1,34;4,56;5,84;184;76;1017,7;0;0,3;16,9;0,46
25/10/2017;18:00;0,64;1,1;3,96;4,8;343;72;1017,7;0;1,9;18,4;0,43
25/10/2017;17:00;0,64;1,06;3,87;4,4;341;64;1017,5;0;16,4;19,6;1,09
25/10/2017;16:00;0,65;1,06;3,93;4,7;340;60;1017,3;0;31,1;20,5;1,61
25/10/2017;15:00;0,68;1,21;4,3;4,96;341;56;1017,3;0;48,7;21;1,95
25/10/2017;14:00;;;;;338;50;1017,4;0;153,3;22,6;1,97
25/10/2017;13:00;;;;;332;44;1017,8;0;264,4;24,6;0,83
25/10/2017;12:00;2,02;3,61;9,98;10,27;28;43;1018,5;0;58,1;23,6;0,3
25/10/2017;11:00;0,78;2,32;8,17;9,08;118;52;1019,1;0;73,1;20,5;0,17
25/10/2017;10:00;0,78;2,47;8,71;10,59;173;64;1019,4;0;123,9;16,5;0,45
25/10/2017;09:00;0,52;1,26;5,27;5,7;156;76;1019,2;0;33,7;13,1;1,2
25/10/2017;08:00;0,46;1,32;5,26;5,27;168;83;1019,1;0;65,9;10,9;1,15
25/10/2017;07:00;0,41;0,98;3,84;4,67;162;84;1018,4;0;3,1;10,5;1,32
25/10/2017;06:00;0,35;0,58;2,2;3,65;155;83;1018,2;0;0,3;11;1,47
25/10/2017;05:00;0,31;0,53;2,31;3,56;159;82;1018,2;0;0,3;11,4;1,38
25/10/2017;04:00;0,38;0,73;2,94;3,84;157;79;1018,1;0;0,3;12,1;1,22
25/10/2017;03:00;0,5;0,98;4,05;4,45;157;79;1018;0;0,3;12,6;1,12
25/10/2017;02:00;0,57;1,14;4,67;5,44;151;79;1017,9;0;0,3;13;1,26
25/10/2017;01:00;0,58;1,21;4,84;5,42;156;78;1017,9;0;0,3;13,5;1,39
24/10/2017;24:00;0,68;1,46;5,79;6,27;154;78;1018,2;0;0,3;13,8;1,3
24/10/2017;23:00;0,78;1,66;6,68;8,06;152;78;1018,5;0;0,3;14,2;1,37
24/10/2017;22:00;0,76;1,35;5,23;7,62;151;78;1018,7;0;0,3;14,5;1,31
24/10/2017;21:00;0,83;1,49;5,39;7,04;169;76;1018,7;0;0,3;15;0,86
24/10/2017;20:00;0,88;1,76;6,16;7,97;153;73;1018,5;0;0,3;16,3;0,1
24/10/2017;19:00;0,81;1,45;4,97;5,69;250;67;1018,5;0;0,3;17,8;0,15
24/10/2017;18:00;0,59;1,63;5,23;5,45;331;61;1018,2;0;2,4;19;0,32
24/10/2017;17:00;1,01;1,37;4,79;5,03;335;55;1017,8;0;20,4;21,2;1,34
24/10/2017;16:00;0,87;1,9;5,17;5,78;337;48;1017,3;0;57,2;23,6;2,19
24/10/2017;15:00;0,72;1,31;5,26;5,42;345;35;1016,7;0;83;28,8;0,38
24/10/2017;14:00;;;;;144;36;1016,9;0;170;27,9;0,54
24/10/2017;13:00;;;;;138;38;1017,4;0;264,1;25,7;0,71
24/10/2017;12:00;1,2;2,22;8,94;7,98;122;42;1018,2;0;105,6;22,5;0,72
24/10/2017;11:00;1,05;2,31;9,35;8,16;138;46;1019,1;0;117,3;19,3;0,69
24/10/2017;10:00;1,12;2,1;8,5;7,59;135;54;1019,6;0;138,6;15,9;0,91
24/10/2017;09:00;0,83;1,83;7,53;6,92;135;63;1020;0;52,1;12,8;1,05
24/10/2017;08:00;0,8;1,15;4,69;5,52;152;71;1020,2;0;87,7;10,7;1,43
24/10/2017;07:00;0,69;0,79;3,81;4,3;153;76;1020,2;0;4,3;9,8;1,38
24/10/2017;06:00;0,61;0,67;2,74;3,5;141;78;1020,5;0;0,3;9,7;0,87
24/10/2017;05:00;0,59;0,41;2,15;2,87;153;78;1020,8;0;0,3;9,9;0,89
24/10/2017;04:00;0,49;0,6;2,36;2,9;143;80;1021;0;0,3;10,1;0,95
24/10/2017;03:00;0,39;0,5;2,37;2,89;149;81;1021,5;0;0,3;10,3;1,21
24/10/2017;02:00;0,29;0,47;2,39;3,14;152;82;1022;0;0,3;10,6;0,98
24/10/2017;01:00;0,33;0,52;2,26;3,39;152;82;1022,5;0;0,3;10,7;1,21
23/10/2017;24:00;0,32;0,61;2,5;3,95;157;81;1023;0;0,3;11,2;1,32
23/10/2017;23:00;0,39;0,63;2,69;4,33;160;79;1023,3;0;0,3;11,9;1,22
23/10/2017;22:00;0,39;0,54;2,31;3,78;165;77;1023;0;0,3;12,2;0,98
23/10/2017;21:00;0,39;0,59;2,28;3,89;174;74;1022,8;0;0,3;12,6;0,91
23/10/2017;20:00;0,44;0,58;2,38;3,51;182;70;1022,8;0;0,3;13,7;0,52
23/10/2017;19:00;0,47;0,57;2,18;2,69;185;67;1022,7;0;0,3;15;0,54
23/10/2017;18:00;0,52;0,74;2,97;3,91;229;63;1022,5;0;2,2;16,6;0,73
23/10/2017;17:00;0,37;0,43;1,9;2,42;315;55;1022,4;0;21,1;19,1;0,52
23/10/2017;16:00;0,37;0,49;1,84;2,23;340;54;1022,5;0;35,5;19,2;1,7
23/10/2017;15:00;0,41;0,51;1,87;2,27;340;54;1022,4;0;44,9;19,8;1,57
