Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;1;15;Muy buena / Oso ona;17;10;"Muy buena / ";14;14;Muy buena / Oso ona;3;Muy buena / Oso ona;167;96;1014,9;0;1,4;9,7;0,96
29/10/2017;06:00;;;Sin datos / Daturik gabe;15;14;"Muy buena / ";16;11;Muy buena / Oso ona;4;Muy buena / Oso ona;181;95;1015,2;0;0;9,6;0,7
29/10/2017;05:00;;;Sin datos / Daturik gabe;15;14;"Muy buena / ";17;11;Muy buena / Oso ona;4;Muy buena / Oso ona;178;95;1015,3;0;0;9,7;0,8
29/10/2017;04:00;;;Sin datos / Daturik gabe;14;17;"Muy buena / ";20;12;Muy buena / Oso ona;3;Muy buena / Oso ona;179;95;1015,3;0;0;9,8;0,67
29/10/2017;03:00;;;Sin datos / Daturik gabe;19;15;"Muy buena / ";22;14;Muy buena / Oso ona;4;Muy buena / Oso ona;186;95;1015,4;0;0;10,1;0,66
29/10/2017;02:00;;;Sin datos / Daturik gabe;17;20;"Muy buena / ";23;12;Muy buena / Oso ona;4;Muy buena / Oso ona;209;94;1015,8;0;0;10,7;0,74
29/10/2017;01:00;;;Sin datos / Daturik gabe;21;19;"Muy buena / ";27;13;Muy buena / Oso ona;4;Muy buena / Oso ona;191;92;1016,1;0;0;11,1;0,84
28/10/2017;24:00;;;Sin datos / Daturik gabe;22;19;"Muy buena / ";33;15;Muy buena / Oso ona;4;Muy buena / Oso ona;211;92;1016,5;0;0;11,3;0,58
28/10/2017;23:00;;;Sin datos / Daturik gabe;20;25;"Muy buena / ";38;11;Muy buena / Oso ona;4;Muy buena / Oso ona;195;90;1016,7;0;0;11,6;0,53
28/10/2017;22:00;;;Sin datos / Daturik gabe;25;23;"Muy buena / ";45;16;Muy buena / Oso ona;4;Muy buena / Oso ona;182;89;1016,8;0;0;12;0,6
28/10/2017;21:00;;;Sin datos / Daturik gabe;25;31;"Muy buena / ";51;15;Muy buena / Oso ona;4;Muy buena / Oso ona;227;86;1016,9;0;0;12,7;0,9
28/10/2017;20:00;;;Sin datos / Daturik gabe;33;28;"Muy buena / ";55;15;Muy buena / Oso ona;4;Muy buena / Oso ona;226;83;1016,8;0;0;13,3;0,85
28/10/2017;19:00;;;Sin datos / Daturik gabe;35;33;"Muy buena / ";59;9;Muy buena / Oso ona;4;Muy buena / Oso ona;243;77;1017;0;0;14,1;0,61
28/10/2017;18:00;;;Sin datos / Daturik gabe;16;58;"Muy buena / ";56;9;Muy buena / Oso ona;4;Muy buena / Oso ona;27;75;1016,9;0;1;14,2;0,3
28/10/2017;17:00;;;Sin datos / Daturik gabe;8;68;"Buena / ";58;13;Muy buena / Oso ona;4;Muy buena / Oso ona;350;73;1016,7;0;31,7;15,2;0,99
28/10/2017;16:00;;;Sin datos / Daturik gabe;7;67;"Buena / ";50;12;Muy buena / Oso ona;4;Muy buena / Oso ona;351;78;1016,5;0;77,4;16,1;1,13
28/10/2017;15:00;;;Sin datos / Daturik gabe;8;65;"Buena / ";40;12;Muy buena / Oso ona;4;Muy buena / Oso ona;16;77;1016,7;0;167,3;16,6;0,34
28/10/2017;14:00;;;Sin datos / Daturik gabe;9;63;"Buena / ";32;18;Muy buena / Oso ona;4;Muy buena / Oso ona;11;77;1016,9;0;204,5;16,8;0,43
28/10/2017;13:00;1;12;Muy buena / Oso ona;13;55;"Muy buena / ";25;18;Muy buena / Oso ona;4;Muy buena / Oso ona;8;80;1017,5;0;145,7;16,7;0,44
28/10/2017;12:00;4;21;Muy buena / Oso ona;27;42;"Muy buena / ";21;19;Muy buena / Oso ona;3;Muy buena / Oso ona;62;78;1018,2;0;480,4;17,2;0,48
28/10/2017;11:00;15;40;Muy buena / Oso ona;63;;"Sin datos / ";20;20;Muy buena / Oso ona;4;Muy buena / Oso ona;105;93;1018,7;0;83,3;15,4;0,69
28/10/2017;10:00;15;34;Muy buena / Oso ona;57;6;"Muy buena / ";24;23;Muy buena / Oso ona;4;Muy buena / Oso ona;130;95;1018,7;0;51;14,6;0,51
28/10/2017;09:00;28;32;Muy buena / Oso ona;76;2;"Muy buena / ";28;24;Muy buena / Oso ona;4;Muy buena / Oso ona;122;97;1018,6;0;30,8;14;0,31
28/10/2017;08:00;8;27;Muy buena / Oso ona;39;4;"Muy buena / ";36;18;Muy buena / Oso ona;4;Muy buena / Oso ona;218;98;1018,4;0;17,5;13,5;0,02
28/10/2017;07:00;;;Sin datos / Daturik gabe;31;12;"Muy buena / ";41;23;Muy buena / Oso ona;4;Muy buena / Oso ona;243;98;1018,1;0;1,8;13,6;0,33
28/10/2017;06:00;;;Sin datos / Daturik gabe;16;34;"Muy buena / ";51;15;Muy buena / Oso ona;4;Muy buena / Oso ona;227;96;1018,1;0;0;14,3;1,25
28/10/2017;05:00;;;Sin datos / Daturik gabe;14;40;"Muy buena / ";60;11;Muy buena / Oso ona;4;Muy buena / Oso ona;265;93;1018,4;0;0;14,6;0,75
28/10/2017;04:00;;;Sin datos / Daturik gabe;10;59;"Muy buena / ";66;9;Muy buena / Oso ona;3;Muy buena / Oso ona;117;92;1018,4;0;0;14,7;0,55
28/10/2017;03:00;;;Sin datos / Daturik gabe;10;53;"Muy buena / ";70;10;Muy buena / Oso ona;4;Muy buena / Oso ona;127;95;1018,6;0,1;0;14,5;0,96
28/10/2017;02:00;;;Sin datos / Daturik gabe;8;60;"Muy buena / ";70;9;Muy buena / Oso ona;4;Muy buena / Oso ona;233;92;1018,9;0;0;15;0,46
28/10/2017;01:00;;;Sin datos / Daturik gabe;5;72;"Buena / ";72;8;Muy buena / Oso ona;4;Muy buena / Oso ona;276;92;1019,3;0;0;14,9;1,08
27/10/2017;24:00;;;Sin datos / Daturik gabe;2;79;"Buena / ";72;11;Muy buena / Oso ona;4;Muy buena / Oso ona;305;90;1019,6;0;0;15;1,29
27/10/2017;23:00;;;Sin datos / Daturik gabe;2;80;"Buena / ";71;12;Muy buena / Oso ona;4;Muy buena / Oso ona;337;86;1019,8;0;0;16;1,54
27/10/2017;22:00;;;Sin datos / Daturik gabe;3;79;"Buena / ";69;10;Muy buena / Oso ona;3;Muy buena / Oso ona;326;82;1019,9;0;0;16,4;1,5
27/10/2017;21:00;;;Sin datos / Daturik gabe;4;75;"Buena / ";64;11;Muy buena / Oso ona;4;Muy buena / Oso ona;336;80;1019,7;0;0;16,5;1,35
27/10/2017;20:00;;;Sin datos / Daturik gabe;7;70;"Buena / ";60;14;Muy buena / Oso ona;4;Muy buena / Oso ona;357;87;1019,6;0;0;16,5;1,57
27/10/2017;19:00;;;Sin datos / Daturik gabe;11;63;"Buena / ";58;14;Muy buena / Oso ona;3;Muy buena / Oso ona;4;89;1019,5;0;0;16,4;0,82
27/10/2017;18:00;;;Sin datos / Daturik gabe;7;66;"Buena / ";49;12;Muy buena / Oso ona;4;Muy buena / Oso ona;347;90;1019,4;0;0,4;16,9;1,45
27/10/2017;17:00;;;Sin datos / Daturik gabe;10;62;"Buena / ";;15;Muy buena / Oso ona;4;Muy buena / Oso ona;315;88;1019,3;0;11,2;17,3;1,42
27/10/2017;16:00;;;Sin datos / Daturik gabe;17;52;"Muy buena / ";38;18;Muy buena / Oso ona;4;Muy buena / Oso ona;311;91;1019,4;0;28,8;17,3;1,39
27/10/2017;15:00;;;Sin datos / Daturik gabe;21;46;"Muy buena / ";28;21;Muy buena / Oso ona;4;Muy buena / Oso ona;309;93;1019,4;0,1;51;17,2;1,89
27/10/2017;14:00;1;14;Muy buena / Oso ona;18;53;"Muy buena / ";25;20;Muy buena / Oso ona;4;Muy buena / Oso ona;316;91;1019,5;0;71,3;17,5;1,77
27/10/2017;13:00;2;14;Muy buena / Oso ona;17;57;"Muy buena / ";21;28;Muy buena / Oso ona;4;Muy buena / Oso ona;313;89;1019,7;0;64,6;17,7;1,78
27/10/2017;12:00;27;35;Muy buena / Oso ona;77;20;"Muy buena / ";13;36;Muy buena / Oso ona;5;Muy buena / Oso ona;314;81;1020;0;121,2;17,9;0,51
27/10/2017;11:00;44;38;Muy buena / Oso ona;105;;"Sin datos / ";6;36;Muy buena / Oso ona;5;Muy buena / Oso ona;116;83;1020;0;183,6;16,2;0,47
27/10/2017;10:00;40;38;Muy buena / Oso ona;100;3;"Muy buena / ";9;35;Muy buena / Oso ona;5;Muy buena / Oso ona;161;88;1019,9;0;61,3;14,3;0,43
27/10/2017;09:00;37;41;Muy buena / Oso ona;98;3;"Muy buena / ";11;27;Muy buena / Oso ona;5;Muy buena / Oso ona;190;89;1019,7;0;37,6;14;0,48
27/10/2017;08:00;44;45;Muy buena / Oso ona;113;1;"Muy buena / ";15;23;Muy buena / Oso ona;5;Muy buena / Oso ona;176;88;1019,3;0;11,3;13,4;0,56
27/10/2017;07:00;40;46;Muy buena / Oso ona;107;2;"Muy buena / ";17;19;Muy buena / Oso ona;5;Muy buena / Oso ona;185;89;1019;0;1,5;13,1;0,68
27/10/2017;06:00;9;34;Muy buena / Oso ona;48;6;"Muy buena / ";24;16;Muy buena / Oso ona;4;Muy buena / Oso ona;199;89;1018,8;0;0;12,7;0,57
27/10/2017;05:00;;;Sin datos / Daturik gabe;25;11;"Muy buena / ";24;16;Muy buena / Oso ona;4;Muy buena / Oso ona;134;91;1018,5;0;0;11,8;0,56
27/10/2017;04:00;;;Sin datos / Daturik gabe;20;22;"Muy buena / ";27;14;Muy buena / Oso ona;4;Muy buena / Oso ona;167;90;1017,9;0;0;12,2;0,81
27/10/2017;03:00;;;Sin datos / Daturik gabe;21;25;"Muy buena / ";31;13;Muy buena / Oso ona;4;Muy buena / Oso ona;174;88;1018;0;0;12,6;0,96
27/10/2017;02:00;;;Sin datos / Daturik gabe;28;21;"Muy buena / ";36;13;Muy buena / Oso ona;4;Muy buena / Oso ona;184;85;1018,2;0;0;12,9;0,75
27/10/2017;01:00;;;Sin datos / Daturik gabe;23;32;"Muy buena / ";42;16;Muy buena / Oso ona;4;Muy buena / Oso ona;190;83;1018,3;0;0;13,4;0,87
26/10/2017;24:00;;;Sin datos / Daturik gabe;19;40;"Muy buena / ";48;15;Muy buena / Oso ona;4;Muy buena / Oso ona;192;81;1018,2;0;0;13,9;0,85
26/10/2017;23:00;;;Sin datos / Daturik gabe;21;42;"Muy buena / ";53;16;Muy buena / Oso ona;4;Muy buena / Oso ona;172;79;1017,9;0;0;14,8;0,93
26/10/2017;22:00;;;Sin datos / Daturik gabe;36;24;"Muy buena / ";57;19;Muy buena / Oso ona;4;Muy buena / Oso ona;208;82;1017,5;0;0;14,9;1,01
26/10/2017;21:00;;;Sin datos / Daturik gabe;36;29;"Muy buena / ";63;22;Muy buena / Oso ona;4;Muy buena / Oso ona;205;81;1016,9;0;0;15,5;0,95
26/10/2017;20:00;;;Sin datos / Daturik gabe;33;42;"Muy buena / ";67;23;Muy buena / Oso ona;4;Muy buena / Oso ona;210;81;1016,6;0;0;16,7;0,97
26/10/2017;19:00;;;Sin datos / Daturik gabe;29;60;"Muy buena / ";70;20;Muy buena / Oso ona;4;Muy buena / Oso ona;241;77;1016,4;0;0;17,6;0,97
26/10/2017;18:00;;;Sin datos / Daturik gabe;30;65;"Buena / ";69;20;Muy buena / Oso ona;4;Muy buena / Oso ona;262;74;1015,7;0;1,5;18,1;0,76
26/10/2017;17:00;;;Sin datos / Daturik gabe;14;78;"Buena / ";70;21;Muy buena / Oso ona;4;Muy buena / Oso ona;283;70;1015,2;0;115,5;19,5;0,98
26/10/2017;16:00;;;Sin datos / Daturik gabe;14;81;"Buena / ";66;29;Muy buena / Oso ona;3;Muy buena / Oso ona;291;63;1014,8;0;386;21,1;1,14
26/10/2017;15:00;;;Sin datos / Daturik gabe;19;73;"Buena / ";60;31;Muy buena / Oso ona;4;Muy buena / Oso ona;284;66;1014,6;0;516,3;21,4;0,06
26/10/2017;14:00;;;Sin datos / Daturik gabe;11;73;"Buena / ";54;31;Muy buena / Oso ona;4;Muy buena / Oso ona;316;76;1014,6;0;725,1;19,7;1,36
26/10/2017;13:00;1;11;Muy buena / Oso ona;13;64;"Buena / ";51;32;Muy buena / Oso ona;4;Muy buena / Oso ona;311;78;1014,5;0;893,1;19,5;2,14
26/10/2017;12:00;1;14;Muy buena / Oso ona;17;55;"Muy buena / ";51;38;Muy buena / Oso ona;4;Muy buena / Oso ona;324;74;1014,2;0;967;19,8;1,96
26/10/2017;11:00;2;17;Muy buena / Oso ona;19;;"Sin datos / ";50;28;Muy buena / Oso ona;4;Muy buena / Oso ona;324;74;1013,5;0;877,7;20,2;2,18
26/10/2017;10:00;1;15;Muy buena / Oso ona;16;57;"Muy buena / ";52;13;Muy buena / Oso ona;4;Muy buena / Oso ona;260;45;1012,4;0;674;24;1,36
26/10/2017;09:00;2;25;Muy buena / Oso ona;28;46;"Muy buena / ";52;13;Muy buena / Oso ona;4;Muy buena / Oso ona;222;43;1011,9;0;445,1;23;0,98
26/10/2017;08:00;1;30;Muy buena / Oso ona;32;39;"Muy buena / ";48;12;Muy buena / Oso ona;4;Muy buena / Oso ona;225;47;1011,2;0;254,5;21,3;0,96
