Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;4;15;Muy buena / Oso ona;21;6;"Muy buena / ";;8;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;204;98;1027;0;2,1;9,2;1,13
29/10/2017;06:00;8;11;Muy buena / Oso ona;23;3;"Muy buena / ";;13;Muy buena / Oso ona;8;Muy buena / Oso ona;0;Muy buena / Oso ona;205;99;1027,3;0;0,4;9,9;0,46
29/10/2017;05:00;5;11;Muy buena / Oso ona;19;3;"Muy buena / ";;15;Muy buena / Oso ona;9;Muy buena / Oso ona;0;Muy buena / Oso ona;190;98;1027,4;0;0,4;9,2;1,08
29/10/2017;04:00;6;14;Muy buena / Oso ona;23;2;"Muy buena / ";;12;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;195;98;1027,4;0;0,4;9,4;0,87
29/10/2017;03:00;4;16;Muy buena / Oso ona;22;;"Sin datos / ";;15;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;211;98;1027,5;0;0,4;9,6;0,82
29/10/2017;02:00;5;18;Muy buena / Oso ona;25;3;"Muy buena / ";7;13;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;203;98;1027,9;0;0,4;9,8;1,01
29/10/2017;01:00;5;23;Muy buena / Oso ona;30;3;"Muy buena / ";10;10;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;199;98;1028,3;0;0,4;10,1;0,95
28/10/2017;24:00;17;24;Muy buena / Oso ona;49;2;"Muy buena / ";18;14;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;221;97;1028,6;0;0,4;11,4;0,28
28/10/2017;23:00;21;30;Muy buena / Oso ona;61;2;"Muy buena / ";24;20;Muy buena / Oso ona;15;Muy buena / Oso ona;0;Muy buena / Oso ona;191;96;1028,8;0;0,4;11,1;0,9
28/10/2017;22:00;11;31;Muy buena / Oso ona;47;3;"Muy buena / ";32;15;Muy buena / Oso ona;14;Muy buena / Oso ona;0;Muy buena / Oso ona;216;94;1029;0;0,4;11,7;0,5
28/10/2017;21:00;11;35;Muy buena / Oso ona;51;4;"Muy buena / ";40;11;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;200;92;1029;0;0,4;12,4;0,75
28/10/2017;20:00;8;37;Muy buena / Oso ona;48;11;"Muy buena / ";47;13;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;204;89;1028,9;0;0,4;13;0,67
28/10/2017;19:00;7;33;Muy buena / Oso ona;43;20;"Muy buena / ";50;16;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;190;87;1029;0;0,4;13,1;0,85
28/10/2017;18:00;16;37;Muy buena / Oso ona;60;27;"Muy buena / ";48;8;Muy buena / Oso ona;13;Muy buena / Oso ona;0;Muy buena / Oso ona;355;78;1028,9;0;1,1;15,5;0,97
28/10/2017;17:00;2;10;Muy buena / Oso ona;13;61;"Buena / ";45;12;Muy buena / Oso ona;16;Muy buena / Oso ona;0;Muy buena / Oso ona;5;71;1028,6;0;14,6;16,1;1,35
28/10/2017;16:00;2;9;Muy buena / Oso ona;11;67;"Buena / ";38;16;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;11;79;1028,5;0;70,7;16,7;1,29
28/10/2017;15:00;3;9;Muy buena / Oso ona;13;66;"Buena / ";30;20;Muy buena / Oso ona;6;Muy buena / Oso ona;0;Muy buena / Oso ona;30;78;1028,6;0;159,9;16,9;1,81
28/10/2017;14:00;3;10;Muy buena / Oso ona;12;67;"Buena / ";23;27;Muy buena / Oso ona;10;Muy buena / Oso ona;0;Muy buena / Oso ona;30;82;1028,9;0;200,6;16,8;2,18
28/10/2017;13:00;5;16;Muy buena / Oso ona;24;54;"Muy buena / ";18;20;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;30;85;1029,5;0;135;16,5;2,44
28/10/2017;12:00;12;30;Muy buena / Oso ona;48;35;"Muy buena / ";15;33;Muy buena / Oso ona;7;Muy buena / Oso ona;0;Muy buena / Oso ona;14;88;1030,1;0;135,9;17,5;1,93
28/10/2017;11:00;36;45;Muy buena / Oso ona;99;7;"Muy buena / ";16;37;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;310;96;1030,6;0;79;16,1;0,15
28/10/2017;10:00;48;41;Muy buena / Oso ona;113;4;"Muy buena / ";17;35;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona;224;98;1030,7;0;64,7;15,2;0,31
28/10/2017;09:00;46;38;Muy buena / Oso ona;108;3;"Muy buena / ";20;21;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;222;99;1030,6;0;39,9;14,5;0,28
28/10/2017;08:00;29;35;Muy buena / Oso ona;78;5;"Muy buena / ";30;17;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;200;99;1030,4;0;21;13,6;0,54
28/10/2017;07:00;16;22;Muy buena / Oso ona;47;10;"Muy buena / ";;11;Muy buena / Oso ona;8;Muy buena / Oso ona;0;Muy buena / Oso ona;210;98;1030,1;0;2,3;13,3;0,48
28/10/2017;06:00;6;10;Muy buena / Oso ona;15;25;"Muy buena / ";;17;Muy buena / Oso ona;8;Muy buena / Oso ona;0;Muy buena / Oso ona;314;98;1030,1;0;0,4;14,8;0,52
28/10/2017;05:00;;;Sin datos / Daturik gabe;13;33;"Muy buena / ";;15;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;236;97;1030,3;0;0,4;14,8;0,33
28/10/2017;04:00;;;Sin datos / Daturik gabe;8;41;"Muy buena / ";;17;Muy buena / Oso ona;16;Muy buena / Oso ona;0;Muy buena / Oso ona;251;96;1030,4;0;0,4;15,1;0,36
28/10/2017;03:00;;;Sin datos / Daturik gabe;6;;"Sin datos / ";;11;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;239;93;1030,6;0,1;0,4;15,4;0,18
28/10/2017;02:00;;;Sin datos / Daturik gabe;5;61;"Buena / ";72;5;Muy buena / Oso ona;8;Muy buena / Oso ona;0;Muy buena / Oso ona;202;90;1030,8;0;0,4;15,9;0,59
28/10/2017;01:00;;;Sin datos / Daturik gabe;7;64;"Buena / ";71;4;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;258;92;1031,3;0;0,4;15,6;1,08
27/10/2017;24:00;;;Sin datos / Daturik gabe;2;84;"Buena / ";69;25;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona;327;88;1031,6;0;0,4;16,5;0,5
27/10/2017;23:00;;;Sin datos / Daturik gabe;3;86;"Buena / ";65;21;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;40;84;1031,8;0;0,4;16,7;3,28
27/10/2017;22:00;;;Sin datos / Daturik gabe;3;81;"Buena / ";59;16;Muy buena / Oso ona;1;Muy buena / Oso ona;0;Muy buena / Oso ona;21;79;1031,8;0;0,4;17,2;0,7
27/10/2017;21:00;2;8;Muy buena / Oso ona;9;76;"Buena / ";54;14;Muy buena / Oso ona;1;Muy buena / Oso ona;0;Muy buena / Oso ona;36;77;1031,6;0;0,4;17,3;1,57
27/10/2017;20:00;4;16;Muy buena / Oso ona;21;66;"Buena / ";50;18;Muy buena / Oso ona;7;Muy buena / Oso ona;0;Muy buena / Oso ona;23;85;1031,5;0;0,4;17,1;2,51
27/10/2017;19:00;4;19;Muy buena / Oso ona;25;61;"Buena / ";45;19;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;17;88;1031,5;0;0,4;17,3;1,7
27/10/2017;18:00;5;16;Muy buena / Oso ona;23;61;"Buena / ";38;20;Muy buena / Oso ona;6;Muy buena / Oso ona;0;Muy buena / Oso ona;13;89;1031,3;0;0,6;18,5;2,56
27/10/2017;17:00;10;26;Muy buena / Oso ona;40;49;"Muy buena / ";31;26;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;348;85;1031,2;0;10,4;18,1;0,85
27/10/2017;16:00;18;34;Muy buena / Oso ona;60;42;"Muy buena / ";25;34;Muy buena / Oso ona;18;Muy buena / Oso ona;0;Muy buena / Oso ona;306;91;1031,3;0;29,4;18,1;0,25
27/10/2017;15:00;19;41;Muy buena / Oso ona;69;35;"Muy buena / ";21;33;Muy buena / Oso ona;24;Muy buena / Oso ona;0;Muy buena / Oso ona;356;93;1031,3;0;53;18;0,6
27/10/2017;14:00;15;33;Muy buena / Oso ona;56;43;"Muy buena / ";16;30;Muy buena / Oso ona;32;Buena / Ona;0;Muy buena / Oso ona;8;91;1031,4;0;62,2;18,2;0,74
27/10/2017;13:00;21;38;Muy buena / Oso ona;70;39;"Muy buena / ";11;32;Muy buena / Oso ona;28;Buena / Ona;1;Muy buena / Oso ona;23;87;1031,5;0;53;18,6;0,44
27/10/2017;12:00;33;36;Muy buena / Oso ona;87;31;"Muy buena / ";7;50;Buena / Ona;22;Muy buena / Oso ona;1;Muy buena / Oso ona;326;81;1031,7;0;164,7;19,9;0,71
27/10/2017;11:00;82;49;Muy buena / Oso ona;174;6;"Muy buena / ";3;57;Buena / Ona;26;Buena / Ona;1;Muy buena / Oso ona;143;83;1031,9;0;169,8;16,9;0,28
27/10/2017;10:00;101;52;Muy buena / Oso ona;207;4;"Muy buena / ";3;52;Buena / Ona;26;Buena / Ona;1;Muy buena / Oso ona;173;88;1031,8;0;74,3;15,2;0,81
27/10/2017;09:00;83;50;Muy buena / Oso ona;176;3;"Muy buena / ";3;43;Buena / Ona;26;Buena / Ona;1;Muy buena / Oso ona;202;90;1031,6;0;48,1;14,4;0,92
27/10/2017;08:00;103;55;Muy buena / Oso ona;212;3;"Muy buena / ";3;38;Muy buena / Oso ona;24;Muy buena / Oso ona;1;Muy buena / Oso ona;192;91;1031,3;0;13,3;13,8;1
27/10/2017;07:00;107;55;Muy buena / Oso ona;218;2;"Muy buena / ";;31;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;212;91;1030,9;0;2,4;13,2;1,16
27/10/2017;06:00;54;38;Muy buena / Oso ona;120;2;"Muy buena / ";;28;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;225;94;1030,9;0;0,4;13,4;0,64
27/10/2017;05:00;17;26;Muy buena / Oso ona;52;2;"Muy buena / ";;22;Muy buena / Oso ona;14;Muy buena / Oso ona;0;Muy buena / Oso ona;189;95;1030,5;0;0,4;11,5;0,78
27/10/2017;04:00;7;19;Muy buena / Oso ona;29;3;"Muy buena / ";;22;Muy buena / Oso ona;16;Muy buena / Oso ona;0;Muy buena / Oso ona;182;95;1030;0;0,4;11,5;0,94
27/10/2017;03:00;4;22;Muy buena / Oso ona;27;;"Sin datos / ";;19;Muy buena / Oso ona;14;Muy buena / Oso ona;0;Muy buena / Oso ona;184;95;1030;0;0,4;11,8;1,28
27/10/2017;02:00;2;23;Muy buena / Oso ona;25;3;"Muy buena / ";7;22;Muy buena / Oso ona;18;Muy buena / Oso ona;0;Muy buena / Oso ona;182;95;1030,3;0;0,4;12,1;1,36
27/10/2017;01:00;5;24;Muy buena / Oso ona;31;3;"Muy buena / ";11;20;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;181;95;1030,4;0;0,4;12,2;1,22
26/10/2017;24:00;1;26;Muy buena / Oso ona;28;4;"Muy buena / ";20;20;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona;166;96;1030,3;0;0,4;13,2;0,75
26/10/2017;23:00;7;29;Muy buena / Oso ona;40;2;"Muy buena / ";28;18;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;177;96;1029,9;0;0,4;12,8;0,98
26/10/2017;22:00;17;34;Muy buena / Oso ona;60;4;"Muy buena / ";38;23;Muy buena / Oso ona;11;Muy buena / Oso ona;0;Muy buena / Oso ona;183;94;1029,5;0;0,4;13,4;0,85
26/10/2017;21:00;9;34;Muy buena / Oso ona;47;10;"Muy buena / ";48;28;Muy buena / Oso ona;14;Muy buena / Oso ona;0;Muy buena / Oso ona;194;92;1028,9;0;0,4;14,3;1,1
26/10/2017;20:00;12;43;Muy buena / Oso ona;61;8;"Muy buena / ";55;30;Muy buena / Oso ona;20;Muy buena / Oso ona;0;Muy buena / Oso ona;183;92;1028,6;0;0,4;14,9;1,18
26/10/2017;19:00;21;51;Muy buena / Oso ona;82;17;"Muy buena / ";61;25;Muy buena / Oso ona;29;Buena / Ona;1;Muy buena / Oso ona;203;86;1028,2;0;0,4;16,2;0,63
26/10/2017;18:00;15;49;Muy buena / Oso ona;72;30;"Muy buena / ";65;27;Muy buena / Oso ona;30;Buena / Ona;0;Muy buena / Oso ona;331;78;1027,5;0;1,4;19,1;0,62
