Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;;;Sin datos / Daturik gabe;4;76;"Buena / ";78;15;88;977,1;2,6;11,6;2,39
29/10/2017;06:00;;;Sin datos / Daturik gabe;4;75;"Buena / ";78;25;88;977,3;0;11,6;3,38
29/10/2017;05:00;;;Sin datos / Daturik gabe;2;76;"Buena / ";;24;88;977,3;0;11,5;3,3
29/10/2017;04:00;;;Sin datos / Daturik gabe;2;78;"Buena / ";;14;88;977,3;0;11,5;2,41
29/10/2017;03:00;;;Sin datos / Daturik gabe;2;80;"Buena / ";;50;88;977,6;0;11,5;1,37
29/10/2017;02:00;;;Sin datos / Daturik gabe;2;79;"Buena / ";;68;88;977,9;0;11,6;1,32
29/10/2017;01:00;;;Sin datos / Daturik gabe;2;80;"Buena / ";;81;87;978,3;0;11,6;1,1
28/10/2017;24:00;;;Sin datos / Daturik gabe;2;79;"Buena / ";;78;86;978,7;0;11,9;1,89
28/10/2017;23:00;;;Sin datos / Daturik gabe;2;;"Sin datos / ";68;81;86;979;0;11,9;3,37
28/10/2017;22:00;;;Sin datos / Daturik gabe;2;80;"Buena / ";67;84;85;979,1;0;11,9;3,25
28/10/2017;21:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";65;;;;;;
28/10/2017;20:00;;;Sin datos / Daturik gabe;6;73;"Buena / ";64;114;83;979,2;0;12,2;3,07
28/10/2017;19:00;;;Sin datos / Daturik gabe;5;74;"Buena / ";62;104;81;979,2;0;12,5;3,55
28/10/2017;18:00;;;Sin datos / Daturik gabe;5;70;"Buena / ";60;97;83;979;1,4;12,6;4,43
28/10/2017;17:00;;;Sin datos / Daturik gabe;7;57;"Muy buena / ";59;37;88;978,9;70,5;13,1;1,95
28/10/2017;16:00;;;Sin datos / Daturik gabe;6;56;"Muy buena / ";60;45;87;978,8;88,8;13,3;2,7
28/10/2017;15:00;;;Sin datos / Daturik gabe;4;60;"Muy buena / ";61;47;93;978,8;162,5;13,2;4,5
28/10/2017;14:00;;;Sin datos / Daturik gabe;5;62;"Buena / ";62;37;91;979;117,4;13,4;4,21
28/10/2017;13:00;;;Sin datos / Daturik gabe;5;60;"Muy buena / ";62;39;89;979,7;223,7;13,7;2,75
28/10/2017;12:00;;;Sin datos / Daturik gabe;4;59;"Muy buena / ";62;8;97;980,4;73,6;13,2;3,41
28/10/2017;11:00;;;Sin datos / Daturik gabe;5;58;"Muy buena / ";63;13;97;980,7;109,1;13,3;4,7
28/10/2017;10:00;;;Sin datos / Daturik gabe;5;62;"Buena / ";65;6;96;980,7;39,2;13;4,56
28/10/2017;09:00;;;Sin datos / Daturik gabe;2;63;"Buena / ";66;3;96;980,7;49,6;13;5,6
28/10/2017;08:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";67;;;;;;
28/10/2017;07:00;;;Sin datos / Daturik gabe;3;65;"Buena / ";67;12;98;980,5;2;12,9;4,96
28/10/2017;06:00;;;Sin datos / Daturik gabe;5;66;"Buena / ";69;36;99;980,6;0;12,8;3,63
28/10/2017;05:00;;;Sin datos / Daturik gabe;7;62;"Buena / ";70;36;99;980,8;0;12,9;4,75
28/10/2017;04:00;;;Sin datos / Daturik gabe;5;67;"Buena / ";70;26;98;980,9;0;12,9;5,17
28/10/2017;03:00;;;Sin datos / Daturik gabe;4;68;"Buena / ";70;12;98;981,1;0;13;5,92
28/10/2017;02:00;;;Sin datos / Daturik gabe;4;72;"Buena / ";69;14;94;981,4;0;13,2;6,19
28/10/2017;01:00;;;Sin datos / Daturik gabe;4;70;"Buena / ";69;15;94;981,9;0;13,1;6,25
27/10/2017;24:00;;;Sin datos / Daturik gabe;3;75;"Buena / ";67;18;95;982,1;0;13,1;5,6
27/10/2017;23:00;;;Sin datos / Daturik gabe;3;75;"Buena / ";67;18;92;982,3;0;13,3;8,5
27/10/2017;22:00;;;Sin datos / Daturik gabe;3;73;"Buena / ";65;24;96;982,3;0;13,1;8,54
27/10/2017;21:00;;;Sin datos / Daturik gabe;5;67;"Buena / ";63;24;99;982,1;0;13,3;6,39
27/10/2017;20:00;;;Sin datos / Daturik gabe;4;63;"Buena / ";59;26;99;982,1;0;13,4;5,49
27/10/2017;19:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";57;;;;;;
27/10/2017;18:00;;;Sin datos / Daturik gabe;4;66;"Buena / ";54;1;97;981,9;0,5;14,1;6,97
27/10/2017;17:00;;;Sin datos / Daturik gabe;6;61;"Buena / ";54;2;97;981,9;14,4;14,2;5,89
27/10/2017;16:00;;;Sin datos / Daturik gabe;6;63;"Buena / ";55;13;95;982;36,8;14,3;5,38
27/10/2017;15:00;;;Sin datos / Daturik gabe;5;64;"Buena / ";55;5;92;982;57,9;14,2;5,3
27/10/2017;14:00;3;18;Muy buena / Oso ona;21;56;"Muy buena / ";56;8;94;982;115,3;14,6;4,19
27/10/2017;13:00;17;43;Muy buena / Oso ona;68;32;"Muy buena / ";57;3;87;982,2;387,9;15,3;3,81
27/10/2017;12:00;3;15;Muy buena / Oso ona;20;58;"Muy buena / ";61;340;83;982,4;262,9;15,9;1,96
27/10/2017;11:00;21;45;Muy buena / Oso ona;77;30;"Muy buena / ";63;317;85;982,4;300;15,5;1,35
27/10/2017;10:00;;;Sin datos / Daturik gabe;11;65;"Buena / ";70;14;87;982,3;138,9;15;1,17
27/10/2017;09:00;;;Sin datos / Daturik gabe;2;71;"Buena / ";69;39;90;982;57,5;14,5;1,19
27/10/2017;08:00;;;Sin datos / Daturik gabe;2;67;"Buena / ";71;60;93;981,6;27,2;14,1;1,88
27/10/2017;07:00;;;Sin datos / Daturik gabe;5;69;"Buena / ";71;62;92;981,1;1,2;13,9;2,54
27/10/2017;06:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";73;;;;;;
27/10/2017;05:00;;;Sin datos / Daturik gabe;14;64;"Buena / ";70;39;85;980,4;0;14,6;2,7
27/10/2017;04:00;;;Sin datos / Daturik gabe;10;72;"Buena / ";70;338;78;980;0;15,8;2,02
27/10/2017;03:00;;;Sin datos / Daturik gabe;6;84;"Buena / ";70;297;73;980;0;16,5;2,55
27/10/2017;02:00;;;Sin datos / Daturik gabe;91;61;"Buena / ";69;293;73;980,2;0;16,7;2,42
27/10/2017;01:00;;;Sin datos / Daturik gabe;3;89;"Buena / ";72;297;76;980,3;0;16,1;1,47
26/10/2017;24:00;;;Sin datos / Daturik gabe;2;85;"Buena / ";72;349;81;980,4;0;15,5;2,07
26/10/2017;23:00;1;7;Muy buena / Oso ona;9;73;"Buena / ";73;14;78;980,2;0;15,7;2,2
26/10/2017;22:00;3;37;Muy buena / Oso ona;42;52;"Muy buena / ";74;315;72;979,9;0;16,6;1,47
26/10/2017;21:00;;;Sin datos / Daturik gabe;20;66;"Buena / ";79;287;69;979,4;0;16,8;0,64
26/10/2017;20:00;;;Sin datos / Daturik gabe;14;71;"Buena / ";81;60;69;979;0;16,5;0,11
26/10/2017;19:00;1;10;Muy buena / Oso ona;11;77;"Buena / ";81;25;68;978,7;0;17,1;0,99
26/10/2017;18:00;2;5;Muy buena / Oso ona;8;81;"Buena / ";82;21;69;978,3;2,8;16,9;2,9
26/10/2017;17:00;;;Sin datos / Daturik gabe;4;82;"Buena / ";82;1;70;977,8;212;17,2;4,23
26/10/2017;16:00;;;Sin datos / Daturik gabe;4;79;"Buena / ";;355;67;977,5;591,6;17,8;5,55
26/10/2017;15:00;;;Sin datos / Daturik gabe;5;85;"Buena / ";;353;65;977,1;775;18,3;5,19
26/10/2017;14:00;1;5;Muy buena / Oso ona;7;91;"Buena / ";;351;62;976,9;791,3;18,6;7,05
26/10/2017;13:00;1;8;Muy buena / Oso ona;10;84;"Buena / ";;336;62;977;917,9;18,6;6,96
26/10/2017;12:00;5;19;Muy buena / Oso ona;26;70;"Buena / ";;324;57;976,9;1052,6;18,9;3,64
26/10/2017;11:00;30;52;Muy buena / Oso ona;98;;"Sin datos / ";;258;53;976,6;1019;19,3;1,65
26/10/2017;10:00;13;34;Muy buena / Oso ona;54;;"Sin datos / ";67;266;41;976,2;851,1;19,8;3,04
26/10/2017;09:00;4;25;Muy buena / Oso ona;30;43;"Muy buena / ";67;231;36;975,3;583,9;20,5;2,21
26/10/2017;08:00;3;25;Muy buena / Oso ona;25;53;"Muy buena / ";67;255;33;974,5;244;21,3;3,62
26/10/2017;07:00;;;Sin datos / Daturik gabe;11;69;"Buena / ";70;244;34;973,3;11,5;21,3;7,17
26/10/2017;06:00;;;Sin datos / Daturik gabe;8;70;"Buena / ";69;240;34;972,5;0;21,7;10,9
26/10/2017;05:00;;;Sin datos / Daturik gabe;8;71;"Buena / ";68;230;35;972;0;21,9;9,2
26/10/2017;04:00;;;Sin datos / Daturik gabe;8;72;"Buena / ";67;234;36;971,8;0;21,9;9,26
26/10/2017;03:00;;;Sin datos / Daturik gabe;10;67;"Buena / ";65;221;37;971,8;0;21,9;7,91
26/10/2017;02:00;;;Sin datos / Daturik gabe;11;;"Sin datos / ";63;221;37;972,2;0;22;6,5
26/10/2017;01:00;;;Sin datos / Daturik gabe;9;71;"Buena / ";62;210;37;972,1;0;22,3;6,8
25/10/2017;24:00;;;Sin datos / Daturik gabe;12;69;"Buena / ";60;213;36;972,4;0;22,6;3,69
25/10/2017;23:00;;;Sin datos / Daturik gabe;16;65;"Buena / ";56;198;36;972,4;0;22,8;4,46
25/10/2017;22:00;;;Sin datos / Daturik gabe;20;62;"Buena / ";50;199;38;972,5;0;22,8;4,5
25/10/2017;21:00;;;Sin datos / Daturik gabe;20;63;"Buena / ";43;210;37;972,2;0;23,7;5,22
25/10/2017;20:00;;;Sin datos / Daturik gabe;21;63;"Buena / ";37;193;37;971,8;0;24,1;9,62
25/10/2017;19:00;1;30;Muy buena / Oso ona;31;57;"Muy buena / ";31;174;38;971,7;0;24,3;6,54
25/10/2017;18:00;1;38;Muy buena / Oso ona;39;55;"Muy buena / ";27;154;42;971,7;5,6;23,7;7,04
25/10/2017;17:00;1;32;Muy buena / Oso ona;33;52;"Muy buena / ";25;150;51;971,6;217,9;22,3;4,65
25/10/2017;16:00;7;34;Muy buena / Oso ona;45;27;"Muy buena / ";23;136;51;971,5;600,8;22,3;3,45
25/10/2017;15:00;14;45;Muy buena / Oso ona;65;18;"Muy buena / ";23;135;49;971,5;780,1;22;1,59
25/10/2017;14:00;31;63;Muy buena / Oso ona;111;11;"Muy buena / ";24;192;50;971,8;799,6;21,8;1,05
25/10/2017;13:00;35;60;Muy buena / Oso ona;113;10;"Muy buena / ";27;198;46;972,3;951,1;21,4;1,66
25/10/2017;12:00;23;46;Muy buena / Oso ona;82;18;"Muy buena / ";34;194;42;972,8;1067,5;21,2;1,2
25/10/2017;11:00;19;35;Muy buena / Oso ona;65;23;"Muy buena / ";38;222;42;973,2;1036,7;20,3;1,02
25/10/2017;10:00;6;24;Muy buena / Oso ona;33;37;"Muy buena / ";41;306;40;973,2;853,1;19,7;2,14
25/10/2017;09:00;2;16;Muy buena / Oso ona;19;43;"Muy buena / ";44;203;39;972,8;583,1;19,8;2,39
25/10/2017;08:00;6;39;Muy buena / Oso ona;49;27;"Muy buena / ";47;253;47;972,4;249;17,9;1,09
25/10/2017;07:00;1;50;Muy buena / Oso ona;52;20;"Muy buena / ";50;286;50;971,9;13,9;17,5;2,47
25/10/2017;06:00;;;Sin datos / Daturik gabe;33;40;"Muy buena / ";59;293;43;971,7;0;19;3,18
25/10/2017;05:00;;;Sin datos / Daturik gabe;11;60;"Muy buena / ";65;291;43;971,7;0;19,5;2,66
25/10/2017;04:00;;;Sin datos / Daturik gabe;13;52;"Muy buena / ";66;285;40;971,7;0;20,2;4,8
25/10/2017;03:00;;;Sin datos / Daturik gabe;28;45;"Muy buena / ";69;274;37;971,8;0;21,2;3,81
25/10/2017;02:00;;;Sin datos / Daturik gabe;11;66;"Buena / ";72;248;35;971,8;0;22,4;1,6
25/10/2017;01:00;;;Sin datos / Daturik gabe;10;68;"Buena / ";74;246;37;971,8;0;21,9;1,34
24/10/2017;24:00;;;Sin datos / Daturik gabe;9;75;"Buena / ";74;91;42;972;0;21,2;1,42
24/10/2017;23:00;;;Sin datos / Daturik gabe;7;80;"Buena / ";71;137;38;972,4;0;20,7;0,96
24/10/2017;22:00;;;Sin datos / Daturik gabe;6;85;"Buena / ";63;172;34;972,5;0;21;0,53
24/10/2017;21:00;;;Sin datos / Daturik gabe;11;69;"Buena / ";56;356;32;972,5;0;20,9;2,79
24/10/2017;20:00;;;Sin datos / Daturik gabe;11;68;"Buena / ";53;353;34;972,3;0;20,7;4,55
24/10/2017;19:00;;;Sin datos / Daturik gabe;14;70;"Buena / ";52;353;41;972,4;0;20,7;3,66
24/10/2017;18:00;;;Sin datos / Daturik gabe;10;79;"Buena / ";52;351;39;972,2;8,5;21,2;1,7
24/10/2017;17:00;;;Sin datos / Daturik gabe;14;67;"Buena / ";50;11;38;972;267,2;22,8;0,82
24/10/2017;16:00;3;22;Muy buena / Oso ona;27;46;"Muy buena / ";50;78;38;971,9;565,4;23,5;0,41
24/10/2017;15:00;13;47;Muy buena / Oso ona;67;20;"Muy buena / ";53;204;38;971,7;719,8;24,2;0,24
24/10/2017;14:00;7;31;Muy buena / Oso ona;43;31;"Muy buena / ";60;250;30;971,8;724,5;24,7;1,5
