Date;Hour;Benceno (µg/m3);CO (mg/m3);CO - ICA;CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;0,15;0,18;"Muy buena / ";0,22;0,18;28;32;Muy buena / Oso ona;74;0,92;23;Muy buena / Oso ona;11;Muy buena / Oso ona;1,58
29/10/2017;06:00;0,24;0,19;"Muy buena / ";0,24;0,18;19;33;Muy buena / Oso ona;62;0,92;24;Muy buena / Oso ona;11;Muy buena / Oso ona;1,43
29/10/2017;05:00;0,12;0,21;"Muy buena / ";0,26;0,2;14;32;Muy buena / Oso ona;53;0,99;25;Muy buena / Oso ona;10;Muy buena / Oso ona;1,68
29/10/2017;04:00;0,03;0,22;"Muy buena / ";0,26;0,18;11;32;Muy buena / Oso ona;48;0,92;24;Muy buena / Oso ona;8;Muy buena / Oso ona;1,82
29/10/2017;03:00;0,1;0,2;"Muy buena / ";0,25;0,18;6;32;Muy buena / Oso ona;40;0,92;21;Muy buena / Oso ona;8;Muy buena / Oso ona;1,76
29/10/2017;02:00;0,18;0,27;"Muy buena / ";0,25;0,27;11;37;Muy buena / Oso ona;54;1,21;29;Muy buena / Oso ona;8;Muy buena / Oso ona;2,1
29/10/2017;01:00;0,11;0,36;"Muy buena / ";0,23;0,31;12;41;Muy buena / Oso ona;59;1,26;31;Muy buena / Oso ona;7;Muy buena / Oso ona;2,15
28/10/2017;24:00;0,08;0,31;"Muy buena / ";0,2;0,37;16;46;Muy buena / Oso ona;70;1,55;25;Muy buena / Oso ona;4;Muy buena / Oso ona;2,77
28/10/2017;23:00;0,14;0,3;"Muy buena / ";0,2;0,39;16;51;Muy buena / Oso ona;74;1,64;18;Muy buena / Oso ona;3;Muy buena / Oso ona;3,22
28/10/2017;22:00;0,35;0,3;"Muy buena / ";0,18;;22;60;Muy buena / Oso ona;93;0,87;15;Muy buena / Oso ona;2;Muy buena / Oso ona;1,8
28/10/2017;21:00;0,28;0,17;"Muy buena / ";0,16;;3;35;Muy buena / Oso ona;39;0,35;12;Muy buena / Oso ona;2;Muy buena / Oso ona;0,66
28/10/2017;20:00;0,42;0,16;"Muy buena / ";0,16;;2;30;Muy buena / Oso ona;33;0,42;11;Muy buena / Oso ona;2;Muy buena / Oso ona;0,97
28/10/2017;19:00;0,39;0,19;"Muy buena / ";0,17;;5;46;Muy buena / Oso ona;53;0,35;9;Muy buena / Oso ona;2;Muy buena / Oso ona;1,01
28/10/2017;18:00;;0,15;"Muy buena / ";0,17;;5;34;Muy buena / Oso ona;41;;7;Muy buena / Oso ona;2;Muy buena / Oso ona;
28/10/2017;17:00;0,21;0,16;"Muy buena / ";0,19;;4;18;Muy buena / Oso ona;24;0,09;13;Muy buena / Oso ona;2;Muy buena / Oso ona;0,56
28/10/2017;16:00;0,21;0,16;"Muy buena / ";0,21;;2;13;Muy buena / Oso ona;16;0,09;18;Muy buena / Oso ona;2;Muy buena / Oso ona;0,51
28/10/2017;15:00;0,16;0,16;"Muy buena / ";0,22;;5;14;Muy buena / Oso ona;22;0,09;16;Muy buena / Oso ona;2;Muy buena / Oso ona;0,4
28/10/2017;14:00;0,16;0,13;"Muy buena / ";0,22;;3;10;Muy buena / Oso ona;14;0,16;12;Muy buena / Oso ona;2;Muy buena / Oso ona;0,6
28/10/2017;13:00;0,2;0,14;"Muy buena / ";0,25;;2;10;Muy buena / Oso ona;12;0,33;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,5
28/10/2017;12:00;0,29;0,23;"Muy buena / ";0,26;0,15;5;16;Muy buena / Oso ona;23;0,7;14;Muy buena / Oso ona;2;Muy buena / Oso ona;1,1
28/10/2017;11:00;0,33;0,25;"Muy buena / ";0,26;0,23;5;25;Muy buena / Oso ona;32;0,95;23;Muy buena / Oso ona;2;Muy buena / Oso ona;1,58
28/10/2017;10:00;0,44;0,27;"Muy buena / ";0,28;0,56;19;43;Muy buena / Oso ona;71;2,06;21;Muy buena / Oso ona;2;Muy buena / Oso ona;4,28
28/10/2017;09:00;0,42;0,34;"Muy buena / ";0,28;0,22;39;53;Muy buena / Oso ona;113;0,95;17;Muy buena / Oso ona;2;Muy buena / Oso ona;2,39
28/10/2017;08:00;0,2;0,23;"Muy buena / ";0,25;;21;52;Muy buena / Oso ona;84;0,37;16;Muy buena / Oso ona;2;Muy buena / Oso ona;1,53
28/10/2017;07:00;0,3;0,18;"Muy buena / ";0,25;;3;28;Muy buena / Oso ona;32;0,35;13;Muy buena / Oso ona;2;Muy buena / Oso ona;1,59
28/10/2017;06:00;0,5;0,32;"Muy buena / ";0,28;;2;20;Muy buena / Oso ona;22;0,11;18;Muy buena / Oso ona;2;Muy buena / Oso ona;0,56
28/10/2017;05:00;0,21;0,25;"Muy buena / ";0,28;;1;10;Muy buena / Oso ona;11;0,09;16;Muy buena / Oso ona;2;Muy buena / Oso ona;0,42
28/10/2017;04:00;0,25;0,2;"Muy buena / ";0,28;;1;5;Muy buena / Oso ona;7;0,09;16;Muy buena / Oso ona;2;Muy buena / Oso ona;0,23
28/10/2017;03:00;0,21;0,42;"Muy buena / ";0,28;;;;Sin datos / Daturik gabe;5;0,09;17;Muy buena / Oso ona;2;Muy buena / Oso ona;0,34
28/10/2017;02:00;0,13;0,14;"Muy buena / ";0,25;;;;Sin datos / Daturik gabe;7;0,13;15;Muy buena / Oso ona;2;Muy buena / Oso ona;0,4
28/10/2017;01:00;0,11;0,15;"Muy buena / ";0,24;;1;6;Muy buena / Oso ona;7;0,66;11;Muy buena / Oso ona;2;Muy buena / Oso ona;0,38
27/10/2017;24:00;0,17;0,16;"Muy buena / ";0,24;;1;8;Muy buena / Oso ona;10;0,33;9;Muy buena / Oso ona;2;Muy buena / Oso ona;0,5
27/10/2017;23:00;0,26;0,36;"Muy buena / ";0,24;;1;10;Muy buena / Oso ona;11;0,22;8;Muy buena / Oso ona;2;Muy buena / Oso ona;0,42
27/10/2017;22:00;0,34;0,29;"Muy buena / ";0,22;;1;8;Muy buena / Oso ona;9;0,29;11;Muy buena / Oso ona;2;Muy buena / Oso ona;0,51
27/10/2017;21:00;0,12;0,25;"Muy buena / ";0,23;;1;14;Muy buena / Oso ona;15;0,18;15;Muy buena / Oso ona;3;Muy buena / Oso ona;0,39
27/10/2017;20:00;0,32;0,2;"Muy buena / ";0,24;;1;14;Muy buena / Oso ona;15;0,24;18;Muy buena / Oso ona;3;Muy buena / Oso ona;0,56
27/10/2017;19:00;0,23;0,27;"Muy buena / ";0,27;0,07;4;17;Muy buena / Oso ona;23;0,54;21;Muy buena / Oso ona;2;Muy buena / Oso ona;0,98
27/10/2017;18:00;;0,16;"Muy buena / ";0,29;;3;20;Muy buena / Oso ona;25;;20;Muy buena / Oso ona;3;Muy buena / Oso ona;
27/10/2017;17:00;0,12;0,18;"Muy buena / ";0,33;;5;20;Muy buena / Oso ona;27;0,47;17;Muy buena / Oso ona;3;Muy buena / Oso ona;0,91
27/10/2017;16:00;0,26;0,17;"Muy buena / ";0,36;0,07;4;23;Muy buena / Oso ona;29;0,57;23;Muy buena / Oso ona;3;Muy buena / Oso ona;1
27/10/2017;15:00;0,3;0,28;"Muy buena / ";0,41;0,2;5;22;Muy buena / Oso ona;29;0,86;33;Muy buena / Oso ona;5;Muy buena / Oso ona;1,25
27/10/2017;14:00;0,52;0,3;"Muy buena / ";0,43;0,28;5;25;Muy buena / Oso ona;33;1,19;39;Muy buena / Oso ona;7;Muy buena / Oso ona;1,54
27/10/2017;13:00;0,13;0,37;"Muy buena / ";0,44;1,37;14;44;Muy buena / Oso ona;65;4,98;53;Buena / Ona;13;Muy buena / Oso ona;6,09
27/10/2017;12:00;0,2;0,4;"Muy buena / ";0,43;2,01;75;64;Muy buena / Oso ona;178;6,62;60;Buena / Ona;24;Muy buena / Oso ona;8,11
27/10/2017;11:00;0,23;0,45;"Muy buena / ";0,42;1,81;108;58;Muy buena / Oso ona;223;6,6;58;Buena / Ona;26;Muy buena / Oso ona;7,88
27/10/2017;10:00;0,26;0,51;"Muy buena / ";0,39;1,73;134;54;Muy buena / Oso ona;258;6,62;54;Buena / Ona;27;Muy buena / Oso ona;7,23
27/10/2017;09:00;0,47;0,45;"Muy buena / ";0,38;1,09;117;50;Muy buena / Oso ona;229;4,87;54;Buena / Ona;25;Muy buena / Oso ona;6,31
27/10/2017;08:00;0,19;0,51;"Muy buena / ";0,36;0,81;125;49;Muy buena / Oso ona;241;3,73;54;Buena / Ona;19;Muy buena / Oso ona;5,62
27/10/2017;07:00;0,13;0,46;"Muy buena / ";0,34;0,48;117;48;Muy buena / Oso ona;227;2,03;44;Buena / Ona;15;Muy buena / Oso ona;3,96
27/10/2017;06:00;0,19;0,37;"Muy buena / ";0,32;0,39;80;43;Muy buena / Oso ona;165;1,54;32;Muy buena / Oso ona;13;Muy buena / Oso ona;2,84
27/10/2017;05:00;0,34;0,28;"Muy buena / ";0,32;0,31;35;42;Muy buena / Oso ona;96;1,3;32;Muy buena / Oso ona;13;Muy buena / Oso ona;2,22
27/10/2017;04:00;0,53;0,31;"Muy buena / ";0,35;0,31;31;43;Muy buena / Oso ona;91;1,45;32;Muy buena / Oso ona;13;Muy buena / Oso ona;2,41
27/10/2017;03:00;0,42;0,27;"Muy buena / ";0,38;0,37;21;43;Muy buena / Oso ona;75;1,5;36;Muy buena / Oso ona;11;Muy buena / Oso ona;2,5
27/10/2017;02:00;0,36;0,3;"Muy buena / ";0,4;0,44;14;44;Muy buena / Oso ona;65;1,78;37;Muy buena / Oso ona;9;Muy buena / Oso ona;2,85
27/10/2017;01:00;0,12;0,34;"Muy buena / ";0,38;0,46;19;48;Muy buena / Oso ona;77;2;30;Muy buena / Oso ona;8;Muy buena / Oso ona;3,41
26/10/2017;24:00;0,19;0,34;"Muy buena / ";0,35;0,59;34;51;Muy buena / Oso ona;103;2,53;29;Muy buena / Oso ona;6;Muy buena / Oso ona;4,2
26/10/2017;23:00;0,21;0,35;"Muy buena / ";0,33;0,72;28;56;Muy buena / Oso ona;98;3,1;30;Muy buena / Oso ona;6;Muy buena / Oso ona;4,58
26/10/2017;22:00;0,17;0,4;"Muy buena / ";0,33;0,84;30;64;Muy buena / Oso ona;109;3,81;30;Muy buena / Oso ona;5;Muy buena / Oso ona;5,79
26/10/2017;21:00;0,11;0,46;"Muy buena / ";0,3;0,84;37;71;Muy buena / Oso ona;127;3,9;26;Muy buena / Oso ona;4;Muy buena / Oso ona;6,05
26/10/2017;20:00;0,09;0,48;"Muy buena / ";0,28;0,55;38;79;Muy buena / Oso ona;137;2,41;21;Muy buena / Oso ona;4;Muy buena / Oso ona;4,6
26/10/2017;19:00;0,03;0,35;"Muy buena / ";0,28;0,31;16;73;Muy buena / Oso ona;97;1,42;28;Muy buena / Oso ona;3;Muy buena / Oso ona;2,65
26/10/2017;18:00;;0,26;"Muy buena / ";0,32;;5;51;Muy buena / Oso ona;58;;25;Muy buena / Oso ona;3;Muy buena / Oso ona;
26/10/2017;17:00;0,16;0,19;"Muy buena / ";0,33;0,09;5;25;Muy buena / Oso ona;33;0,53;19;Muy buena / Oso ona;3;Muy buena / Oso ona;0,81
26/10/2017;16:00;0,25;0,2;"Muy buena / ";0,36;0,16;7;20;Muy buena / Oso ona;30;0,62;23;Muy buena / Oso ona;4;Muy buena / Oso ona;0,97
26/10/2017;15:00;0,21;0,28;"Muy buena / ";0,41;0,17;8;23;Muy buena / Oso ona;35;0,52;20;Muy buena / Oso ona;4;Muy buena / Oso ona;0,96
26/10/2017;14:00;0,2;0,21;"Muy buena / ";0,45;0,16;5;13;Muy buena / Oso ona;20;0,55;24;Muy buena / Oso ona;5;Muy buena / Oso ona;1,09
26/10/2017;13:00;;0,3;"Muy buena / ";0,46;0,18;7;24;Muy buena / Oso ona;34;0,71;18;Muy buena / Oso ona;6;Muy buena / Oso ona;1,33
26/10/2017;12:00;0,51;0,45;"Muy buena / ";0,46;0,23;8;28;Muy buena / Oso ona;40;1,08;22;Muy buena / Oso ona;7;Muy buena / Oso ona;1,88
26/10/2017;11:00;1,33;0,66;"Muy buena / ";0,43;0,63;19;38;Muy buena / Oso ona;66;2,5;45;Buena / Ona;5;Muy buena / Oso ona;4,37
26/10/2017;10:00;0,65;0,37;"Muy buena / ";0,38;1,09;35;47;Muy buena / Oso ona;99;4,71;62;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;6,53
26/10/2017;09:00;0,25;0,4;"Muy buena / ";0,38;1,72;82;63;Muy buena / Oso ona;187;7,29;47;Buena / Ona;5;Muy buena / Oso ona;8,49
26/10/2017;08:00;0,3;0,58;"Muy buena / ";0,38;1,91;197;92;Muy buena / Oso ona;393;8,22;36;Muy buena / Oso ona;7;Muy buena / Oso ona;9,91
26/10/2017;07:00;0,24;0,6;"Muy buena / ";0,35;1,14;201;86;Muy buena / Oso ona;393;5,74;26;Muy buena / Oso ona;6;Muy buena / Oso ona;6,37
26/10/2017;06:00;0,3;0,35;"Muy buena / ";0,33;1,38;92;60;Muy buena / Oso ona;200;6,89;25;Muy buena / Oso ona;5;Muy buena / Oso ona;5,69
26/10/2017;05:00;0,24;0,27;"Muy buena / ";0,35;1,34;42;48;Muy buena / Oso ona;112;6,52;27;Muy buena / Oso ona;4;Muy buena / Oso ona;5,5
