Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;1;17;Muy buena / Oso ona;19;9;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;06:00;1;7;Muy buena / Oso ona;9;9;Muy buena / Oso ona;7;Muy buena / Oso ona
29/10/2017;05:00;1;11;Muy buena / Oso ona;13;9;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;04:00;1;12;Muy buena / Oso ona;14;8;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;03:00;1;9;Muy buena / Oso ona;11;10;Muy buena / Oso ona;10;Muy buena / Oso ona
29/10/2017;02:00;1;9;Muy buena / Oso ona;11;8;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;01:00;1;13;Muy buena / Oso ona;15;9;Muy buena / Oso ona;9;Muy buena / Oso ona
28/10/2017;24:00;1;21;Muy buena / Oso ona;23;10;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;23:00;1;24;Muy buena / Oso ona;26;12;Muy buena / Oso ona;12;Muy buena / Oso ona
28/10/2017;22:00;1;23;Muy buena / Oso ona;25;13;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;21:00;1;27;Muy buena / Oso ona;29;14;Muy buena / Oso ona;11;Muy buena / Oso ona
28/10/2017;20:00;1;22;Muy buena / Oso ona;24;13;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;19:00;1;19;Muy buena / Oso ona;21;13;Muy buena / Oso ona;11;Muy buena / Oso ona
28/10/2017;18:00;1;19;Muy buena / Oso ona;21;12;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;17:00;2;14;Muy buena / Oso ona;16;16;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;16:00;1;9;Muy buena / Oso ona;11;17;Muy buena / Oso ona;9;Muy buena / Oso ona
28/10/2017;15:00;1;7;Muy buena / Oso ona;9;13;Muy buena / Oso ona;7;Muy buena / Oso ona
28/10/2017;14:00;1;7;Muy buena / Oso ona;9;15;Muy buena / Oso ona;8;Muy buena / Oso ona
28/10/2017;13:00;1;8;Muy buena / Oso ona;10;13;Muy buena / Oso ona;9;Muy buena / Oso ona
28/10/2017;12:00;1;8;Muy buena / Oso ona;11;15;Muy buena / Oso ona;7;Muy buena / Oso ona
28/10/2017;11:00;1;9;Muy buena / Oso ona;11;14;Muy buena / Oso ona;5;Muy buena / Oso ona
28/10/2017;10:00;2;11;Muy buena / Oso ona;14;14;Muy buena / Oso ona;8;Muy buena / Oso ona
28/10/2017;09:00;1;12;Muy buena / Oso ona;15;14;Muy buena / Oso ona;7;Muy buena / Oso ona
28/10/2017;08:00;1;19;Muy buena / Oso ona;21;14;Muy buena / Oso ona;5;Muy buena / Oso ona
28/10/2017;07:00;1;10;Muy buena / Oso ona;12;11;Muy buena / Oso ona;6;Muy buena / Oso ona
28/10/2017;06:00;1;8;Muy buena / Oso ona;10;8;Muy buena / Oso ona;6;Muy buena / Oso ona
28/10/2017;05:00;1;7;Muy buena / Oso ona;9;8;Muy buena / Oso ona;7;Muy buena / Oso ona
28/10/2017;04:00;1;7;Muy buena / Oso ona;9;9;Muy buena / Oso ona;5;Muy buena / Oso ona
28/10/2017;03:00;1;5;Muy buena / Oso ona;7;10;Muy buena / Oso ona;9;Muy buena / Oso ona
28/10/2017;02:00;1;3;Muy buena / Oso ona;5;9;Muy buena / Oso ona;8;Muy buena / Oso ona
28/10/2017;01:00;1;4;Muy buena / Oso ona;6;9;Muy buena / Oso ona;8;Muy buena / Oso ona
27/10/2017;24:00;1;4;Muy buena / Oso ona;6;9;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;23:00;1;4;Muy buena / Oso ona;6;12;Muy buena / Oso ona;6;Muy buena / Oso ona
27/10/2017;22:00;1;6;Muy buena / Oso ona;8;13;Muy buena / Oso ona;6;Muy buena / Oso ona
27/10/2017;21:00;1;11;Muy buena / Oso ona;13;16;Muy buena / Oso ona;7;Muy buena / Oso ona
27/10/2017;20:00;1;14;Muy buena / Oso ona;16;16;Muy buena / Oso ona;8;Muy buena / Oso ona
27/10/2017;19:00;1;16;Muy buena / Oso ona;18;17;Muy buena / Oso ona;7;Muy buena / Oso ona
27/10/2017;18:00;1;18;Muy buena / Oso ona;20;17;Muy buena / Oso ona;7;Muy buena / Oso ona
27/10/2017;17:00;1;16;Muy buena / Oso ona;18;15;Muy buena / Oso ona;8;Muy buena / Oso ona
27/10/2017;16:00;2;15;Muy buena / Oso ona;17;17;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;15:00;2;11;Muy buena / Oso ona;14;15;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;14:00;2;9;Muy buena / Oso ona;12;14;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;13:00;2;9;Muy buena / Oso ona;12;13;Muy buena / Oso ona;6;Muy buena / Oso ona
27/10/2017;12:00;4;17;Muy buena / Oso ona;22;18;Muy buena / Oso ona;12;Muy buena / Oso ona
27/10/2017;11:00;8;27;Muy buena / Oso ona;38;26;Muy buena / Oso ona;20;Muy buena / Oso ona
27/10/2017;10:00;37;34;Muy buena / Oso ona;91;42;Buena / Ona;24;Muy buena / Oso ona
27/10/2017;09:00;67;34;Muy buena / Oso ona;136;52;Buena / Ona;24;Muy buena / Oso ona
27/10/2017;08:00;81;35;Muy buena / Oso ona;158;35;Muy buena / Oso ona;20;Muy buena / Oso ona
27/10/2017;07:00;50;41;Muy buena / Oso ona;117;31;Muy buena / Oso ona;17;Muy buena / Oso ona
27/10/2017;06:00;37;37;Muy buena / Oso ona;94;23;Muy buena / Oso ona;11;Muy buena / Oso ona
27/10/2017;05:00;7;29;Muy buena / Oso ona;40;18;Muy buena / Oso ona;12;Muy buena / Oso ona
27/10/2017;04:00;2;16;Muy buena / Oso ona;19;16;Muy buena / Oso ona;13;Muy buena / Oso ona
27/10/2017;03:00;1;8;Muy buena / Oso ona;10;14;Muy buena / Oso ona;11;Muy buena / Oso ona
27/10/2017;02:00;1;7;Muy buena / Oso ona;9;17;Muy buena / Oso ona;10;Muy buena / Oso ona
27/10/2017;01:00;1;9;Muy buena / Oso ona;11;16;Muy buena / Oso ona;10;Muy buena / Oso ona
26/10/2017;24:00;1;9;Muy buena / Oso ona;11;16;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;23:00;1;19;Muy buena / Oso ona;21;18;Muy buena / Oso ona;10;Muy buena / Oso ona
26/10/2017;22:00;1;27;Muy buena / Oso ona;29;18;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;21:00;1;16;Muy buena / Oso ona;18;19;Muy buena / Oso ona;13;Muy buena / Oso ona
26/10/2017;20:00;5;53;Muy buena / Oso ona;61;31;Muy buena / Oso ona;14;Muy buena / Oso ona
26/10/2017;19:00;1;42;Muy buena / Oso ona;44;23;Muy buena / Oso ona;13;Muy buena / Oso ona
26/10/2017;18:00;3;29;Muy buena / Oso ona;33;21;Muy buena / Oso ona;15;Muy buena / Oso ona
26/10/2017;17:00;1;21;Muy buena / Oso ona;24;24;Muy buena / Oso ona;16;Muy buena / Oso ona
26/10/2017;16:00;3;22;Muy buena / Oso ona;27;44;Buena / Ona;12;Muy buena / Oso ona
26/10/2017;15:00;2;10;Muy buena / Oso ona;13;43;Buena / Ona;8;Muy buena / Oso ona
26/10/2017;14:00;2;9;Muy buena / Oso ona;11;35;Muy buena / Oso ona;5;Muy buena / Oso ona
26/10/2017;13:00;2;10;Muy buena / Oso ona;13;22;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;12:00;7;24;Muy buena / Oso ona;34;24;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;11:00;12;35;Muy buena / Oso ona;52;37;Muy buena / Oso ona;12;Muy buena / Oso ona
26/10/2017;10:00;12;36;Muy buena / Oso ona;54;35;Muy buena / Oso ona;16;Muy buena / Oso ona
26/10/2017;09:00;24;38;Muy buena / Oso ona;75;33;Muy buena / Oso ona;21;Muy buena / Oso ona
26/10/2017;08:00;119;54;Muy buena / Oso ona;236;52;Buena / Ona;27;Buena / Ona
26/10/2017;07:00;91;51;Muy buena / Oso ona;191;49;Buena / Ona;18;Muy buena / Oso ona
26/10/2017;06:00;47;38;Muy buena / Oso ona;109;37;Muy buena / Oso ona;13;Muy buena / Oso ona
26/10/2017;05:00;6;29;Muy buena / Oso ona;37;21;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;04:00;3;22;Muy buena / Oso ona;27;18;Muy buena / Oso ona;10;Muy buena / Oso ona
26/10/2017;03:00;1;14;Muy buena / Oso ona;16;16;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;02:00;1;20;Muy buena / Oso ona;23;18;Muy buena / Oso ona;7;Muy buena / Oso ona
26/10/2017;01:00;1;14;Muy buena / Oso ona;16;16;Muy buena / Oso ona;6;Muy buena / Oso ona
25/10/2017;24:00;3;29;Muy buena / Oso ona;33;19;Muy buena / Oso ona;11;Muy buena / Oso ona
25/10/2017;23:00;5;39;Muy buena / Oso ona;47;21;Muy buena / Oso ona;11;Muy buena / Oso ona
25/10/2017;22:00;8;36;Muy buena / Oso ona;49;22;Muy buena / Oso ona;20;Muy buena / Oso ona
25/10/2017;21:00;39;53;Muy buena / Oso ona;112;29;Muy buena / Oso ona;20;Muy buena / Oso ona
25/10/2017;20:00;17;51;Muy buena / Oso ona;77;27;Muy buena / Oso ona;22;Muy buena / Oso ona
25/10/2017;19:00;6;52;Muy buena / Oso ona;61;38;Muy buena / Oso ona;20;Muy buena / Oso ona
25/10/2017;18:00;36;78;Muy buena / Oso ona;133;30;Muy buena / Oso ona;11;Muy buena / Oso ona
25/10/2017;17:00;2;27;Muy buena / Oso ona;29;19;Muy buena / Oso ona;9;Muy buena / Oso ona
25/10/2017;16:00;2;14;Muy buena / Oso ona;17;17;Muy buena / Oso ona;4;Muy buena / Oso ona
25/10/2017;15:00;2;10;Muy buena / Oso ona;13;14;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;14:00;5;21;Muy buena / Oso ona;28;20;Muy buena / Oso ona;7;Muy buena / Oso ona
25/10/2017;13:00;8;26;Muy buena / Oso ona;38;21;Muy buena / Oso ona;5;Muy buena / Oso ona
25/10/2017;12:00;9;29;Muy buena / Oso ona;43;23;Muy buena / Oso ona;9;Muy buena / Oso ona
25/10/2017;11:00;37;46;Muy buena / Oso ona;103;33;Muy buena / Oso ona;15;Muy buena / Oso ona
25/10/2017;10:00;63;50;Muy buena / Oso ona;146;37;Muy buena / Oso ona;15;Muy buena / Oso ona
25/10/2017;09:00;62;47;Muy buena / Oso ona;142;37;Muy buena / Oso ona;22;Muy buena / Oso ona
25/10/2017;08:00;73;44;Muy buena / Oso ona;156;38;Muy buena / Oso ona;25;Muy buena / Oso ona
25/10/2017;07:00;87;46;Muy buena / Oso ona;179;38;Muy buena / Oso ona;16;Muy buena / Oso ona
25/10/2017;06:00;50;38;Muy buena / Oso ona;115;23;Muy buena / Oso ona;12;Muy buena / Oso ona
25/10/2017;05:00;19;29;Muy buena / Oso ona;57;16;Muy buena / Oso ona;10;Muy buena / Oso ona
25/10/2017;04:00;5;18;Muy buena / Oso ona;26;15;Muy buena / Oso ona;10;Muy buena / Oso ona
25/10/2017;03:00;1;13;Muy buena / Oso ona;15;14;Muy buena / Oso ona;8;Muy buena / Oso ona
25/10/2017;02:00;1;17;Muy buena / Oso ona;19;11;Muy buena / Oso ona;8;Muy buena / Oso ona
25/10/2017;01:00;1;21;Muy buena / Oso ona;23;11;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;24:00;5;27;Muy buena / Oso ona;35;14;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;23:00;10;23;Muy buena / Oso ona;39;15;Muy buena / Oso ona;10;Muy buena / Oso ona
24/10/2017;22:00;4;29;Muy buena / Oso ona;35;15;Muy buena / Oso ona;12;Muy buena / Oso ona
24/10/2017;21:00;41;49;Muy buena / Oso ona;112;25;Muy buena / Oso ona;14;Muy buena / Oso ona
24/10/2017;20:00;64;59;Muy buena / Oso ona;156;31;Muy buena / Oso ona;12;Muy buena / Oso ona
24/10/2017;19:00;32;63;Muy buena / Oso ona;112;21;Muy buena / Oso ona;12;Muy buena / Oso ona
24/10/2017;18:00;45;67;Muy buena / Oso ona;136;27;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;17:00;8;46;Muy buena / Oso ona;58;16;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;16:00;10;33;Muy buena / Oso ona;49;14;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;15:00;3;17;Muy buena / Oso ona;22;12;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;14:00;6;23;Muy buena / Oso ona;31;12;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;13:00;4;16;Muy buena / Oso ona;22;11;Muy buena / Oso ona;8;Muy buena / Oso ona
24/10/2017;12:00;17;43;Muy buena / Oso ona;69;23;Muy buena / Oso ona;15;Muy buena / Oso ona
24/10/2017;11:00;42;60;Muy buena / Oso ona;124;33;Muy buena / Oso ona;17;Muy buena / Oso ona
24/10/2017;10:00;30;46;Muy buena / Oso ona;92;27;Muy buena / Oso ona;24;Muy buena / Oso ona
