Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;28;"Muy buena / ";;223;92;961,3;0;2,9;7,3;0,83
29/10/2017;06:00;35;"Muy buena / ";;214;92;961,3;0;0;7,4;0,96
29/10/2017;05:00;34;"Muy buena / ";;207;92;961,3;0;0;7,2;0,93
29/10/2017;04:00;29;"Muy buena / ";;291;87;961,2;0;0;7,8;0,3
29/10/2017;03:00;31;"Muy buena / ";;256;88;961,5;0;0;7,7;0,57
29/10/2017;02:00;;"Sin datos / ";;209;89;961,9;0;0;7,2;1,11
29/10/2017;01:00;30;"Muy buena / ";47;217;88;962,3;0;0;7,3;0,87
28/10/2017;24:00;27;"Muy buena / ";50;244;87;962,7;0;0;7,6;0,65
28/10/2017;23:00;32;"Muy buena / ";52;246;85;962,9;0;0,1;8,7;0,58
28/10/2017;22:00;29;"Muy buena / ";57;217;84;963,2;0;0;8,6;0,65
28/10/2017;21:00;51;"Muy buena / ";62;339;77;963,2;0;0,1;11;0,79
28/10/2017;20:00;56;"Muy buena / ";63;355;75;963,2;0;0;11,5;0,93
28/10/2017;19:00;58;"Muy buena / ";64;5;73;963,1;0;0;12,3;1,5
28/10/2017;18:00;58;"Muy buena / ";65;7;70;963;0;0,6;13,3;1,31
28/10/2017;17:00;63;"Buena / ";65;6;68;962,6;0;40,4;14,4;1,88
28/10/2017;16:00;68;"Buena / ";63;20;65;962,4;0;117,3;15,1;1,92
28/10/2017;15:00;70;"Buena / ";61;24;66;962,3;0;224,1;15,4;1,61
28/10/2017;14:00;69;"Buena / ";59;13;68;962,8;0;153,6;14,8;2,19
28/10/2017;13:00;65;"Buena / ";58;27;68;963,1;0;241,6;15,1;1,92
28/10/2017;12:00;62;"Buena / ";58;22;74;964;0;121,6;14,6;1,9
28/10/2017;11:00;64;"Buena / ";58;10;75;964,3;0;154,1;14,6;2,14
28/10/2017;10:00;56;"Muy buena / ";59;349;79;964,3;0;117,7;14,1;1,11
28/10/2017;09:00;53;"Muy buena / ";60;340;81;964,6;0;47,8;13,5;1
28/10/2017;08:00;51;"Muy buena / ";61;332;85;964,4;0;25;12,9;1,12
28/10/2017;07:00;55;"Muy buena / ";;331;86;964,3;0;1,4;12,8;1,04
28/10/2017;06:00;58;"Muy buena / ";;340;86;964,4;0;0;13,1;1,04
28/10/2017;05:00;64;"Buena / ";;353;88;964,6;0;0;13;1,32
28/10/2017;04:00;66;"Buena / ";;353;86;964,6;0;0;12,9;1,25
28/10/2017;03:00;71;"Buena / ";;360;83;964,9;0;0;13;1,43
28/10/2017;02:00;;"Sin datos / ";;8;79;965,2;0;0;13,4;1,54
28/10/2017;01:00;70;"Buena / ";57;1;81;965,7;0;0;13,3;1,69
27/10/2017;24:00;66;"Buena / ";57;6;85;965,9;0;0;13,4;1,76
27/10/2017;23:00;68;"Buena / ";57;9;81;966;0;0;14,1;1,88
27/10/2017;22:00;65;"Buena / ";56;4;81;966,1;0;0;14,5;1,88
27/10/2017;21:00;54;"Muy buena / ";56;2;79;965,9;0;0;14,9;1,17
27/10/2017;20:00;53;"Muy buena / ";57;353;80;966;0;0;14,9;1,21
27/10/2017;19:00;51;"Muy buena / ";57;3;79;966;0;0;15,1;1,62
27/10/2017;18:00;51;"Muy buena / ";56;5;75;966;0;0,1;15,5;1,36
27/10/2017;17:00;57;"Muy buena / ";52;4;73;965,8;0;20,3;15,8;2,14
27/10/2017;16:00;54;"Muy buena / ";45;13;70;965,7;0;61,3;16,7;2,02
27/10/2017;15:00;61;"Buena / ";38;17;65;965,5;0;152,5;17,3;2,25
27/10/2017;14:00;66;"Buena / ";31;8;62;965,5;0;214;17,6;2,99
27/10/2017;13:00;62;"Buena / ";24;6;61;965,6;0;248,5;17,9;2,18
27/10/2017;12:00;53;"Muy buena / ";18;316;64;965,8;0;297,7;17,9;0,91
27/10/2017;11:00;47;"Muy buena / ";13;4;67;966;0;273,6;16,9;0,86
27/10/2017;10:00;13;"Muy buena / ";9;95;67;966;0;203,3;14,8;0,47
27/10/2017;09:00;2;"Muy buena / ";8;340;69;966;0;116,7;12,4;0,16
27/10/2017;08:00;2;"Muy buena / ";10;287;77;965,5;0;62,3;10,4;0,42
27/10/2017;07:00;4;"Muy buena / ";;114;83;965,4;0;3,9;9,3;0,01
27/10/2017;06:00;9;"Muy buena / ";;275;85;965,2;0;0;9,1;0,27
27/10/2017;05:00;11;"Muy buena / ";;260;83;965;0;0;9,3;0,27
27/10/2017;04:00;15;"Muy buena / ";;50;79;964,7;0;0;10,3;0,27
27/10/2017;03:00;16;"Muy buena / ";;50;77;964,8;0;0;10,6;0,27
27/10/2017;02:00;;"Sin datos / ";;36;73;964,9;0;0;11,5;0,2
27/10/2017;01:00;26;"Muy buena / ";39;1;71;965;0;0;11,8;0,16
26/10/2017;24:00;31;"Muy buena / ";44;11;70;964,8;0;0;12,1;0,22
26/10/2017;23:00;30;"Muy buena / ";48;17;69;964,7;0;0;12,6;0,25
26/10/2017;22:00;30;"Muy buena / ";54;353;66;964,4;0;0;13,1;0,29
26/10/2017;21:00;28;"Muy buena / ";60;52;63;963,9;0;0;14;0,4
26/10/2017;20:00;29;"Muy buena / ";67;206;62;963,8;0;0;14,7;0,38
26/10/2017;19:00;44;"Muy buena / ";69;290;54;963,4;0;0;16,9;0,67
26/10/2017;18:00;70;"Buena / ";67;355;47;962,7;0;1,1;18,9;1,04
26/10/2017;17:00;79;"Buena / ";61;2;47;961,9;0;74,7;20,7;1,42
26/10/2017;16:00;73;"Buena / ";52;8;44;961,1;0;202,7;22,8;1,96
26/10/2017;15:00;80;"Buena / ";43;259;25;960,6;0;324,3;26,8;2,16
26/10/2017;14:00;78;"Buena / ";34;243;26;960,4;0;401,2;26,4;2,48
26/10/2017;13:00;82;"Buena / ";24;247;27;960,6;0;423,3;25,6;2,35
26/10/2017;12:00;45;"Muy buena / ";14;308;35;961;0;388,8;23,6;0,19
26/10/2017;11:00;27;"Muy buena / ";10;42;41;961,1;0;135;21,7;0,34
26/10/2017;10:00;21;"Muy buena / ";8;88;49;961,1;0;201,9;18,6;0,3
26/10/2017;09:00;10;"Muy buena / ";6;87;61;960,9;0;110,6;14,4;0,78
26/10/2017;08:00;3;"Muy buena / ";6;9;63;960,5;0;66,1;13,5;0,26
26/10/2017;07:00;2;"Muy buena / ";;266;68;960,4;0;5,4;12,2;0,26
26/10/2017;06:00;1;"Muy buena / ";;69;72;960;0;0;11,1;0,41
26/10/2017;05:00;2;"Muy buena / ";;72;66;959,5;0;0;12,5;0,44
26/10/2017;04:00;11;"Muy buena / ";;68;67;959,3;0;0;12,3;0,35
26/10/2017;03:00;14;"Muy buena / ";;120;66;959,2;0;0;12,4;0,38
26/10/2017;02:00;;"Sin datos / ";;143;65;959,1;0;0;12,8;0,29
26/10/2017;01:00;11;"Muy buena / ";21;331;64;959;0;0;13,4;0,19
25/10/2017;24:00;16;"Muy buena / ";26;6;60;959,1;0;0;14,6;0,2
25/10/2017;23:00;16;"Muy buena / ";32;297;58;959,1;0;0;14,9;0,36
25/10/2017;22:00;11;"Muy buena / ";39;134;55;959;0;0;15,6;0,19
25/10/2017;21:00;24;"Muy buena / ";46;225;53;958,7;0;0;15,7;0,61
25/10/2017;20:00;17;"Muy buena / ";50;230;50;958,3;0;0;17,3;0,46
25/10/2017;19:00;15;"Muy buena / ";53;101;46;958,1;0;0;19,2;0,46
25/10/2017;18:00;43;"Muy buena / ";55;224;40;957,7;0;2,2;21,4;1,27
25/10/2017;17:00;59;"Muy buena / ";50;161;31;957,3;0;84,5;25,3;1,05
25/10/2017;16:00;70;"Buena / ";43;150;28;957,1;0;216,3;26,1;1,32
25/10/2017;15:00;74;"Buena / ";35;;;;0;338,1;;
25/10/2017;14:00;66;"Buena / ";26;;;;0;409,1;;
25/10/2017;13:00;56;"Muy buena / ";18;;;;0;418;;
25/10/2017;12:00;44;"Muy buena / ";12;330;34;957,9;0;390,7;23,5;0,27
25/10/2017;11:00;24;"Muy buena / ";8;335;39;958,1;0;123,6;21,2;0,14
25/10/2017;10:00;7;"Muy buena / ";6;326;45;958,2;0;200,3;18;0,19
25/10/2017;09:00;5;"Muy buena / ";6;349;59;958,2;0;109,4;13,4;0,22
25/10/2017;08:00;3;"Muy buena / ";6;52;71;957,9;0;68,4;9,8;0,42
25/10/2017;07:00;1;"Muy buena / ";;91;73;957,9;0;6,3;9;0,51
25/10/2017;06:00;2;"Muy buena / ";;311;75;957,8;0;0;8,9;0,25
25/10/2017;05:00;7;"Muy buena / ";;249;73;957,7;0;0;9,2;0,28
25/10/2017;04:00;12;"Muy buena / ";;340;72;957,9;0;0;9,5;0,27
25/10/2017;03:00;10;"Muy buena / ";;52;69;958;0;0;10,7;0,38
25/10/2017;02:00;;"Sin datos / ";;328;68;958,1;0;0;10,9;0,21
25/10/2017;01:00;21;"Muy buena / ";14;254;68;958;0;0;11;0,6
24/10/2017;24:00;19;"Muy buena / ";19;283;64;958,1;0;0;12,2;0,35
24/10/2017;23:00;5;"Muy buena / ";24;65;60;958,3;0;0;13,4;0,4
24/10/2017;22:00;2;"Muy buena / ";31;47;59;958,1;0;0;14,2;0,34
24/10/2017;21:00;20;"Muy buena / ";36;273;54;957,8;0;0;14,8;0,31
24/10/2017;20:00;21;"Muy buena / ";40;211;51;957,5;0;0;15,5;0,72
24/10/2017;19:00;11;"Muy buena / ";41;236;48;957,4;0;0;17,1;0,52
24/10/2017;18:00;25;"Muy buena / ";42;214;42;957,3;0;3;19,9;0,65
24/10/2017;17:00;48;"Muy buena / ";40;67;30;957,1;0;96,8;24,8;1,15
24/10/2017;16:00;63;"Buena / ";35;78;27;956,9;0;231,4;25,6;1,09
24/10/2017;15:00;56;"Muy buena / ";27;;;;0;364,7;;
24/10/2017;14:00;47;"Muy buena / ";21;49;28;957;0;358,8;24,6;0,46
24/10/2017;13:00;52;"Muy buena / ";15;30;26;957,6;0;407;22,7;0,3
24/10/2017;12:00;25;"Muy buena / ";10;5;31;958;0;379,6;20,4;0,33
24/10/2017;11:00;17;"Muy buena / ";9;329;38;958,6;0;150,6;17,9;0,22
24/10/2017;10:00;12;"Muy buena / ";10;26;52;959,2;0;206,1;13,8;0,28
24/10/2017;09:00;7;"Muy buena / ";10;31;63;959,5;0;128;10,4;0,24
24/10/2017;08:00;3;"Muy buena / ";10;340;76;959,7;0;55,5;7;0,23
24/10/2017;07:00;1;"Muy buena / ";;333;78;959,8;0;6,2;6,5;0,08
24/10/2017;06:00;3;"Muy buena / ";;252;81;959,9;0;0;6,3;0,54
24/10/2017;05:00;11;"Muy buena / ";;256;78;960,1;0;0;6,4;0,35
24/10/2017;04:00;19;"Muy buena / ";;270;74;960,2;0;0;7,2;0,17
24/10/2017;03:00;25;"Muy buena / ";;260;73;960,6;0;0;7,1;0,33
24/10/2017;02:00;;"Sin datos / ";;86;69;960,8;0;0;8,1;0,07
24/10/2017;01:00;29;"Muy buena / ";21;265;69;961;0;0;8,4;0,27
23/10/2017;24:00;33;"Muy buena / ";26;154;68;961,3;0;0;9,3;0,1
23/10/2017;23:00;23;"Muy buena / ";30;110;70;961,4;0;0;10,2;0,44
23/10/2017;22:00;17;"Muy buena / ";33;27;70;961,1;0;0;11,2;0,29
23/10/2017;21:00;19;"Muy buena / ";35;215;73;960,9;0;0;11;0,62
23/10/2017;20:00;13;"Muy buena / ";37;216;71;960,9;0;0;11,9;0,78
23/10/2017;19:00;16;"Muy buena / ";39;211;61;960,8;0;0;14,7;0,45
23/10/2017;18:00;37;"Muy buena / ";41;13;54;960,4;0;4,2;16,4;1,31
23/10/2017;17:00;58;"Muy buena / ";38;23;39;960,1;0;103,2;19,2;1,41
23/10/2017;16:00;58;"Muy buena / ";33;36;34;960;0;234,7;20,1;1,12
23/10/2017;15:00;46;"Muy buena / ";27;42;40;960;0;345,2;19,8;0,76
23/10/2017;14:00;33;"Muy buena / ";22;354;46;960;0;418,6;19,5;0,37
23/10/2017;13:00;34;"Muy buena / ";20;29;51;960,1;0;438,3;18,2;0,29
23/10/2017;12:00;31;"Muy buena / ";16;38;60;960,5;0;406,5;15,1;0,34
23/10/2017;11:00;30;"Muy buena / ";13;88;75;960,8;0;142,8;11,3;0,64
23/10/2017;10:00;14;"Muy buena / ";12;315;81;961,5;0;164,7;9,6;0,11
23/10/2017;09:00;15;"Muy buena / ";12;297;90;961,8;0;86,7;7,7;0,34
23/10/2017;08:00;9;"Muy buena / ";11;275;96;961,6;0;29,8;6,6;0,77
23/10/2017;07:00;8;"Muy buena / ";;275;94;961,4;0;1,7;6,8;0,8
23/10/2017;06:00;17;"Muy buena / ";;256;95;961,5;0;0;6,6;0,46
23/10/2017;05:00;4;"Muy buena / ";;241;93;961,4;0;0;6,4;0,45
23/10/2017;04:00;9;"Muy buena / ";;258;92;961,2;0;0;5,9;0,6
23/10/2017;03:00;21;"Muy buena / ";;174;88;961,2;0;0;6,9;0,22
23/10/2017;02:00;;"Sin datos / ";;97;87;961,9;0;0;7,4;0,29
23/10/2017;01:00;22;"Muy buena / ";41;266;87;962,2;0;0;7,5;0,32
22/10/2017;24:00;26;"Muy buena / ";43;233;88;962,5;0;0;7,8;0,62
22/10/2017;23:00;27;"Muy buena / ";46;245;88;962,8;0;0;8,3;0,93
22/10/2017;22:00;30;"Muy buena / ";51;204;87;962,8;0;0;9,4;0,63
