Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;71;"Buena / ";74;291;88;966,6;0;10,6;2,06
29/10/2017;06:00;70;"Buena / ";75;336;87;966,9;0;10,5;2,14
29/10/2017;05:00;73;"Buena / ";75;347;87;967;0;10,5;2,79
29/10/2017;04:00;76;"Buena / ";76;2;86;966,9;0;10,6;3,22
29/10/2017;03:00;;"Sin datos / ";76;20;85;967,1;0;10,8;4,41
29/10/2017;02:00;79;"Buena / ";77;22;85;967,5;0;10,8;5,17
29/10/2017;01:00;78;"Buena / ";76;39;80;967,9;0;10,8;4,43
28/10/2017;24:00;73;"Buena / ";76;47;76;968,3;0;10,9;4,82
28/10/2017;23:00;73;"Buena / ";76;36;73;968,5;0;11,3;5,35
28/10/2017;22:00;74;"Buena / ";77;28;78;968,7;0;11,4;5,54
28/10/2017;21:00;76;"Buena / ";77;13;82;968,7;0;11,6;5,18
28/10/2017;20:00;78;"Buena / ";76;8;83;968,7;0;11,6;4,99
28/10/2017;19:00;81;"Buena / ";75;10;82;968,8;0;11,6;4,91
28/10/2017;18:00;78;"Buena / ";73;19;80;968,8;0;11,5;4,59
28/10/2017;17:00;76;"Buena / ";71;354;80;968,6;0;11,6;3,67
28/10/2017;16:00;75;"Buena / ";70;345;81;968,5;0;12,2;2,9
28/10/2017;15:00;75;"Buena / ";68;8;85;968,7;0;12,3;2,63
28/10/2017;14:00;73;"Buena / ";69;18;88;968,9;0;12,2;3,06
28/10/2017;13:00;71;"Buena / ";69;12;90;969,4;0;11,8;4,33
28/10/2017;12:00;68;"Buena / ";69;35;86;970,1;0;12,6;2,36
28/10/2017;11:00;64;"Buena / ";71;54;88;970,6;0;12;2,87
28/10/2017;10:00;67;"Buena / ";72;20;88;970,6;0;11,9;3,66
28/10/2017;09:00;64;"Buena / ";73;8;89;970,5;0;11,8;3,51
28/10/2017;08:00;65;"Buena / ";76;9;86;970,2;0;12,2;3,54
28/10/2017;07:00;76;"Buena / ";78;40;81;969,9;0;12,6;4,39
28/10/2017;06:00;73;"Buena / ";79;56;85;970;0;12,4;4,67
28/10/2017;05:00;74;"Buena / ";80;63;90;970,2;0;12,2;6,67
28/10/2017;04:00;82;"Buena / ";80;46;89;970,3;0;12;6,63
28/10/2017;03:00;;"Sin datos / ";79;55;95;970,6;0;11,5;5,16
28/10/2017;02:00;80;"Buena / ";79;324;95;970,9;0;11,8;2,48
28/10/2017;01:00;81;"Buena / ";78;292;94;971,1;0;11,4;3,85
27/10/2017;24:00;81;"Buena / ";77;293;96;971,3;0;11,8;4,79
27/10/2017;23:00;82;"Buena / ";76;314;95;971,6;0;12,3;6,23
27/10/2017;22:00;79;"Buena / ";74;322;94;971,7;0;12,2;5,68
27/10/2017;21:00;77;"Buena / ";73;315;95;971,6;0;12;5,18
27/10/2017;20:00;76;"Buena / ";70;331;95;971,4;0;12,7;5,75
27/10/2017;19:00;75;"Buena / ";67;345;96;971,5;0;12,8;5,42
27/10/2017;18:00;73;"Buena / ";66;341;95;971,3;0,1;13,3;4,69
27/10/2017;17:00;71;"Buena / ";65;312;95;971,3;0;13,4;3,63
27/10/2017;16:00;71;"Buena / ";65;318;95;971,5;0;13,6;4,71
27/10/2017;15:00;71;"Buena / ";66;315;95;971,6;0;13,6;4,43
27/10/2017;14:00;70;"Buena / ";66;315;95;971,6;0;13,9;5,67
27/10/2017;13:00;53;"Muy buena / ";67;294;95;971,7;0;14,2;5,69
27/10/2017;12:00;54;"Muy buena / ";70;291;95;972;0;13,8;3,87
27/10/2017;11:00;64;"Buena / ";73;285;94;972;0;13,7;4,4
27/10/2017;10:00;69;"Buena / ";75;289;94;971,9;0;13,5;3,53
27/10/2017;09:00;71;"Buena / ";76;285;93;971,7;0;13,8;2,96
27/10/2017;08:00;73;"Buena / ";77;305;91;971,3;0;13,8;2,22
27/10/2017;07:00;76;"Buena / ";78;319;89;971;0;13,8;3,32
27/10/2017;06:00;75;"Buena / ";79;318;91;970,8;0;13,5;2,82
27/10/2017;05:00;76;"Buena / ";82;323;93;970,5;0;13,1;2,85
27/10/2017;04:00;82;"Buena / ";85;280;85;970,1;0;14,2;2,62
27/10/2017;03:00;;"Sin datos / ";86;265;82;970,1;0;14,3;2,68
27/10/2017;02:00;77;"Buena / ";87;248;89;970,3;0;13,5;2,7
27/10/2017;01:00;78;"Buena / ";90;287;92;970,4;0;13,7;3,86
26/10/2017;24:00;80;"Buena / ";93;298;85;970,3;0;14,3;5,2
26/10/2017;23:00;85;"Buena / ";95;294;79;970,1;0;14,9;5,82
26/10/2017;22:00;93;"Buena / ";97;272;65;969,9;0;16,2;5,31
26/10/2017;21:00;98;"Buena / ";96;242;58;969,4;0;17;5,64
26/10/2017;20:00;93;"Buena / ";93;253;71;969,1;0;15,6;5,38
26/10/2017;19:00;95;"Buena / ";89;267;78;968,8;0;14,9;5,18
26/10/2017;18:00;98;"Buena / ";85;250;69;968,3;0;15,9;5,76
26/10/2017;17:00;98;"Buena / ";83;250;72;967,9;0;15,7;5,3
26/10/2017;16:00;99;"Buena / ";80;264;72;967,5;0;16;6,16
26/10/2017;15:00;101;"Buena / ";77;267;73;967,4;0;16;7,15
26/10/2017;14:00;83;"Buena / ";75;286;87;967,2;0;14,6;6,79
26/10/2017;13:00;73;"Buena / ";74;296;91;967;0;14,5;7,39
26/10/2017;12:00;65;"Buena / ";75;294;87;966,9;0;14,9;6,13
26/10/2017;11:00;60;"Muy buena / ";76;277;70;966,7;0;16,8;5,99
26/10/2017;10:00;81;"Buena / ";78;214;35;966;0;22,6;8,07
26/10/2017;09:00;78;"Buena / ";78;192;34;965,6;0;22,9;7,98
26/10/2017;08:00;78;"Buena / ";79;183;35;964,9;0;22,5;6,92
26/10/2017;07:00;78;"Buena / ";80;169;35;964,2;0;22,6;7,88
26/10/2017;06:00;77;"Buena / ";81;161;35;963,6;0;22,6;8,34
26/10/2017;05:00;79;"Buena / ";83;162;35;963,3;0;22,6;8,87
26/10/2017;04:00;77;"Buena / ";83;168;35;963;0;22,8;8,62
26/10/2017;03:00;;"Sin datos / ";84;162;35;962,7;0;23;9,61
26/10/2017;02:00;80;"Buena / ";84;159;35;962,8;0;23,1;9,26
26/10/2017;01:00;84;"Buena / ";84;157;36;962,8;0;23,1;10,09
25/10/2017;24:00;86;"Buena / ";84;157;36;963,2;0;23;9,74
25/10/2017;23:00;86;"Buena / ";83;160;36;963,2;0;23,1;8,85
25/10/2017;22:00;86;"Buena / ";80;160;36;963;0;23,2;8,98
25/10/2017;21:00;84;"Buena / ";78;159;35;962,6;0;23,4;9,81
25/10/2017;20:00;82;"Buena / ";74;160;36;962,6;0;23,5;7,39
25/10/2017;19:00;80;"Buena / ";73;149;37;962,6;0;23,5;3,67
25/10/2017;18:00;83;"Buena / ";72;154;40;962,6;0;23,4;4,24
25/10/2017;17:00;82;"Buena / ";68;143;45;962,4;0;23,5;3,45
25/10/2017;16:00;77;"Buena / ";65;127;46;962,4;0;25,2;0,21
25/10/2017;15:00;68;"Buena / ";63;93;51;962,4;0;23,9;0,21
25/10/2017;14:00;64;"Buena / ";63;160;50;962,6;0;22,6;1,15
25/10/2017;13:00;57;"Muy buena / ";64;149;49;963,2;0;21,9;1,12
25/10/2017;12:00;;"Sin datos / ";67;110;54;963,7;0;20,2;1,72
25/10/2017;11:00;;"Sin datos / ";67;141;58;963,8;0;20;0,68
25/10/2017;10:00;60;"Muy buena / ";67;159;53;963,8;0;19,6;0,8
25/10/2017;09:00;62;"Buena / ";68;252;44;963,5;0;18,6;1,86
25/10/2017;08:00;67;"Buena / ";69;281;43;963;0;18,6;3,02
25/10/2017;07:00;65;"Buena / ";69;258;40;962,5;0;19,6;4,04
25/10/2017;06:00;75;"Buena / ";69;251;38;962,3;0;20,5;2,91
25/10/2017;05:00;71;"Buena / ";67;223;34;962,1;0;22;3,01
25/10/2017;04:00;70;"Buena / ";67;172;35;962,1;0;22,5;2,99
25/10/2017;03:00;;"Sin datos / ";67;155;41;962,4;0;22,3;1,97
25/10/2017;02:00;68;"Buena / ";67;156;43;962,6;0;21,8;1,05
25/10/2017;01:00;68;"Buena / ";67;187;45;962,7;0;21,7;1,67
24/10/2017;24:00;68;"Buena / ";68;218;46;962,9;0;21,4;1,98
24/10/2017;23:00;64;"Buena / ";68;241;47;963;0;21,3;2,42
24/10/2017;22:00;61;"Buena / ";69;238;43;962,9;0;21,9;1,23
24/10/2017;21:00;68;"Buena / ";71;222;44;962,7;0;21,8;1,16
24/10/2017;20:00;70;"Buena / ";71;186;42;962,5;0;22,3;0,66
24/10/2017;19:00;66;"Buena / ";71;163;45;962,6;0;22,5;1,55
24/10/2017;18:00;71;"Buena / ";72;136;48;962,6;0;22;3,06
24/10/2017;17:00;72;"Buena / ";73;108;43;962,5;0;22,3;3,77
24/10/2017;16:00;74;"Buena / ";74;95;39;962,5;0;22,9;4,59
24/10/2017;15:00;69;"Buena / ";76;95;40;962,7;0;22,6;3,51
24/10/2017;14:00;74;"Buena / ";79;93;40;962,9;0;21,9;5,98
24/10/2017;13:00;70;"Buena / ";82;96;39;963,2;0;22,2;4,21
24/10/2017;12:00;70;"Buena / ";83;122;35;963,7;0;22,1;4
24/10/2017;11:00;72;"Buena / ";85;112;26;964,3;0;21,5;3,86
24/10/2017;10:00;80;"Buena / ";87;122;24;964,6;0;20,9;2,97
24/10/2017;09:00;85;"Buena / ";87;116;21;964,7;0;20;3,38
24/10/2017;08:00;89;"Buena / ";86;97;18;964,5;0;18,5;5,53
24/10/2017;07:00;94;"Buena / ";85;107;18;964,5;0;17,6;4,57
24/10/2017;06:00;92;"Buena / ";82;89;24;964,7;0;16,4;5,51
24/10/2017;05:00;84;"Buena / ";80;82;41;965;0;15,3;4,96
24/10/2017;04:00;83;"Buena / ";79;77;22;965,2;0;16,3;2,3
24/10/2017;03:00;;"Sin datos / ";79;72;26;965,5;0;15,8;1,49
24/10/2017;02:00;81;"Buena / ";80;199;38;965,8;0;14,9;0,17
24/10/2017;01:00;76;"Buena / ";80;209;64;966,1;0;14,1;1,44
23/10/2017;24:00;82;"Buena / ";80;256;60;966,5;0;14,2;1,33
23/10/2017;23:00;76;"Buena / ";80;275;53;966,7;0;14,3;1,01
23/10/2017;22:00;75;"Buena / ";80;258;55;966,6;0;14,5;1,26
23/10/2017;21:00;80;"Buena / ";80;229;59;966,3;0;14,5;2,03
23/10/2017;20:00;81;"Buena / ";79;219;59;966,2;0;14,5;2,02
23/10/2017;19:00;86;"Buena / ";77;228;57;966,2;0;14,5;2,09
23/10/2017;18:00;80;"Buena / ";74;173;59;966,1;0;14,3;1,17
23/10/2017;17:00;80;"Buena / ";72;130;54;966,2;0;15,4;0,48
23/10/2017;16:00;81;"Buena / ";71;85;64;966,4;0;14,4;2,2
23/10/2017;15:00;80;"Buena / ";71;68;72;966,5;0;13,9;4,11
23/10/2017;14:00;75;"Buena / ";71;44;75;966,6;0;13,9;2,97
23/10/2017;13:00;69;"Buena / ";71;34;71;966,5;0;14,2;1,3
23/10/2017;12:00;64;"Buena / ";73;123;69;966,4;0;13,9;2,27
23/10/2017;11:00;62;"Buena / ";75;117;72;966,7;0;13;2,67
23/10/2017;10:00;67;"Buena / ";77;103;72;966,9;0;12,7;2,04
23/10/2017;09:00;70;"Buena / ";79;96;71;966,9;0;12,3;2,81
23/10/2017;08:00;77;"Buena / ";80;110;74;966,5;0;11,6;3,34
23/10/2017;07:00;81;"Buena / ";80;121;77;966,4;0;11;2,23
23/10/2017;06:00;81;"Buena / ";80;98;79;966,7;0;10,8;1,07
23/10/2017;05:00;79;"Buena / ";80;101;82;966,7;0;10,4;0,55
23/10/2017;04:00;82;"Buena / ";80;332;81;966,5;0;10,6;0,35
23/10/2017;03:00;;"Sin datos / ";79;339;81;966,6;0;10,5;0,33
23/10/2017;02:00;80;"Buena / ";79;253;85;967,1;0;10,8;1,44
23/10/2017;01:00;78;"Buena / ";78;256;87;967,5;0;10,8;2,3
22/10/2017;24:00;80;"Buena / ";78;254;87;967,9;0;10,7;2,17
22/10/2017;23:00;78;"Buena / ";78;259;88;968,2;0;10,7;2,24
22/10/2017;22:00;80;"Buena / ";77;267;88;968,2;0;10,7;2,79
22/10/2017;21:00;80;"Buena / ";77;263;89;968,2;0;10,5;2,75
22/10/2017;20:00;80;"Buena / ";76;263;91;968,2;0;10,2;3,27
22/10/2017;19:00;72;"Buena / ";75;257;94;968,2;0,1;9,9;4,87
22/10/2017;18:00;74;"Buena / ";74;251;94;968,1;0,3;9,9;4,85
22/10/2017;17:00;79;"Buena / ";74;268;94;967,7;0;10,3;5,72
22/10/2017;16:00;79;"Buena / ";72;277;94;967,6;0;10,5;8,79
22/10/2017;15:00;71;"Buena / ";71;271;94;967,6;0;10,4;6,53
22/10/2017;14:00;77;"Buena / ";71;277;95;967,7;0;9,7;6,22
22/10/2017;13:00;73;"Buena / ";71;265;95;967,8;0,1;9,8;6,86
22/10/2017;12:00;74;"Buena / ";71;272;95;968,5;0,2;9,7;7,32
22/10/2017;11:00;65;"Buena / ";70;255;95;968,4;0;10;6,25
22/10/2017;10:00;70;"Buena / ";71;261;94;968,3;1,5;9,3;5,57
22/10/2017;09:00;67;"Buena / ";71;261;94;968,1;0,1;9,4;5,53
22/10/2017;08:00;70;"Buena / ";70;247;94;967,8;0,2;9,2;8,47
22/10/2017;07:00;74;"Buena / ";70;266;95;967,4;0,1;9;7,02
22/10/2017;06:00;74;"Buena / ";69;272;95;967,1;0,9;9,3;7,94
22/10/2017;05:00;72;"Buena / ";69;260;94;966,6;0,3;9,1;8,51
22/10/2017;04:00;69;"Buena / ";69;260;94;966,5;0,4;9,4;10,08
22/10/2017;03:00;;"Sin datos / ";70;259;92;966,4;0,2;9,5;8,5
22/10/2017;02:00;68;"Buena / ";71;270;90;966,8;0,3;9,8;10,3
22/10/2017;01:00;66;"Buena / ";72;270;87;967;0,1;10,7;8,9
21/10/2017;24:00;66;"Buena / ";74;274;89;967,1;0;10,7;8,82
21/10/2017;23:00;70;"Buena / ";76;267;88;967,1;0,4;10,4;8,16
21/10/2017;22:00;72;"Buena / ";77;271;88;966,9;0,7;10,1;8,89
21/10/2017;21:00;74;"Buena / ";77;277;80;966,7;0,4;11,4;8,83
21/10/2017;20:00;75;"Buena / ";76;277;74;966,6;0;12,1;11,33
21/10/2017;19:00;76;"Buena / ";75;283;76;966,3;0;11,9;10,19
21/10/2017;18:00;79;"Buena / ";73;280;74;965,9;0;12,5;10,36
21/10/2017;17:00;80;"Buena / ";72;288;75;965,6;0;12,3;9,18
21/10/2017;16:00;79;"Buena / ";72;282;80;965,2;0;12,3;10,46
21/10/2017;15:00;79;"Buena / ";71;282;78;964,9;0;12,5;11,38
21/10/2017;14:00;74;"Buena / ";71;285;79;964,4;0;12,7;9,88
21/10/2017;13:00;64;"Buena / ";71;263;81;964,3;0;12,7;6,55
21/10/2017;12:00;66;"Buena / ";73;259;81;964,3;0;12,4;7,56
21/10/2017;11:00;63;"Buena / ";75;235;83;964,3;0;11,9;8,37
21/10/2017;10:00;72;"Buena / ";76;247;79;964,1;0;12,3;8,84
21/10/2017;09:00;76;"Buena / ";75;275;94;963,6;0,1;11,1;7,93
21/10/2017;08:00;77;"Buena / ";73;280;96;962,9;1,1;11,7;11,81
21/10/2017;07:00;75;"Buena / ";73;280;95;961,9;0,4;12,5;10,88
21/10/2017;06:00;77;"Buena / ";73;274;95;961,4;0,1;12,9;12,69
21/10/2017;05:00;78;"Buena / ";73;270;95;960,9;0,1;13,8;11,07
21/10/2017;04:00;78;"Buena / ";72;280;94;960;0;14,2;13,59
21/10/2017;03:00;;"Sin datos / ";72;256;79;958,9;0;17,2;13,28
21/10/2017;02:00;61;"Buena / ";72;191;61;957,8;0;19,3;10,55
21/10/2017;01:00;67;"Buena / ";73;184;60;957,1;0;19,3;11,04
20/10/2017;24:00;72;"Buena / ";72;173;59;957;0;18,9;10,65
20/10/2017;23:00;75;"Buena / ";71;164;58;956,7;0;18,9;12,35
20/10/2017;22:00;77;"Buena / ";69;159;57;957,2;0;19;11,09
20/10/2017;21:00;77;"Buena / ";67;164;56;957,4;0;19;11,24
20/10/2017;20:00;76;"Buena / ";65;169;57;957,4;0;19;10,49
20/10/2017;19:00;74;"Buena / ";63;170;59;957,3;0;18,9;9,58
20/10/2017;18:00;67;"Buena / ";61;164;61;957,1;0;19,1;8,47
20/10/2017;17:00;60;"Muy buena / ";59;157;62;957,2;0;19,7;5,69
20/10/2017;16:00;63;"Buena / ";60;151;60;957,3;0;19,8;4,82
20/10/2017;15:00;61;"Buena / ";60;134;62;957,5;0;18,9;3,03
20/10/2017;14:00;60;"Muy buena / ";60;139;63;957,6;0;18,4;2,18
20/10/2017;13:00;59;"Muy buena / ";61;161;62;957,7;0;18,2;2,13
20/10/2017;12:00;58;"Muy buena / ";61;155;63;958,2;0;17,6;2,61
20/10/2017;11:00;57;"Muy buena / ";61;163;65;958,3;0;16,3;3,61
20/10/2017;10:00;57;"Muy buena / ";62;186;68;958,3;0;15,3;2,4
20/10/2017;09:00;61;"Buena / ";63;97;76;958;0;15,1;3,86
20/10/2017;08:00;64;"Buena / ";65;99;76;957,7;0;14,8;2,78
20/10/2017;07:00;63;"Buena / ";67;55;80;957,1;0;14,6;0,92
20/10/2017;06:00;65;"Buena / ";70;339;80;956,6;0;14,6;1,3
20/10/2017;05:00;62;"Buena / ";71;318;80;956,1;0;14,8;3,46
20/10/2017;04:00;61;"Buena / ";72;302;67;955,8;0;15,1;4,74
20/10/2017;03:00;;"Sin datos / ";73;265;56;955,5;0;15,6;5,76
20/10/2017;02:00;68;"Buena / ";73;270;55;955,4;0;15,9;7,31
20/10/2017;01:00;73;"Buena / ";74;264;51;955,1;0;16,6;6,96
19/10/2017;24:00;80;"Buena / ";76;232;46;954,7;0;17,1;6,86
19/10/2017;23:00;79;"Buena / ";76;214;43;954,2;0;17,2;7,19
19/10/2017;22:00;75;"Buena / ";76;210;49;953,8;0;16,3;6,97
19/10/2017;21:00;70;"Buena / ";77;198;57;953,5;0;15,3;5,04
19/10/2017;20:00;69;"Buena / ";78;180;66;952,9;0;15,2;4,41
19/10/2017;19:00;71;"Buena / ";78;166;73;953;0;15,1;2,96
19/10/2017;18:00;77;"Buena / ";77;125;74;952,3;0;15;4,47
19/10/2017;17:00;84;"Buena / ";76;102;76;952;0;14,8;4,82
19/10/2017;16:00;83;"Buena / ";73;90;77;951,9;0;14,5;3,97
19/10/2017;15:00;82;"Buena / ";71;60;76;951,4;0;14,5;1,05
19/10/2017;14:00;79;"Buena / ";69;347;74;951,6;0;14,9;0,08
19/10/2017;13:00;79;"Buena / ";68;320;77;951,8;0;14,1;0,53
19/10/2017;12:00;69;"Buena / ";66;288;78;952,6;0;13,8;0,75
19/10/2017;11:00;66;"Buena / ";66;262;82;952,7;0;12,8;1,99
19/10/2017;10:00;63;"Buena / ";66;235;84;952,4;0;12,6;2,13
19/10/2017;09:00;66;"Buena / ";66;246;85;952,1;0;12;3,65
19/10/2017;08:00;67;"Buena / ";66;225;87;951,7;0;11,2;5,54
19/10/2017;07:00;66;"Buena / ";66;244;90;951,5;0;10,9;5,43
19/10/2017;06:00;67;"Buena / ";67;254;91;951,5;0;10,8;6,57
19/10/2017;05:00;66;"Buena / ";68;256;91;951,2;0;10,7;6,64
19/10/2017;04:00;65;"Buena / ";65;260;90;950,9;0;10,9;7,89
19/10/2017;03:00;;"Sin datos / ";64;251;93;951;0;10,7;7,17
19/10/2017;02:00;68;"Buena / ";65;252;95;951,1;0;10,7;6,6
19/10/2017;01:00;63;"Buena / ";66;258;95;951;0;10,9;6,74
18/10/2017;24:00;69;"Buena / ";67;252;95;950,9;0,1;10,9;7,65
18/10/2017;23:00;69;"Buena / ";68;249;95;950,9;0,2;11,1;8,16
18/10/2017;22:00;73;"Buena / ";70;247;94;951;0,2;11,2;7,15
18/10/2017;21:00;51;"Muy buena / ";70;244;92;950,6;0,2;11,6;8,49
18/10/2017;20:00;57;"Muy buena / ";72;233;87;950,5;0;12;7,74
18/10/2017;19:00;70;"Buena / ";72;238;82;950,3;0;12,4;6,24
18/10/2017;18:00;76;"Buena / ";71;252;79;950,1;0;12,3;5,97
18/10/2017;17:00;74;"Buena / ";69;262;79;950,1;0,1;12,1;5,37
18/10/2017;16:00;75;"Buena / ";67;259;81;950;0,1;12,4;6,61
18/10/2017;15:00;80;"Buena / ";65;262;86;949,9;0,1;11,6;7,06
18/10/2017;14:00;79;"Buena / ";62;286;94;950;0,4;11,1;9,51
18/10/2017;13:00;65;"Buena / ";61;290;91;949,6;0,9;13,7;6,69
18/10/2017;12:00;60;"Muy buena / ";61;95;77;950;0;16,1;4,09
18/10/2017;11:00;62;"Buena / ";62;97;74;950,7;0;16,5;6,35
18/10/2017;10:00;53;"Muy buena / ";62;125;73;951,3;0,3;16,3;5,34
18/10/2017;09:00;61;"Buena / ";66;161;71;951,8;0;16,5;4,75
18/10/2017;08:00;56;"Muy buena / ";70;158;72;952,1;0;16,5;7,07
18/10/2017;07:00;63;"Buena / ";74;163;71;952;0;16,6;6,39
18/10/2017;06:00;67;"Buena / ";76;158;71;952;0;16,7;8,19
18/10/2017;05:00;69;"Buena / ";77;153;68;952,5;0;17;7,9
18/10/2017;04:00;68;"Buena / ";79;157;67;953;0;17,1;8,2
18/10/2017;03:00;;"Sin datos / ";79;161;66;953,4;0;17,4;8,01
18/10/2017;02:00;80;"Buena / ";80;159;65;953,8;0;17,8;8,95
18/10/2017;01:00;90;"Buena / ";81;157;61;954,2;0;18,5;7,73
17/10/2017;24:00;84;"Buena / ";81;156;59;954,6;0;18,9;8,98
17/10/2017;23:00;74;"Buena / ";81;167;56;955,2;0;19,1;7,8
17/10/2017;22:00;77;"Buena / ";83;162;56;955,6;0;19,3;8,73
17/10/2017;21:00;78;"Buena / ";84;163;57;955,6;0;19,4;8,18
17/10/2017;20:00;73;"Buena / ";85;179;53;955,7;0;19,9;6,18
17/10/2017;19:00;82;"Buena / ";87;172;49;955,7;0;20,3;7,31
17/10/2017;18:00;89;"Buena / ";87;160;45;955,2;0;21;10,04
17/10/2017;17:00;87;"Buena / ";86;157;43;955;0;21,5;10,11
17/10/2017;16:00;89;"Buena / ";86;154;42;955;0;21,8;10,12
17/10/2017;15:00;88;"Buena / ";86;151;44;955,3;0;21,6;9,15
17/10/2017;14:00;89;"Buena / ";86;154;44;955,6;0;21,3;12,72
17/10/2017;13:00;86;"Buena / ";87;153;47;956,5;0;20,7;11,95
17/10/2017;12:00;84;"Buena / ";88;162;51;957,2;0;19,8;11,43
17/10/2017;11:00;84;"Buena / ";89;159;53;957,6;0;19,6;12,66
17/10/2017;10:00;84;"Buena / ";90;165;54;958;0;18,7;11,39
17/10/2017;09:00;84;"Buena / ";90;155;54;958,3;0;18,5;12,94
17/10/2017;08:00;88;"Buena / ";90;156;51;958,5;0;18,9;11,34
17/10/2017;07:00;92;"Buena / ";87;155;49;958,3;0;19,3;12,78
17/10/2017;06:00;95;"Buena / ";83;156;50;958,2;0;19,6;15,14
17/10/2017;05:00;95;"Buena / ";80;156;50;958,2;0;20;15,69
17/10/2017;04:00;93;"Buena / ";78;154;50;958,8;0;19,9;13,15
17/10/2017;03:00;;"Sin datos / ";75;154;45;959,6;0;20,6;10,79
17/10/2017;02:00;84;"Buena / ";75;151;47;960,5;0;20,7;9,09
17/10/2017;01:00;80;"Buena / ";74;150;56;961,4;0;20;8,81
16/10/2017;24:00;70;"Buena / ";73;148;63;962;0;19,1;7,8
16/10/2017;23:00;67;"Buena / ";74;129;77;962,6;0;16,9;5,93
16/10/2017;22:00;73;"Buena / ";75;108;93;963,3;0;14,7;1,64
16/10/2017;21:00;76;"Buena / ";78;146;93;963,6;0;14,9;1,27
16/10/2017;20:00;76;"Buena / ";79;70;95;963,8;0;14,7;0,52
16/10/2017;19:00;73;"Buena / ";81;301;95;964;0;14,9;1,85
16/10/2017;18:00;74;"Buena / ";82;296;94;963,8;0;15,1;3,91
16/10/2017;17:00;76;"Buena / ";84;307;93;963,5;0;15,3;3,97
16/10/2017;16:00;76;"Buena / ";85;292;93;963,4;0;15,7;5,6
16/10/2017;15:00;75;"Buena / ";86;283;93;963,3;0;16,2;7,34
16/10/2017;14:00;96;"Buena / ";87;292;89;963;0;17,2;9,03
16/10/2017;13:00;89;"Buena / ";86;200;46;962,6;0;23,5;5,73
16/10/2017;12:00;85;"Buena / ";86;156;46;962,5;0;23,3;8,33
16/10/2017;11:00;86;"Buena / ";87;168;49;962,3;0;22,2;11,69
16/10/2017;10:00;85;"Buena / ";87;164;50;961,9;0;21,7;10,57
16/10/2017;09:00;86;"Buena / ";88;151;50;961,3;0;21,3;13,07
16/10/2017;08:00;86;"Buena / ";88;150;51;961;0;21,1;12,32
16/10/2017;07:00;86;"Buena / ";89;163;54;960,3;0;20,5;12,52
16/10/2017;06:00;86;"Buena / ";90;156;57;959,9;0;20,2;11,45
16/10/2017;05:00;88;"Buena / ";91;160;57;959,8;0;20,6;12,32
16/10/2017;04:00;89;"Buena / ";91;160;57;959,8;0;20,9;12,58
16/10/2017;03:00;;"Sin datos / ";90;158;56;959,7;0;21,3;14,01
16/10/2017;02:00;92;"Buena / ";89;156;57;960;0;21,5;14,89
16/10/2017;01:00;92;"Buena / ";87;157;56;960,4;0;21,7;15
15/10/2017;24:00;91;"Buena / ";85;155;55;960,7;0;21,9;14,52
15/10/2017;23:00;93;"Buena / ";83;140;54;960,8;0;22,1;12,02
15/10/2017;22:00;92;"Buena / ";81;148;52;960,9;0;22,4;14,37
15/10/2017;21:00;86;"Buena / ";78;156;52;961,2;0;22,5;12,92
15/10/2017;20:00;83;"Buena / ";77;161;48;961,3;0;23,3;10,81
15/10/2017;19:00;81;"Buena / ";76;160;46;961,5;0;23,6;9,66
15/10/2017;18:00;79;"Buena / ";76;160;47;961,5;0;23,9;8,24
15/10/2017;17:00;75;"Buena / ";76;165;45;961,5;0;24,6;6,71
15/10/2017;16:00;75;"Buena / ";77;176;43;961,6;0;25;5,75
15/10/2017;15:00;73;"Buena / ";78;171;46;961,7;0;24,8;6,68
15/10/2017;14:00;73;"Buena / ";80;171;47;962;0;24,4;6,91
15/10/2017;13:00;75;"Buena / ";82;171;48;962,4;0;23,6;7,5
15/10/2017;12:00;77;"Buena / ";83;168;51;962,9;0;22,6;8,65
15/10/2017;11:00;80;"Buena / ";85;170;52;962,9;0;21,9;9,95
15/10/2017;10:00;82;"Buena / ";86;167;53;963;0;21,5;9,98
15/10/2017;09:00;82;"Buena / ";87;165;54;963,1;0;21,1;10,4
15/10/2017;08:00;84;"Buena / ";89;164;55;963;0;20,7;10,1
15/10/2017;07:00;86;"Buena / ";90;162;55;962,8;0;20,7;9,68
15/10/2017;06:00;88;"Buena / ";91;165;56;962,6;0;20,9;9,69
15/10/2017;05:00;88;"Buena / ";91;163;57;962,4;0;20,9;9,93
15/10/2017;04:00;89;"Buena / ";92;163;57;962,1;0;21,1;10,05
15/10/2017;03:00;;"Sin datos / ";91;161;57;962,3;0;21,1;10,59
15/10/2017;02:00;93;"Buena / ";91;161;58;962,5;0;21,2;10,53
15/10/2017;01:00;95;"Buena / ";91;162;57;962,7;0;21,5;10,28
