Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;0,21;"Muy buena / ";0,21;1;1;Muy buena / Oso ona;3;81;"Buena / ";76;10;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;26;89;920,6;0;3,2;7,3;0,2
29/10/2017;06:00;0,21;"Muy buena / ";0,21;1;0;Muy buena / Oso ona;2;79;"Buena / ";76;9;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;9;91;920,6;0;0,3;7;0,39
29/10/2017;05:00;0,21;"Muy buena / ";0,21;1;0;Muy buena / Oso ona;2;77;"Buena / ";76;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;349;91;920,4;0;0,3;6,6;0,14
29/10/2017;04:00;0,2;"Muy buena / ";0,22;1;1;Muy buena / Oso ona;3;73;"Buena / ";76;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;316;92;920,5;0;0,3;6,5;0,29
29/10/2017;03:00;0,19;"Muy buena / ";0,22;1;0;Muy buena / Oso ona;2;70;"Buena / ";77;4;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;299;94;920,7;0;0,3;6;0,16
29/10/2017;02:00;0,21;"Muy buena / ";0,23;1;1;Muy buena / Oso ona;3;67;"Buena / ";79;9;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;117;93;921,1;0;0,3;5,9;0,27
29/10/2017;01:00;0,22;"Muy buena / ";0,24;1;1;Muy buena / Oso ona;3;;"Sin datos / ";81;3;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;151;90;921,6;0;0,3;7,4;0,16
28/10/2017;24:00;0,22;"Muy buena / ";0,24;1;2;Muy buena / Oso ona;4;83;"Buena / ";81;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;61;91;922;0;0,3;7,6;0,53
28/10/2017;23:00;0,23;"Muy buena / ";0,24;1;2;Muy buena / Oso ona;4;80;"Buena / ";82;14;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;72;90;922,2;0;0,3;7,7;0,64
28/10/2017;22:00;0,24;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;82;"Buena / ";83;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;41;89;922,4;0;0,3;8,4;0,92
28/10/2017;21:00;0,26;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;77;"Buena / ";83;12;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;30;91;922,6;0;0,3;8,8;0,6
28/10/2017;20:00;0,23;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;80;"Buena / ";84;4;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;347;89;922,6;0;0,3;9,2;0,38
28/10/2017;19:00;0,24;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;82;"Buena / ";84;9;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;3;88;922,8;0;0,3;9,8;1,07
28/10/2017;18:00;0,25;"Muy buena / ";0,25;1;3;Muy buena / Oso ona;5;81;"Buena / ";84;12;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;334;88;922,6;0;1;10,7;1,74
28/10/2017;17:00;0,24;"Muy buena / ";0,25;1;3;Muy buena / Oso ona;5;86;"Buena / ";84;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;326;83;922,4;0;39,9;11,5;3,13
28/10/2017;16:00;0,25;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;89;"Buena / ";84;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;320;81;922,3;0;116,2;12,2;1,89
28/10/2017;15:00;0,26;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;84;"Buena / ";83;12;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;88;84;922,5;0;120,7;12;0,19
28/10/2017;14:00;0,26;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;84;"Buena / ";82;10;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;104;84;922,8;0;106,1;12,1;0,36
28/10/2017;13:00;0,26;"Muy buena / ";0,24;1;2;Muy buena / Oso ona;4;83;"Buena / ";82;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;323;86;923,3;0;150,1;11,8;1,59
28/10/2017;12:00;0,25;"Muy buena / ";0,24;1;1;Muy buena / Oso ona;3;82;"Buena / ";82;8;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;309;89;924;0;100,5;11,3;1,37
28/10/2017;11:00;0,25;"Muy buena / ";0,23;1;2;Muy buena / Oso ona;5;82;"Buena / ";82;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;285;89;924,2;0;86,1;11,3;0,82
28/10/2017;10:00;0,25;"Muy buena / ";0,23;1;2;Muy buena / Oso ona;4;82;"Buena / ";83;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;243;91;924,2;0;83,8;10,7;0,37
28/10/2017;09:00;0,25;"Muy buena / ";0,23;1;2;Muy buena / Oso ona;4;83;"Buena / ";83;15;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;289;91;924,3;0;38,6;10,5;0,8
28/10/2017;08:00;0,23;"Muy buena / ";0,22;1;1;Muy buena / Oso ona;3;80;"Buena / ";82;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;307;93;924,2;0;22,6;10,3;0,96
28/10/2017;07:00;0,23;"Muy buena / ";0,23;1;0;Muy buena / Oso ona;2;79;"Buena / ";82;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;321;93;924,1;0;0,6;10,3;1,26
28/10/2017;06:00;0,23;"Muy buena / ";0,23;1;0;Muy buena / Oso ona;2;82;"Buena / ";83;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;323;92;924,1;0;0,3;10,3;1,68
28/10/2017;05:00;0,22;"Muy buena / ";0,23;1;0;Muy buena / Oso ona;2;85;"Buena / ";82;9;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;328;91;924,2;0;0,3;10,3;3,11
28/10/2017;04:00;0,22;"Muy buena / ";0,23;1;0;Muy buena / Oso ona;2;86;"Buena / ";81;5;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;332;90;924,3;0;0,3;10,5;3,11
28/10/2017;03:00;0,21;"Muy buena / ";0,24;1;0;Muy buena / Oso ona;2;84;"Buena / ";80;4;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;336;89;924,5;0;0,3;10,5;3,08
28/10/2017;02:00;0,22;"Muy buena / ";0,25;1;0;Muy buena / Oso ona;2;;"Sin datos / ";79;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;346;90;924,7;0;0,3;10,4;6,1
28/10/2017;01:00;0,24;"Muy buena / ";0,27;1;0;Muy buena / Oso ona;2;81;"Buena / ";78;7;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;343;92;925,2;0;0,3;10,6;4,36
27/10/2017;24:00;0,24;"Muy buena / ";0,27;1;0;Muy buena / Oso ona;2;78;"Buena / ";78;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;347;91;925,5;0;0,3;11,2;4,02
27/10/2017;23:00;0,23;"Muy buena / ";0,27;1;0;Muy buena / Oso ona;2;82;"Buena / ";78;2;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;358;88;925,9;0;0,3;11,7;3,86
27/10/2017;22:00;0,24;"Muy buena / ";0,27;1;0;Muy buena / Oso ona;2;80;"Buena / ";77;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;4;86;926;0;0,3;11,8;2,87
27/10/2017;21:00;0,24;"Muy buena / ";0,28;1;0;Muy buena / Oso ona;2;77;"Buena / ";78;8;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;360;87;926,1;0;0,3;11,9;2,25
27/10/2017;20:00;0,31;"Muy buena / ";0,28;1;0;Muy buena / Oso ona;2;78;"Buena / ";79;6;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;8;87;926,2;0;0,3;11,9;2,73
27/10/2017;19:00;0,32;"Muy buena / ";0,27;1;0;Muy buena / Oso ona;2;75;"Buena / ";79;6;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;6;89;926,2;0;0,3;12;2,87
27/10/2017;18:00;0,32;"Muy buena / ";0,26;1;2;Muy buena / Oso ona;4;74;"Buena / ";80;12;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;2;88;926,1;0;1,2;12,6;2,39
27/10/2017;17:00;0,26;"Muy buena / ";0,26;1;2;Muy buena / Oso ona;4;77;"Buena / ";81;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;3;83;926,1;0;71,4;14;2,47
27/10/2017;16:00;0,24;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;78;"Buena / ";79;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;1;76;926,2;0;236,2;15,6;2,24
27/10/2017;15:00;0,26;"Muy buena / ";0,26;1;1;Muy buena / Oso ona;3;79;"Buena / ";75;12;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;12;70;926,1;0;452,3;16,9;1,77
27/10/2017;14:00;0,27;"Muy buena / ";0,25;1;1;Muy buena / Oso ona;3;84;"Buena / ";72;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;7;65;926,1;0;477,6;17,6;1,94
27/10/2017;13:00;0,28;"Muy buena / ";0,24;1;0;Muy buena / Oso ona;2;85;"Buena / ";69;4;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;358;62;926,4;0;230,6;18,1;2,74
27/10/2017;12:00;0,25;"Muy buena / ";0,24;1;1;Muy buena / Oso ona;3;83;"Buena / ";66;13;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;8;61;926,6;0;537,5;17,8;2,47
27/10/2017;11:00;0,26;"Muy buena / ";0,23;1;0;Muy buena / Oso ona;2;79;"Buena / ";64;12;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;5;61;926,6;0;393,8;17,2;1,89
27/10/2017;10:00;0,25;"Muy buena / ";0,23;1;0;Muy buena / Oso ona;2;80;"Buena / ";61;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;11;61;926,5;0;296,9;16,9;1,04
27/10/2017;09:00;0,24;"Muy buena / ";0,23;1;2;Muy buena / Oso ona;4;66;"Buena / ";59;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;128;70;926,2;0;247,9;14,6;0,11
27/10/2017;08:00;0,25;"Muy buena / ";0,23;2;8;Muy buena / Oso ona;11;46;"Muy buena / ";57;13;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;84;85;925,7;0;48,4;10;0,13
27/10/2017;07:00;0,22;"Muy buena / ";0,23;1;2;Muy buena / Oso ona;4;55;"Muy buena / ";59;9;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona;120;85;925,3;0;3,6;9,6;0,2
27/10/2017;06:00;0,21;"Muy buena / ";0,23;1;2;Muy buena / Oso ona;4;60;"Muy buena / ";59;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;94;81;925,2;0;0,3;9,2;0,44
27/10/2017;05:00;0,21;"Muy buena / ";0,24;1;2;Muy buena / Oso ona;4;60;"Muy buena / ";59;9;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;67;82;924,9;0;0,3;8,3;0,23
27/10/2017;04:00;0,22;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;62;"Buena / ";59;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;85;82;924,7;0;0,3;8,2;0,15
27/10/2017;03:00;0,23;"Muy buena / ";0,25;1;2;Muy buena / Oso ona;4;;"Sin datos / ";60;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;81;80;924,9;0;0,3;8,7;0,29
27/10/2017;02:00;0,24;"Muy buena / ";0,26;1;2;Muy buena / Oso ona;4;62;"Buena / ";61;15;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;57;80;925;0;0,3;8,9;0,54
