Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;1;5;Muy buena / Oso ona;7;2;"Muy buena / ";4;10;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;06:00;;;Sin datos / Daturik gabe;6;3;"Muy buena / ";4;10;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;05:00;;;Sin datos / Daturik gabe;4;4;"Muy buena / ";5;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;04:00;;;Sin datos / Daturik gabe;5;3;"Muy buena / ";6;11;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;03:00;;;Sin datos / Daturik gabe;4;5;"Muy buena / ";10;12;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;02:00;;;Sin datos / Daturik gabe;6;4;"Muy buena / ";14;14;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;01:00;;;Sin datos / Daturik gabe;6;5;"Muy buena / ";23;19;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;24:00;1;8;Muy buena / Oso ona;9;;"Sin datos / ";33;14;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;23:00;;;Sin datos / Daturik gabe;10;5;"Muy buena / ";37;12;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;22:00;;;Sin datos / Daturik gabe;10;6;"Muy buena / ";41;16;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;21:00;;;Sin datos / Daturik gabe;9;13;"Muy buena / ";48;18;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;20:00;;;Sin datos / Daturik gabe;8;24;"Muy buena / ";54;19;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;19:00;;;Sin datos / Daturik gabe;9;29;"Muy buena / ";58;22;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;18:00;;;Sin datos / Daturik gabe;3;61;"Buena / ";59;18;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona
28/10/2017;17:00;;;Sin datos / Daturik gabe;2;65;"Buena / ";54;18;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona
28/10/2017;16:00;;;Sin datos / Daturik gabe;2;64;"Buena / ";47;18;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona
28/10/2017;15:00;;;Sin datos / Daturik gabe;3;65;"Buena / ";40;12;Muy buena / Oso ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona
28/10/2017;14:00;;;Sin datos / Daturik gabe;2;64;"Buena / ";34;11;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona
28/10/2017;13:00;;;Sin datos / Daturik gabe;2;59;"Muy buena / ";29;11;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;12:00;;;Sin datos / Daturik gabe;2;58;"Muy buena / ";27;12;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;11:00;;;Sin datos / Daturik gabe;7;38;"Muy buena / ";25;20;Muy buena / Oso ona;20;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;10:00;4;13;Muy buena / Oso ona;19;15;"Muy buena / ";25;17;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;09:00;3;11;Muy buena / Oso ona;15;9;"Muy buena / ";27;13;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;08:00;2;10;Muy buena / Oso ona;14;9;"Muy buena / ";31;13;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;07:00;;;Sin datos / Daturik gabe;5;19;"Muy buena / ";35;15;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;06:00;;;Sin datos / Daturik gabe;5;27;"Muy buena / ";37;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;05:00;;;Sin datos / Daturik gabe;;41;"Muy buena / ";42;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;04:00;;;Sin datos / Daturik gabe;;45;"Muy buena / ";45;11;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;03:00;;;Sin datos / Daturik gabe;;34;"Muy buena / ";45;12;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;02:00;;;Sin datos / Daturik gabe;;35;"Muy buena / ";47;16;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;01:00;;;Sin datos / Daturik gabe;;41;"Muy buena / ";51;15;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;24:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";54;5;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;23:00;;;Sin datos / Daturik gabe;;68;"Buena / ";55;10;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;22:00;;;Sin datos / Daturik gabe;;58;"Muy buena / ";56;22;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;21:00;;;Sin datos / Daturik gabe;2;55;"Muy buena / ";57;21;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;20:00;;;Sin datos / Daturik gabe;4;46;"Muy buena / ";58;22;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;19:00;;;Sin datos / Daturik gabe;5;45;"Muy buena / ";56;22;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;18:00;;;Sin datos / Daturik gabe;4;59;"Muy buena / ";52;20;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;17:00;;;Sin datos / Daturik gabe;3;59;"Muy buena / ";45;24;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;16:00;;;Sin datos / Daturik gabe;;62;"Buena / ";38;29;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;15:00;;;Sin datos / Daturik gabe;;66;"Buena / ";30;33;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;14:00;;;Sin datos / Daturik gabe;2;66;"Buena / ";22;25;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;13:00;;;Sin datos / Daturik gabe;7;57;"Muy buena / ";14;21;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;12:00;8;11;Muy buena / Oso ona;23;32;"Muy buena / ";7;13;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;11:00;8;11;Muy buena / Oso ona;24;14;"Muy buena / ";3;20;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;10:00;21;14;Muy buena / Oso ona;46;4;"Muy buena / ";1;22;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;09:00;42;13;Muy buena / Oso ona;77;1;"Muy buena / ";1;15;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;08:00;62;9;Muy buena / Oso ona;104;1;"Muy buena / ";1;14;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;07:00;34;8;Muy buena / Oso ona;60;1;"Muy buena / ";1;15;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;06:00;9;8;Muy buena / Oso ona;21;1;"Muy buena / ";1;13;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;05:00;3;5;Muy buena / Oso ona;10;1;"Muy buena / ";2;15;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;04:00;;;Sin datos / Daturik gabe;6;0;"Muy buena / ";3;18;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;03:00;;;Sin datos / Daturik gabe;4;2;"Muy buena / ";5;15;Muy buena / Oso ona;15;Muy buena / Oso ona;0;Muy buena / Oso ona
27/10/2017;02:00;;;Sin datos / Daturik gabe;5;2;"Muy buena / ";7;17;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;01:00;;;Sin datos / Daturik gabe;6;2;"Muy buena / ";15;19;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;24:00;;;Sin datos / Daturik gabe;8;;"Sin datos / ";28;17;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;23:00;;;Sin datos / Daturik gabe;9;3;"Muy buena / ";37;17;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;22:00;;;Sin datos / Daturik gabe;11;5;"Muy buena / ";44;17;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;21:00;;;Sin datos / Daturik gabe;12;7;"Muy buena / ";55;23;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;20:00;;;Sin datos / Daturik gabe;15;9;"Muy buena / ";63;30;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;19:00;;;Sin datos / Daturik gabe;13;19;"Muy buena / ";69;39;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;18:00;;;Sin datos / Daturik gabe;9;49;"Muy buena / ";70;29;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona
26/10/2017;17:00;;;Sin datos / Daturik gabe;3;79;"Buena / ";64;25;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;16:00;;;Sin datos / Daturik gabe;2;90;"Buena / ";55;25;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;15:00;;;Sin datos / Daturik gabe;2;94;"Buena / ";44;33;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;14:00;;;Sin datos / Daturik gabe;2;90;"Buena / ";32;38;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona
26/10/2017;13:00;;;Sin datos / Daturik gabe;8;70;"Buena / ";21;21;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;12:00;;;Sin datos / Daturik gabe;10;60;"Muy buena / ";12;13;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;11:00;13;18;Muy buena / Oso ona;38;24;"Muy buena / ";5;18;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona
26/10/2017;10:00;50;24;Muy buena / Oso ona;101;6;"Muy buena / ";2;17;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona
26/10/2017;09:00;70;22;Muy buena / Oso ona;128;3;"Muy buena / ";1;14;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;08:00;60;14;Muy buena / Oso ona;105;1;"Muy buena / ";1;14;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;07:00;19;10;Muy buena / Oso ona;38;1;"Muy buena / ";1;12;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;06:00;7;8;Muy buena / Oso ona;19;1;"Muy buena / ";1;12;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;05:00;;;Sin datos / Daturik gabe;8;1;"Muy buena / ";1;13;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;04:00;;;Sin datos / Daturik gabe;6;1;"Muy buena / ";1;16;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;03:00;;;Sin datos / Daturik gabe;8;1;"Muy buena / ";1;18;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;02:00;1;7;Muy buena / Oso ona;9;1;"Muy buena / ";1;18;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;01:00;3;10;Muy buena / Oso ona;15;1;"Muy buena / ";2;20;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
