Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;16;18;Muy buena / Oso ona;43;0;"Muy buena / ";3;12;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona;142;100;1013,2;0;1,8;8,2;0,47
29/10/2017;06:00;10;16;Muy buena / Oso ona;32;1;"Muy buena / ";3;12;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona;156;100;1013,3;0;0;8,1;0,87
29/10/2017;05:00;6;13;Muy buena / Oso ona;22;4;"Muy buena / ";4;12;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;141;100;1013,2;0;0;8,1;0,25
29/10/2017;04:00;6;13;Muy buena / Oso ona;22;2;"Muy buena / ";3;11;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;170;100;1013,2;0;0;8,1;0,21
29/10/2017;03:00;8;15;Muy buena / Oso ona;27;3;"Muy buena / ";3;15;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona;271;99;1013,5;0;0;8,2;0,15
29/10/2017;02:00;9;16;Muy buena / Oso ona;29;4;"Muy buena / ";4;14;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona;176;99;1013,8;0;0;8,7;0,34
29/10/2017;01:00;7;18;Muy buena / Oso ona;29;5;"Muy buena / ";8;12;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona;162;99;1014,1;0;0;9,1;0,46
28/10/2017;24:00;10;23;Muy buena / Oso ona;39;5;"Muy buena / ";17;11;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona;148;99;1014,6;0;0;9,6;0,72
28/10/2017;23:00;24;31;Muy buena / Oso ona;67;2;"Muy buena / ";24;12;Muy buena / Oso ona;21;Muy buena / Oso ona;1;Muy buena / Oso ona;245;98;1014,9;0;0;9,8;0,24
28/10/2017;22:00;13;28;Muy buena / Oso ona;48;6;"Muy buena / ";32;12;Muy buena / Oso ona;23;Muy buena / Oso ona;1;Muy buena / Oso ona;152;96;1014,9;0;0;10,4;0,64
28/10/2017;21:00;28;42;Muy buena / Oso ona;84;2;"Muy buena / ";35;12;Muy buena / Oso ona;24;Muy buena / Oso ona;1;Muy buena / Oso ona;135;93;1014,9;0;0;11,2;0,5
28/10/2017;20:00;29;52;Muy buena / Oso ona;96;3;"Muy buena / ";40;11;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona;179;87;1014,9;0;0;12,4;0,2
28/10/2017;19:00;28;56;Muy buena / Oso ona;98;7;"Muy buena / ";45;8;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;275;78;1014,9;0;0;13,8;0,44
28/10/2017;18:00;11;45;Muy buena / Oso ona;62;26;"Muy buena / ";48;5;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;231;66;1014,5;0;0,3;15,2;0,45
28/10/2017;17:00;5;16;Muy buena / Oso ona;24;61;"Buena / ";49;6;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;60;58;1014,2;0;26,4;16,4;1,68
28/10/2017;16:00;4;11;Muy buena / Oso ona;18;63;"Buena / ";44;14;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;72;66;1014;0;80,2;17,1;2,07
28/10/2017;15:00;5;13;Muy buena / Oso ona;20;59;"Muy buena / ";40;13;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;127;67;1014;0;139,5;18;0,51
28/10/2017;14:00;6;13;Muy buena / Oso ona;22;55;"Muy buena / ";36;17;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;259;70;1014,2;0;225,7;17,9;0,55
28/10/2017;13:00;5;21;Muy buena / Oso ona;30;45;"Muy buena / ";33;17;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;326;74;1014,9;0;92,1;17,3;1,1
28/10/2017;12:00;8;23;Muy buena / Oso ona;35;40;"Muy buena / ";34;14;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;273;84;1015,7;0;110,1;17;1,04
28/10/2017;11:00;9;24;Muy buena / Oso ona;37;36;"Muy buena / ";35;24;Muy buena / Oso ona;21;Muy buena / Oso ona;2;Muy buena / Oso ona;289;92;1016,1;0;109,9;16,5;1,19
28/10/2017;10:00;10;30;Muy buena / Oso ona;45;29;"Muy buena / ";36;22;Muy buena / Oso ona;25;Muy buena / Oso ona;1;Muy buena / Oso ona;318;99;1016,1;0;115,2;15,8;1,28
28/10/2017;09:00;9;32;Muy buena / Oso ona;46;27;"Muy buena / ";38;18;Muy buena / Oso ona;25;Muy buena / Oso ona;1;Muy buena / Oso ona;309;99;1016,1;0;66,9;15,2;1,18
28/10/2017;08:00;8;32;Muy buena / Oso ona;43;25;"Muy buena / ";40;17;Muy buena / Oso ona;21;Muy buena / Oso ona;2;Muy buena / Oso ona;318;99;1015,9;0;25,2;14,9;1,23
28/10/2017;07:00;6;27;Muy buena / Oso ona;35;27;"Muy buena / ";42;16;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;325;99;1015,7;0;1,1;14,8;1,62
28/10/2017;06:00;6;20;Muy buena / Oso ona;29;35;"Muy buena / ";44;10;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;316;98;1015,7;0;0;14,9;1,24
28/10/2017;05:00;5;10;Muy buena / Oso ona;18;54;"Muy buena / ";46;8;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;286;99;1016;0;0;14,8;1,66
28/10/2017;04:00;5;9;Muy buena / Oso ona;17;47;"Muy buena / ";45;9;Muy buena / Oso ona;20;Muy buena / Oso ona;2;Muy buena / Oso ona;291;99;1016,1;0;0;15;1,22
28/10/2017;03:00;5;13;Muy buena / Oso ona;21;45;"Muy buena / ";45;10;Muy buena / Oso ona;22;Muy buena / Oso ona;2;Muy buena / Oso ona;271;99;1016,4;0;0;15;2,01
28/10/2017;02:00;5;16;Muy buena / Oso ona;24;40;"Muy buena / ";45;14;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona;312;96;1016,8;0,1;0;15,4;1,28
28/10/2017;01:00;5;15;Muy buena / Oso ona;23;44;"Muy buena / ";43;9;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;306;92;1017;0;0;15,7;1,69
27/10/2017;24:00;5;13;Muy buena / Oso ona;21;52;"Muy buena / ";43;11;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;287;89;1017,4;0;0;16;1,77
27/10/2017;23:00;7;28;Muy buena / Oso ona;39;41;"Muy buena / ";43;15;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;270;92;1017,6;0;0;15,9;1,81
27/10/2017;22:00;6;17;Muy buena / Oso ona;25;53;"Muy buena / ";44;12;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;299;89;1017,6;0;0;16,3;1,82
27/10/2017;21:00;6;23;Muy buena / Oso ona;33;48;"Muy buena / ";42;12;Muy buena / Oso ona;17;Muy buena / Oso ona;2;Muy buena / Oso ona;288;88;1017,4;0;0;16,5;1,79
27/10/2017;20:00;6;19;Muy buena / Oso ona;28;47;"Muy buena / ";40;20;Muy buena / Oso ona;23;Muy buena / Oso ona;2;Muy buena / Oso ona;304;93;1017,3;0;0;16,8;1,97
27/10/2017;19:00;7;26;Muy buena / Oso ona;37;42;"Muy buena / ";36;18;Muy buena / Oso ona;22;Muy buena / Oso ona;2;Muy buena / Oso ona;286;91;1017,1;0;0;17,1;2,17
27/10/2017;18:00;9;37;Muy buena / Oso ona;51;29;"Muy buena / ";35;18;Muy buena / Oso ona;22;Muy buena / Oso ona;2;Muy buena / Oso ona;293;91;1017;0;0,1;17,2;1,11
27/10/2017;17:00;8;31;Muy buena / Oso ona;44;38;"Muy buena / ";32;19;Muy buena / Oso ona;20;Muy buena / Oso ona;2;Muy buena / Oso ona;299;88;1017;0;9,3;17,6;1,74
27/10/2017;16:00;6;22;Muy buena / Oso ona;31;47;"Muy buena / ";26;20;Muy buena / Oso ona;21;Muy buena / Oso ona;2;Muy buena / Oso ona;316;82;1017;0;51,9;18,2;2,23
27/10/2017;15:00;6;22;Muy buena / Oso ona;31;49;"Muy buena / ";20;22;Muy buena / Oso ona;28;Buena / Ona;3;Muy buena / Oso ona;323;78;1016,9;0;82,6;18,6;2,71
27/10/2017;14:00;11;36;Muy buena / Oso ona;52;37;"Muy buena / ";13;31;Muy buena / Oso ona;43;Mejorable / Hobetzeko modukoa;4;Muy buena / Oso ona;313;73;1017;0;139,7;19,1;2,14
27/10/2017;13:00;13;46;Muy buena / Oso ona;66;29;"Muy buena / ";7;70;Mejorable / Hobetzeko modukoa;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;317;72;1017,3;0;172,6;19;2,28
27/10/2017;12:00;31;75;Muy buena / Oso ona;121;22;"Muy buena / ";4;64;Mejorable / Hobetzeko modukoa;41;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;309;71;1017,4;0;263,5;18,7;1,33
27/10/2017;11:00;35;54;Muy buena / Oso ona;107;13;"Muy buena / ";2;56;Buena / Ona;40;Buena / Ona;5;Muy buena / Oso ona;338;74;1017,8;0;321,5;17,2;0,58
27/10/2017;10:00;100;52;Muy buena / Oso ona;206;2;"Muy buena / ";3;59;Buena / Ona;45;Mejorable / Hobetzeko modukoa;4;Muy buena / Oso ona;135;94;1017,8;0;165,6;13,9;0,38
27/10/2017;09:00;98;50;Muy buena / Oso ona;200;1;"Muy buena / ";4;64;Mejorable / Hobetzeko modukoa;44;Mejorable / Hobetzeko modukoa;2;Muy buena / Oso ona;133;99;1017,8;0;78,7;12,1;0,46
27/10/2017;08:00;125;46;Muy buena / Oso ona;237;1;"Muy buena / ";4;53;Buena / Ona;38;Buena / Ona;2;Muy buena / Oso ona;132;99;1017,5;0;58,4;10,5;0,91
27/10/2017;07:00;146;49;Muy buena / Oso ona;273;0;"Muy buena / ";5;42;Buena / Ona;29;Buena / Ona;2;Muy buena / Oso ona;152;99;1017,1;0;2,7;10;0,24
27/10/2017;06:00;84;36;Muy buena / Oso ona;165;0;"Muy buena / ";6;22;Muy buena / Oso ona;22;Muy buena / Oso ona;2;Muy buena / Oso ona;149;99;1016,7;0;0;10,2;0,38
27/10/2017;05:00;28;29;Muy buena / Oso ona;72;3;"Muy buena / ";8;18;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona;170;99;1016,2;0;0;10,3;0,37
27/10/2017;04:00;14;19;Muy buena / Oso ona;40;5;"Muy buena / ";8;17;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;132;99;1015,7;0;0;10,5;1
27/10/2017;03:00;6;13;Muy buena / Oso ona;23;11;"Muy buena / ";9;19;Muy buena / Oso ona;20;Muy buena / Oso ona;1;Muy buena / Oso ona;127;99;1015,8;0;0;10,8;0,93
27/10/2017;02:00;6;17;Muy buena / Oso ona;26;10;"Muy buena / ";8;22;Muy buena / Oso ona;22;Muy buena / Oso ona;1;Muy buena / Oso ona;122;98;1016,1;0;0;11,1;0,66
27/10/2017;01:00;8;26;Muy buena / Oso ona;38;5;"Muy buena / ";8;27;Muy buena / Oso ona;24;Muy buena / Oso ona;2;Muy buena / Oso ona;133;97;1016,1;0;0;11,6;0,91
26/10/2017;24:00;13;28;Muy buena / Oso ona;49;5;"Muy buena / ";14;25;Muy buena / Oso ona;25;Muy buena / Oso ona;2;Muy buena / Oso ona;26;96;1016;0;0;12;0,14
26/10/2017;23:00;14;32;Muy buena / Oso ona;52;9;"Muy buena / ";22;20;Muy buena / Oso ona;25;Muy buena / Oso ona;2;Muy buena / Oso ona;272;94;1015,7;0;0;12,4;0,29
26/10/2017;22:00;10;30;Muy buena / Oso ona;45;12;"Muy buena / ";30;19;Muy buena / Oso ona;26;Buena / Ona;2;Muy buena / Oso ona;128;92;1015,3;0;0;13,1;0,85
26/10/2017;21:00;25;49;Muy buena / Oso ona;86;7;"Muy buena / ";37;20;Muy buena / Oso ona;27;Buena / Ona;2;Muy buena / Oso ona;106;87;1014,7;0;0;13,9;0,13
26/10/2017;20:00;19;51;Muy buena / Oso ona;79;9;"Muy buena / ";42;24;Muy buena / Oso ona;26;Buena / Ona;3;Muy buena / Oso ona;138;82;1014,4;0;0;15,1;1,26
26/10/2017;19:00;36;72;Muy buena / Oso ona;126;4;"Muy buena / ";43;23;Muy buena / Oso ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona;109;76;1014;0;0;16,6;0,55
26/10/2017;18:00;50;76;Muy buena / Oso ona;152;8;"Muy buena / ";46;22;Muy buena / Oso ona;25;Muy buena / Oso ona;7;Muy buena / Oso ona;286;66;1013,3;0;0,6;18,4;0,79
