Date;Hour;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;36;98;1013,4;15,6;8,4;0,75
29/10/2017;06:00;34;98;1013,6;14,9;8,5;0,8
29/10/2017;05:00;50;98;1013,6;15,2;8,4;0,79
29/10/2017;04:00;31;98;1013,5;8,5;7,9;0,84
29/10/2017;03:00;42;97;1013,7;6,1;8,2;0,46
29/10/2017;02:00;42;97;1014,1;2,8;8,6;0,88
29/10/2017;01:00;39;97;1014,4;2,9;8,8;0,43
28/10/2017;24:00;34;97;1014,8;2,6;9,1;0,62
28/10/2017;23:00;358;95;1015,1;3,3;9,3;0,22
28/10/2017;22:00;52;95;1015,2;3,1;10;0,7
28/10/2017;21:00;40;92;1015,2;0,2;10,9;0,41
28/10/2017;20:00;203;89;1015,2;0;11,6;0,29
28/10/2017;19:00;35;81;1015,3;0;13,4;1,74
28/10/2017;18:00;54;75;1015,2;0;14,7;1,73
28/10/2017;17:00;45;73;1014,9;13,6;15,6;1,58
28/10/2017;16:00;28;78;1014,8;91,4;16,6;2,36
28/10/2017;15:00;29;76;1014,8;174,6;17,6;2,29
28/10/2017;14:00;50;74;1015,1;250,2;18;2,55
28/10/2017;13:00;27;76;1015,6;199,6;17,6;1,77
28/10/2017;12:00;33;78;1016,5;175,3;17,3;2,23
28/10/2017;11:00;67;86;1016,8;122,7;17;1
28/10/2017;10:00;276;92;1016,8;83;16,1;0,08
28/10/2017;09:00;195;94;1016,8;47,7;15,3;0,32
28/10/2017;08:00;273;97;1016,5;26;14,5;0,39
28/10/2017;07:00;274;96;1016,5;1,7;14,3;0,58
28/10/2017;06:00;261;95;1016,5;0;14,4;1,1
28/10/2017;05:00;263;93;1016,8;0;14,6;0,96
28/10/2017;04:00;315;89;1016,9;0;14,9;0,7
28/10/2017;03:00;347;90;1017,1;0;15,1;1,03
28/10/2017;02:00;295;91;1017,4;0;14,9;0,47
28/10/2017;01:00;275;91;1017,8;0;14,9;0,5
27/10/2017;24:00;293;91;1018,1;0;15,1;0,39
27/10/2017;23:00;266;91;1018,4;0;15,3;0,61
27/10/2017;22:00;276;91;1018,4;0;15,5;0,64
27/10/2017;21:00;271;91;1018,2;0;15,7;0,76
27/10/2017;20:00;283;94;1018,1;0;16;0,62
27/10/2017;19:00;259;92;1018,1;0;16,3;1,13
27/10/2017;18:00;262;89;1018;0;16,6;0,97
27/10/2017;17:00;276;87;1017,9;4,6;17,2;1,02
27/10/2017;16:00;274;84;1017,9;35,8;17,9;1,28
27/10/2017;15:00;290;83;1017,9;77,5;18,5;1,37
27/10/2017;14:00;276;80;1017,9;159,7;19,2;1,39
27/10/2017;13:00;256;78;1018,1;176,3;19,3;1,77
27/10/2017;12:00;241;76;1018,4;269,2;19,3;1,07
27/10/2017;11:00;92;80;1018,5;292,9;17,2;0,5
27/10/2017;10:00;87;91;1018,5;144,2;13,6;0,5
27/10/2017;09:00;66;95;1018,3;71,5;11,7;1,01
27/10/2017;08:00;61;97;1017,9;20,9;10,4;0,53
27/10/2017;07:00;47;98;1017,3;4,1;9,9;0,47
27/10/2017;06:00;81;97;1016,9;2,3;10;0,28
27/10/2017;05:00;251;97;1016,5;2,8;10,2;0,54
27/10/2017;04:00;63;97;1016,1;2,8;10,8;0,87
27/10/2017;03:00;64;96;1016,2;3,8;11,1;1,01
27/10/2017;02:00;61;97;1016,3;3,6;11,4;1,84
27/10/2017;01:00;60;97;1016,5;2,6;11,3;0,88
26/10/2017;24:00;43;96;1016,4;1,7;11,5;0,35
26/10/2017;23:00;241;94;1016,2;1;12,2;0,5
26/10/2017;22:00;343;92;1015,7;0;13;0,32
26/10/2017;21:00;48;90;1015,2;0;13,8;1,25
26/10/2017;20:00;43;90;1014,8;0;14,2;1,52
26/10/2017;19:00;309;82;1014,6;0;16,3;0,58
26/10/2017;18:00;262;76;1014;0;18;1,33
26/10/2017;17:00;260;66;1013,5;47,6;20,9;1,46
26/10/2017;16:00;257;59;1013,1;200,1;22,8;2,62
26/10/2017;15:00;263;57;1012,8;341,6;23,6;2,27
26/10/2017;14:00;254;56;1012,5;448,9;23,8;2,71
26/10/2017;13:00;261;59;1012,4;498,7;23,3;3,01
26/10/2017;12:00;289;61;1012,2;491,9;23,5;1,58
26/10/2017;11:00;260;63;1011,9;450,9;22,7;2,12
26/10/2017;10:00;241;51;1011,4;373,1;22,5;2,2
26/10/2017;09:00;216;51;1010,9;233,7;20,9;1,6
26/10/2017;08:00;209;57;1010,1;79,9;18,2;0,52
26/10/2017;07:00;18;56;1009,3;0,1;17,7;0,51
26/10/2017;06:00;26;57;1008,8;0;17,6;0,76
26/10/2017;05:00;8;53;1008,1;0;18,4;0,56
26/10/2017;04:00;21;61;1007,6;0;16,9;0,74
26/10/2017;03:00;18;67;1007,7;0;15,7;0,4
26/10/2017;02:00;92;73;1007,7;0;14,8;0,09
26/10/2017;01:00;269;72;1007,7;0;15,1;0,36
25/10/2017;24:00;291;85;1007,7;0;14,1;0,26
25/10/2017;23:00;286;93;1007,9;0,7;13,8;0,37
25/10/2017;22:00;2;93;1008;0,6;14,1;0,53
25/10/2017;21:00;286;93;1007,7;0,1;14,4;0,25
25/10/2017;20:00;340;90;1007,3;0;15,5;0,6
25/10/2017;19:00;351;83;1007,3;0;16,6;0,32
25/10/2017;18:00;289;76;1007,2;0;18,2;1,46
25/10/2017;17:00;285;67;1007,1;46,8;21,5;1,24
25/10/2017;16:00;271;58;1006,8;218,3;24,4;1,79
25/10/2017;15:00;36;37;1006,3;373,1;29;0,85
25/10/2017;14:00;72;37;1006,6;480,1;27,8;2,07
25/10/2017;13:00;74;39;1007,5;521;26;2,12
25/10/2017;12:00;70;45;1008,4;536,8;23,7;2,2
25/10/2017;11:00;72;54;1008,8;454,2;20,7;1,64
25/10/2017;10:00;70;70;1008,9;382,8;16,5;1,91
25/10/2017;09:00;80;80;1008,8;232,7;14,4;0,77
25/10/2017;08:00;306;92;1008,2;94,2;10,7;0,23
25/10/2017;07:00;37;96;1007,6;5,1;9,1;0,23
25/10/2017;06:00;41;96;1007,6;1,1;8,9;0,83
25/10/2017;05:00;349;96;1007,4;1,4;9,3;0,46
25/10/2017;04:00;330;95;1007,3;1,3;9,4;0,24
25/10/2017;03:00;26;95;1007,4;0,7;9,9;0,59
25/10/2017;02:00;53;94;1007,4;0,1;10,1;1,11
25/10/2017;01:00;41;90;1007,5;0;11,2;1,61
24/10/2017;24:00;53;90;1007,7;0;11,8;1,67
24/10/2017;23:00;58;89;1008,1;0;12,3;2,2
24/10/2017;22:00;47;88;1008,3;0;13;2,11
24/10/2017;21:00;37;85;1008,2;0;13,6;1,5
24/10/2017;20:00;63;76;1007,9;0;15,2;0,61
24/10/2017;19:00;281;65;1007,9;0;17,3;1,49
24/10/2017;18:00;261;65;1007,6;0;18,5;1,97
24/10/2017;17:00;278;54;1007,2;63,9;22,8;2,18
24/10/2017;16:00;49;43;1006,8;217,1;26,4;3,17
24/10/2017;15:00;61;40;1006,7;319,5;27;2,96
24/10/2017;14:00;61;38;1006,9;439,4;27,2;2,26
24/10/2017;13:00;55;38;1007,5;552,8;25,3;1,83
24/10/2017;12:00;57;43;1008,3;478;22,7;1,24
24/10/2017;11:00;67;51;1009,1;424,9;19;1,92
24/10/2017;10:00;67;64;1009,6;366,8;14,7;2,48
24/10/2017;09:00;64;75;1009,9;179;11,2;2,52
24/10/2017;08:00;64;84;1009,9;75,9;8,6;2,39
24/10/2017;07:00;48;88;1009,8;2;7,4;2,42
24/10/2017;06:00;51;90;1010,1;0;7,3;2,49
24/10/2017;05:00;63;91;1010,4;0;7,7;2,66
24/10/2017;04:00;57;92;1010,6;0;7,7;2,85
24/10/2017;03:00;52;93;1011;0;8,1;2,46
24/10/2017;02:00;46;93;1011,3;0;8,3;1,96
24/10/2017;01:00;56;93;1011,8;0;8,9;2,45
23/10/2017;24:00;54;93;1012,3;0;9,5;2,2
23/10/2017;23:00;56;93;1012,6;0;10,1;2,32
23/10/2017;22:00;37;93;1012,3;0;10,5;1,07
23/10/2017;21:00;23;92;1012,1;0;11,3;0,83
23/10/2017;20:00;18;87;1012;0;12,9;1,02
23/10/2017;19:00;26;87;1012;0;13,5;0,82
23/10/2017;18:00;287;77;1011,9;0;15,7;0,44
23/10/2017;17:00;33;66;1011,9;65,7;19;0,96
23/10/2017;16:00;323;55;1011,9;190,3;21,2;1,07
23/10/2017;15:00;323;43;1011,9;364,2;22;1,39
23/10/2017;14:00;320;44;1011,9;471;22,6;1,33
23/10/2017;13:00;34;50;1012,1;528,7;21,8;0,37
23/10/2017;12:00;75;61;1012,3;520,9;18,7;1,59
23/10/2017;11:00;77;71;1012,6;495,7;16,5;2,01
23/10/2017;10:00;68;79;1013,3;395,5;14,3;1,76
23/10/2017;09:00;59;88;1013,3;168,6;12,6;1,48
23/10/2017;08:00;17;98;1012,9;98,7;9,6;1,14
23/10/2017;07:00;48;99;1012,6;9;8,5;1,79
23/10/2017;06:00;61;99;1013;6,9;8,7;2,8
23/10/2017;05:00;54;98;1013,2;8,3;9;1,13
23/10/2017;04:00;67;98;1012,9;8,8;9,4;1,95
23/10/2017;03:00;71;98;1013;8,3;9,5;2,13
23/10/2017;02:00;70;98;1013,5;6;9,6;2,64
23/10/2017;01:00;42;98;1014;3,1;10,1;1,62
22/10/2017;24:00;18;97;1014,4;2,1;10,2;1,14
22/10/2017;23:00;292;96;1014,7;2,6;10,6;0,15
22/10/2017;22:00;27;95;1014,7;0,4;11,7;1,44
22/10/2017;21:00;26;94;1014,9;0;12,3;1,02
22/10/2017;20:00;350;94;1014,9;0;12,4;0,6
22/10/2017;19:00;42;94;1014,9;0;12,5;1,19
22/10/2017;18:00;62;91;1014,7;0;13;0,76
22/10/2017;17:00;293;84;1014,4;1;13,7;0,58
22/10/2017;16:00;254;80;1014,4;91,4;14,6;0,37
22/10/2017;15:00;322;82;1014,6;138,2;14,1;0,84
22/10/2017;14:00;274;85;1014,6;169,6;13,6;1,58
22/10/2017;13:00;262;78;1014,7;205,8;14,9;1,9
22/10/2017;12:00;227;82;1015,3;276,2;14,4;2,11
22/10/2017;11:00;231;88;1015,6;293;13,4;2,38
22/10/2017;10:00;240;91;1015,6;118,6;12,5;1,58
22/10/2017;09:00;204;94;1015,3;104,1;11,7;1,99
22/10/2017;08:00;318;94;1014,9;20,9;11,4;0,59
22/10/2017;07:00;173;95;1014,4;12,6;11,2;0,62
22/10/2017;06:00;30;94;1014,1;10,4;11,2;0,77
22/10/2017;05:00;40;93;1013,7;11,7;11,3;0,53
22/10/2017;04:00;256;90;1013,7;5,8;11,5;0,73
22/10/2017;03:00;280;84;1013,4;1,7;12,4;1,42
22/10/2017;02:00;264;80;1013,6;0;12,9;1,23
22/10/2017;01:00;260;78;1013,7;0;13,1;0,38
21/10/2017;24:00;239;77;1013,9;0;13,8;1,54
21/10/2017;23:00;244;75;1013,7;0;14,1;1,31
21/10/2017;22:00;211;73;1013,4;0;14,4;0,69
21/10/2017;21:00;223;74;1013,1;0;14,5;1,01
21/10/2017;20:00;243;72;1013,1;0;14,7;1
21/10/2017;19:00;233;70;1012,8;0;15,1;0,8
21/10/2017;18:00;235;73;1012,2;0;15,3;0,99
21/10/2017;17:00;263;70;1011,9;0,1;15,7;1,55
21/10/2017;16:00;262;68;1011,4;73;16,5;2,35
21/10/2017;15:00;262;70;1011,1;120,7;16,5;2,39
21/10/2017;14:00;265;65;1010,6;219,6;17,1;2,91
21/10/2017;13:00;260;66;1010,2;198,3;17,5;2,36
21/10/2017;12:00;79;76;1010,4;273,6;16,9;1,1
21/10/2017;11:00;98;84;1010,5;245,6;15,9;1,46
21/10/2017;10:00;109;87;1010,1;170,8;15,1;0,85
21/10/2017;09:00;183;90;1009,6;34,2;14;0,27
21/10/2017;08:00;238;93;1009,1;25,1;13,8;1,45
21/10/2017;07:00;254;95;1008,3;11,5;14,2;2,63
21/10/2017;06:00;262;92;1007,4;3,7;14,7;1,66
21/10/2017;05:00;260;85;1006,6;1,3;16,3;2,65
21/10/2017;04:00;257;87;1005,7;0;16,7;2,28
21/10/2017;03:00;269;88;1004,9;0;17,3;2,97
21/10/2017;02:00;249;69;1003,5;0;21,2;4,02
21/10/2017;01:00;217;63;1002,2;0;21,6;1,77
20/10/2017;24:00;190;61;1001,8;0;21,9;3,14
20/10/2017;23:00;166;60;1001,6;0;21,4;1,85
20/10/2017;22:00;131;60;1001,6;0;20,2;0,88
20/10/2017;21:00;79;60;1001,5;0;19,7;1,51
20/10/2017;20:00;55;69;1001,6;0;18,3;1,69
20/10/2017;19:00;61;73;1001,7;0;18,6;1,41
20/10/2017;18:00;72;66;1001,5;0;20,8;1,61
20/10/2017;17:00;180;43;1001,4;83,7;25,4;1,8
20/10/2017;16:00;197;40;1001,5;250,8;26;2,47
20/10/2017;15:00;212;42;1001,6;403,7;26;1,75
20/10/2017;14:00;224;44;1001,8;452,6;25,4;2,17
20/10/2017;13:00;224;48;1002,1;542,6;24,7;2,13
20/10/2017;12:00;236;54;1002,6;570,3;23,7;2,31
20/10/2017;11:00;99;62;1002,9;516,1;21,6;1,09
20/10/2017;10:00;67;74;1003;305,2;17,6;0,95
20/10/2017;09:00;58;82;1003;99,2;14,8;1,42
20/10/2017;08:00;49;87;1002,8;23,6;13,3;1,59
20/10/2017;07:00;326;84;1002,2;0;13,5;0,25
20/10/2017;06:00;31;83;1001,6;0;13,7;0,9
