Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00
29/10/2017;06:00;0,14;"Muy buena / ";0,15;5;25;Muy buena / Oso ona;32;15;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;05:00;0,14;"Muy buena / ";0,16;1;24;Muy buena / Oso ona;25;12;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;04:00;0,14;"Muy buena / ";0,17;1;25;Muy buena / Oso ona;27;14;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;03:00;0,14;"Muy buena / ";0,19;2;19;Muy buena / Oso ona;22;16;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;02:00;0,14;"Muy buena / ";0,19;2;20;Muy buena / Oso ona;23;18;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
29/10/2017;01:00;0,16;"Muy buena / ";0,2;3;27;Muy buena / Oso ona;32;20;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;24:00;0,17;"Muy buena / ";0,21;2;31;Muy buena / Oso ona;33;15;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;23:00;0,21;"Muy buena / ";0,21;4;30;Muy buena / Oso ona;36;23;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;22:00;0,21;"Muy buena / ";0,21;6;42;Muy buena / Oso ona;50;22;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;21:00;0,19;"Muy buena / ";0,21;5;38;Muy buena / Oso ona;45;26;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;20:00;0,24;"Muy buena / ";0,2;7;26;Muy buena / Oso ona;37;29;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;19:00;0,18;"Muy buena / ";0,19;6;26;Muy buena / Oso ona;35;23;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;18:00;0,21;"Muy buena / ";0,19;9;31;Muy buena / Oso ona;44;27;Muy buena / Oso ona;20;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;17:00;0,22;"Muy buena / ";0,19;9;27;Muy buena / Oso ona;41;19;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;16:00;;"Sin datos / ";0,18;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
28/10/2017;15:00;0,17;"Muy buena / ";0,18;5;13;Muy buena / Oso ona;21;18;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;14:00;;"Sin datos / ";0,18;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
28/10/2017;13:00;0,18;"Muy buena / ";0,18;8;17;Muy buena / Oso ona;29;8;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;12:00;0,2;"Muy buena / ";0,18;7;18;Muy buena / Oso ona;30;18;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;11:00;0,18;"Muy buena / ";0,17;10;22;Muy buena / Oso ona;37;14;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;10:00;0,17;"Muy buena / ";0,17;10;24;Muy buena / Oso ona;39;17;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;09:00;0,17;"Muy buena / ";0,17;8;23;Muy buena / Oso ona;35;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;08:00;0,2;"Muy buena / ";0,16;10;25;Muy buena / Oso ona;40;11;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;07:00;0,17;"Muy buena / ";0,15;5;17;Muy buena / Oso ona;24;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;06:00;0,17;"Muy buena / ";0,15;5;16;Muy buena / Oso ona;24;9;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;05:00;0,17;"Muy buena / ";0,15;5;14;Muy buena / Oso ona;21;5;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;04:00;0,16;"Muy buena / ";0,16;4;12;Muy buena / Oso ona;19;10;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;03:00;0,15;"Muy buena / ";0,17;2;7;Muy buena / Oso ona;10;8;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;02:00;0,15;"Muy buena / ";0,19;1;8;Muy buena / Oso ona;10;11;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;01:00;0,14;"Muy buena / ";0,2;2;7;Muy buena / Oso ona;11;12;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;24:00;0,15;"Muy buena / ";0,21;3;8;Muy buena / Oso ona;12;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;23:00;0,15;"Muy buena / ";0,22;4;9;Muy buena / Oso ona;15;14;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;22:00;0,17;"Muy buena / ";0,22;5;10;Muy buena / Oso ona;17;11;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;21:00;0,21;"Muy buena / ";0,21;7;23;Muy buena / Oso ona;33;20;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;20:00;0,26;"Muy buena / ";0,21;10;25;Muy buena / Oso ona;40;19;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;19:00;0,24;"Muy buena / ";0,2;10;29;Muy buena / Oso ona;45;17;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;18:00;0,23;"Muy buena / ";0,2;12;31;Muy buena / Oso ona;49;14;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;17:00;0,23;"Muy buena / ";0,21;10;27;Muy buena / Oso ona;42;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;16:00;;"Sin datos / ";0,25;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
27/10/2017;15:00;0,15;"Muy buena / ";0,26;9;20;Muy buena / Oso ona;33;15;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;14:00;0,15;"Muy buena / ";0,31;10;18;Muy buena / Oso ona;33;15;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;13:00;0,18;"Muy buena / ";0,34;11;20;Muy buena / Oso ona;37;16;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;12:00;;"Sin datos / ";0,39;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
27/10/2017;11:00;0,22;"Muy buena / ";0,37;18;37;Muy buena / Oso ona;64;36;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;10:00;0,37;"Muy buena / ";0,37;63;48;Muy buena / Oso ona;144;48;Buena / Ona;23;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;09:00;0,52;"Muy buena / ";0,35;119;49;Muy buena / Oso ona;231;55;Buena / Ona;27;Buena / Ona;3;Muy buena / Oso ona
27/10/2017;08:00;0,4;"Muy buena / ";0,31;96;43;Muy buena / Oso ona;189;48;Buena / Ona;32;Buena / Ona;2;Muy buena / Oso ona
27/10/2017;07:00;0,48;"Muy buena / ";0,31;93;45;Muy buena / Oso ona;187;54;Buena / Ona;24;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;06:00;0,43;"Muy buena / ";0,29;60;38;Muy buena / Oso ona;130;32;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona
27/10/2017;05:00;0,36;"Muy buena / ";0,27;18;32;Muy buena / Oso ona;59;21;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;04:00;0,25;"Muy buena / ";0,28;10;27;Muy buena / Oso ona;42;20;Muy buena / Oso ona;21;Muy buena / Oso ona;1;Muy buena / Oso ona
27/10/2017;03:00;0,23;"Muy buena / ";0,3;4;21;Muy buena / Oso ona;26;23;Muy buena / Oso ona;41;Mejorable / Hobetzeko modukoa;1;Muy buena / Oso ona
27/10/2017;02:00;0,2;"Muy buena / ";0,31;2;24;Muy buena / Oso ona;27;58;Buena / Ona;30;Buena / Ona;1;Muy buena / Oso ona
27/10/2017;01:00;0,24;"Muy buena / ";0,32;3;31;Muy buena / Oso ona;35;39;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;24:00;0,27;"Muy buena / ";0,32;2;31;Muy buena / Oso ona;34;38;Muy buena / Oso ona;22;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;23:00;0,32;"Muy buena / ";0,3;6;48;Muy buena / Oso ona;56;39;Muy buena / Oso ona;20;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;22:00;0,34;"Muy buena / ";0,3;6;56;Muy buena / Oso ona;66;32;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;21:00;0,4;"Muy buena / ";0,3;37;81;Muy buena / Oso ona;137;30;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;20:00;0,44;"Muy buena / ";;26;86;Muy buena / Oso ona;126;15;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;19:00;0,26;"Muy buena / ";;3;45;Muy buena / Oso ona;49;24;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;18:00;0,26;"Muy buena / ";;12;45;Muy buena / Oso ona;63;24;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;17:00;0,23;"Muy buena / ";;12;42;Muy buena / Oso ona;59;31;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;16:00;0,2;"Muy buena / ";;13;41;Muy buena / Oso ona;60;34;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;15:00;;"Sin datos / ";;8;24;Muy buena / Oso ona;35;37;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;14:00;;"Sin datos / ";;11;21;Muy buena / Oso ona;38;43;Buena / Ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;13:00;;"Sin datos / ";0,49;10;24;Muy buena / Oso ona;39;27;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;12:00;0,13;"Muy buena / ";0,49;20;47;Muy buena / Oso ona;77;34;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;11:00;0,14;"Muy buena / ";0,46;24;48;Muy buena / Oso ona;85;40;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;10:00;0,3;"Muy buena / ";0,48;43;56;Muy buena / Oso ona;121;38;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;09:00;0,41;"Muy buena / ";0,49;63;55;Muy buena / Oso ona;151;43;Buena / Ona;24;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;08:00;0,63;"Muy buena / ";0,48;175;69;Muy buena / Oso ona;338;61;Mejorable / Hobetzeko modukoa;30;Buena / Ona;4;Muy buena / Oso ona
26/10/2017;07:00;0,88;"Muy buena / ";0,46;196;66;Muy buena / Oso ona;366;53;Buena / Ona;26;Buena / Ona;5;Muy buena / Oso ona
26/10/2017;06:00;0,57;"Muy buena / ";0,45;110;50;Muy buena / Oso ona;218;42;Buena / Ona;21;Muy buena / Oso ona;3;Muy buena / Oso ona
26/10/2017;05:00;0,48;"Muy buena / ";0,48;45;41;Muy buena / Oso ona;110;28;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;04:00;0,24;"Muy buena / ";0,49;15;33;Muy buena / Oso ona;56;21;Muy buena / Oso ona;18;Muy buena / Oso ona;1;Muy buena / Oso ona
26/10/2017;03:00;0,29;"Muy buena / ";;15;38;Muy buena / Oso ona;61;33;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona
