Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;7;11;Muy buena / Oso ona;21;22;"Muy buena / ";27;6;Muy buena / Oso ona;1;2;Muy buena / Oso ona;186;94;1024,8;0;2,4;10;1,09
29/10/2017;06:00;7;10;Muy buena / Oso ona;20;23;"Muy buena / ";28;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;186;94;1024,9;0;0;10;1,07
29/10/2017;05:00;7;9;Muy buena / Oso ona;19;23;"Muy buena / ";30;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;175;94;1024,9;0;0;10;0,67
29/10/2017;04:00;6;7;Muy buena / Oso ona;17;24;"Muy buena / ";33;5;Muy buena / Oso ona;1;2;Muy buena / Oso ona;186;94;1024,9;0;0;10;0,73
29/10/2017;03:00;6;6;Muy buena / Oso ona;15;28;"Muy buena / ";36;5;Muy buena / Oso ona;1;2;Muy buena / Oso ona;183;93;1025,1;0;0;10;0,8
29/10/2017;02:00;6;5;Muy buena / Oso ona;14;36;"Muy buena / ";38;5;Muy buena / Oso ona;1;2;Muy buena / Oso ona;200;90;1025,5;0;0;12;1,36
29/10/2017;01:00;6;6;Muy buena / Oso ona;15;33;"Muy buena / ";40;8;Muy buena / Oso ona;1;2;Muy buena / Oso ona;192;91;1025,8;0;0;11;0,99
28/10/2017;24:00;6;10;Muy buena / Oso ona;19;24;"Muy buena / ";46;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;182;92;1026,2;0;0;11;0,6
28/10/2017;23:00;5;10;Muy buena / Oso ona;18;29;"Muy buena / ";49;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;155;92;1026,6;0;0;11;0,48
28/10/2017;22:00;5;9;Muy buena / Oso ona;17;36;"Muy buena / ";55;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;156;89;1026,6;0;0;12;0,52
28/10/2017;21:00;5;8;Muy buena / Oso ona;16;44;"Muy buena / ";59;5;Muy buena / Oso ona;1;3;Muy buena / Oso ona;164;86;1026,6;0;0;13;0,64
28/10/2017;20:00;4;9;Muy buena / Oso ona;16;45;"Muy buena / ";61;5;Muy buena / Oso ona;1;3;Muy buena / Oso ona;184;83;1026,7;0;0;14;0,57
28/10/2017;19:00;5;11;Muy buena / Oso ona;18;40;"Muy buena / ";64;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;184;85;1026,7;0;0;15;0,62
28/10/2017;18:00;3;9;Muy buena / Oso ona;14;55;"Muy buena / ";69;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;165;82;1026,4;0;1,4;16;1,07
28/10/2017;17:00;2;12;Muy buena / Oso ona;15;72;"Buena / ";69;13;Muy buena / Oso ona;1;6;Muy buena / Oso ona;335;73;1026,1;0;46,6;18;0,95
28/10/2017;16:00;3;13;Muy buena / Oso ona;17;74;"Buena / ";63;9;Muy buena / Oso ona;1;8;Muy buena / Oso ona;14;70;1026;0;87;18;1,55
28/10/2017;15:00;1;8;Muy buena / Oso ona;11;71;"Buena / ";57;12;Muy buena / Oso ona;1;5;Muy buena / Oso ona;13;78;1026;0;88,5;18;1,96
28/10/2017;14:00;2;9;Muy buena / Oso ona;11;73;"Buena / ";53;13;Muy buena / Oso ona;1;6;Muy buena / Oso ona;360;73;1026,2;0;135;19;1,77
28/10/2017;13:00;3;10;Muy buena / Oso ona;14;;"Sin datos / ";51;7;Muy buena / Oso ona;1;4;Muy buena / Oso ona;12;78;1026,9;0;125,2;18;0,9
28/10/2017;12:00;4;8;Muy buena / Oso ona;14;70;"Buena / ";55;11;Muy buena / Oso ona;1;2;Muy buena / Oso ona;308;81;1027,6;0;57;18;1,58
28/10/2017;11:00;4;9;Muy buena / Oso ona;15;71;"Buena / ";59;13;Muy buena / Oso ona;2;3;Muy buena / Oso ona;323;80;1028;0;119,3;18;1,43
28/10/2017;10:00;5;13;Muy buena / Oso ona;21;50;"Muy buena / ";61;12;Muy buena / Oso ona;1;2;Muy buena / Oso ona;258;85;1027,9;0;42,5;17;0,94
28/10/2017;09:00;5;8;Muy buena / Oso ona;17;39;"Muy buena / ";65;12;Muy buena / Oso ona;1;2;Muy buena / Oso ona;245;90;1028;0;40,3;16;1,42
28/10/2017;08:00;5;6;Muy buena / Oso ona;15;40;"Muy buena / ";71;10;Muy buena / Oso ona;1;2;Muy buena / Oso ona;220;90;1027,8;0;15,6;16;1,11
28/10/2017;07:00;4;5;Muy buena / Oso ona;11;46;"Muy buena / ";75;8;Muy buena / Oso ona;1;2;Muy buena / Oso ona;188;90;1027,8;0;1,8;16;0,54
28/10/2017;06:00;4;5;Muy buena / Oso ona;11;61;"Buena / ";81;10;Muy buena / Oso ona;1;2;Muy buena / Oso ona;170;88;1027,8;0;0;16;0,66
28/10/2017;05:00;3;4;Muy buena / Oso ona;9;80;"Buena / ";84;11;Muy buena / Oso ona;1;2;Muy buena / Oso ona;358;85;1028,1;0;0;17;1,88
28/10/2017;04:00;3;3;Muy buena / Oso ona;7;83;"Buena / ";84;12;Muy buena / Oso ona;1;2;Muy buena / Oso ona;350;86;1028,2;0;0;17;1,76
28/10/2017;03:00;4;2;Muy buena / Oso ona;7;88;"Buena / ";83;18;Muy buena / Oso ona;1;3;Muy buena / Oso ona;7;86;1028,4;0;0;17;3,1
28/10/2017;02:00;3;3;Muy buena / Oso ona;7;85;"Buena / ";82;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;299;80;1028,8;0;0;17;1,34
28/10/2017;01:00;3;4;Muy buena / Oso ona;8;84;"Buena / ";80;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;330;80;1029,2;0;0;17;1,24
27/10/2017;24:00;3;3;Muy buena / Oso ona;8;83;"Buena / ";78;13;Muy buena / Oso ona;1;3;Muy buena / Oso ona;271;81;1029,4;0;0;17;1,37
27/10/2017;23:00;4;3;Muy buena / Oso ona;9;84;"Buena / ";77;13;Muy buena / Oso ona;1;3;Muy buena / Oso ona;354;80;1029,8;0;0;17;1,83
27/10/2017;22:00;3;4;Muy buena / Oso ona;8;82;"Buena / ";75;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;355;81;1029,8;0;0;17;2,74
27/10/2017;21:00;3;5;Muy buena / Oso ona;10;80;"Buena / ";74;14;Muy buena / Oso ona;1;3;Muy buena / Oso ona;354;85;1029,5;0;0;18;2,64
27/10/2017;20:00;3;7;Muy buena / Oso ona;11;78;"Buena / ";73;14;Muy buena / Oso ona;1;3;Muy buena / Oso ona;356;86;1029,5;0;0;18;2,14
27/10/2017;19:00;2;5;Muy buena / Oso ona;9;80;"Buena / ";69;16;Muy buena / Oso ona;1;3;Muy buena / Oso ona;2;88;1029,4;0;0;18;2,96
27/10/2017;18:00;3;7;Muy buena / Oso ona;11;73;"Buena / ";63;16;Muy buena / Oso ona;2;3;Muy buena / Oso ona;309;86;1029,3;0;0,5;18;1,86
27/10/2017;17:00;2;12;Muy buena / Oso ona;15;67;"Buena / ";57;16;Muy buena / Oso ona;1;3;Muy buena / Oso ona;333;85;1029,2;0;11,6;18;1,44
27/10/2017;16:00;3;10;Muy buena / Oso ona;14;69;"Buena / ";51;15;Muy buena / Oso ona;1;3;Muy buena / Oso ona;291;84;1029,2;0;38;18;1,68
27/10/2017;15:00;2;11;Muy buena / Oso ona;14;70;"Buena / ";42;18;Muy buena / Oso ona;2;3;Muy buena / Oso ona;323;84;1029,2;0;58,4;19;1,54
27/10/2017;14:00;3;13;Muy buena / Oso ona;17;;"Sin datos / ";32;24;Muy buena / Oso ona;1;4;Muy buena / Oso ona;4;82;1029,2;0;245,9;19;2,59
27/10/2017;13:00;11;27;Muy buena / Oso ona;43;55;"Muy buena / ";28;32;Muy buena / Oso ona;2;5;Muy buena / Oso ona;355;73;1029,3;0;665,6;20;2,27
27/10/2017;12:00;6;13;Muy buena / Oso ona;22;57;"Muy buena / ";26;21;Muy buena / Oso ona;1;6;Muy buena / Oso ona;232;74;1029,4;0;273,4;19;0,86
27/10/2017;11:00;7;12;Muy buena / Oso ona;23;41;"Muy buena / ";21;27;Muy buena / Oso ona;1;6;Muy buena / Oso ona;207;81;1029,5;0;193,8;18;3,27
27/10/2017;10:00;7;14;Muy buena / Oso ona;24;35;"Muy buena / ";19;21;Muy buena / Oso ona;1;5;Muy buena / Oso ona;203;84;1029,5;0;97,5;16;3,1
27/10/2017;09:00;9;13;Muy buena / Oso ona;27;31;"Muy buena / ";17;18;Muy buena / Oso ona;1;4;Muy buena / Oso ona;195;88;1029,4;0;64,8;14;1,65
27/10/2017;08:00;15;17;Muy buena / Oso ona;39;20;"Muy buena / ";15;18;Muy buena / Oso ona;1;4;Muy buena / Oso ona;195;92;1029;0;26,4;13;1,47
27/10/2017;07:00;20;22;Muy buena / Oso ona;52;8;"Muy buena / ";14;26;Muy buena / Oso ona;1;4;Muy buena / Oso ona;189;94;1028,6;0;1,4;12;0,83
27/10/2017;06:00;13;23;Muy buena / Oso ona;43;7;"Muy buena / ";17;26;Muy buena / Oso ona;1;4;Muy buena / Oso ona;183;95;1028,3;0;0;12;0,48
27/10/2017;05:00;9;21;Muy buena / Oso ona;35;12;"Muy buena / ";19;19;Muy buena / Oso ona;1;4;Muy buena / Oso ona;165;93;1027,8;0;0;12;0,61
27/10/2017;04:00;11;22;Muy buena / Oso ona;39;13;"Muy buena / ";22;19;Muy buena / Oso ona;1;4;Muy buena / Oso ona;190;93;1027,3;0;0;12;0,47
27/10/2017;03:00;6;17;Muy buena / Oso ona;26;22;"Muy buena / ";23;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;210;91;1027,2;0;0;13;0,47
27/10/2017;02:00;6;19;Muy buena / Oso ona;28;20;"Muy buena / ";26;20;Muy buena / Oso ona;1;4;Muy buena / Oso ona;165;92;1027,4;0;0;13;0,62
27/10/2017;01:00;6;15;Muy buena / Oso ona;24;19;"Muy buena / ";32;12;Muy buena / Oso ona;1;4;Muy buena / Oso ona;151;92;1027,5;0;0;13;0,46
26/10/2017;24:00;6;15;Muy buena / Oso ona;24;20;"Muy buena / ";39;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;162;91;1027,6;0;0;13;0,62
26/10/2017;23:00;6;13;Muy buena / Oso ona;23;23;"Muy buena / ";45;13;Muy buena / Oso ona;1;4;Muy buena / Oso ona;190;90;1027,4;0;0;13;0,61
26/10/2017;22:00;7;18;Muy buena / Oso ona;28;22;"Muy buena / ";48;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;189;88;1027;0;0;14;0,66
26/10/2017;21:00;5;15;Muy buena / Oso ona;23;33;"Muy buena / ";52;15;Muy buena / Oso ona;1;6;Muy buena / Oso ona;204;86;1026,3;0;0;15;1,28
26/10/2017;20:00;7;26;Muy buena / Oso ona;37;24;"Muy buena / ";61;14;Muy buena / Oso ona;1;7;Muy buena / Oso ona;181;84;1025,9;0;0;15;0,58
26/10/2017;19:00;4;17;Muy buena / Oso ona;23;44;"Muy buena / ";69;13;Muy buena / Oso ona;1;5;Muy buena / Oso ona;166;82;1025,6;0;0;16;0,74
26/10/2017;18:00;1;9;Muy buena / Oso ona;11;57;"Muy buena / ";69;14;Muy buena / Oso ona;1;5;Muy buena / Oso ona;151;78;1025,1;0;2,1;17;1,43
26/10/2017;17:00;1;11;Muy buena / Oso ona;13;73;"Buena / ";64;19;Muy buena / Oso ona;1;7;Muy buena / Oso ona;172;67;1024,6;0;71,8;20;0,63
26/10/2017;16:00;3;13;Muy buena / Oso ona;18;83;"Buena / ";55;16;Muy buena / Oso ona;1;6;Muy buena / Oso ona;273;61;1024,3;0;385,7;22;1,25
26/10/2017;15:00;3;15;Muy buena / Oso ona;20;;"Sin datos / ";46;22;Muy buena / Oso ona;1;5;Muy buena / Oso ona;356;61;1023,7;0;587;22;1,62
26/10/2017;14:00;3;16;Muy buena / Oso ona;20;92;"Buena / ";48;35;Muy buena / Oso ona;1;7;Muy buena / Oso ona;350;59;1023,5;0;800,4;23;1,98
26/10/2017;13:00;3;15;Muy buena / Oso ona;19;87;"Buena / ";51;25;Muy buena / Oso ona;1;8;Muy buena / Oso ona;345;55;1023,5;0;900,7;23;2,07
26/10/2017;12:00;5;21;Muy buena / Oso ona;29;67;"Buena / ";48;42;Buena / Ona;1;11;Muy buena / Oso ona;7;58;1023,4;0;895,7;22;1,94
26/10/2017;11:00;9;28;Muy buena / Oso ona;42;48;"Muy buena / ";46;43;Buena / Ona;2;23;Muy buena / Oso ona;10;56;1023,1;0;785,8;22;1,4
26/10/2017;10:00;29;48;Muy buena / Oso ona;92;25;"Muy buena / ";46;45;Buena / Ona;2;12;Muy buena / Oso ona;41;62;1022,6;0;557,7;21;0,52
26/10/2017;09:00;18;31;Muy buena / Oso ona;59;22;"Muy buena / ";49;49;Buena / Ona;2;6;Muy buena / Oso ona;75;72;1022;0;422,3;19;0,57
26/10/2017;08:00;14;36;Muy buena / Oso ona;57;25;"Muy buena / ";50;58;Buena / Ona;2;4;Muy buena / Oso ona;285;62;1020,9;0;214,7;19;0,2
