OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
112	"Jardines ""Dionisio Ridruejo"""	Mario Cabre, 4	10	false
113	"CEIP ""PÝo Baroja"""	Luis de Hoyos Sainz, 82	10	false
114	"IES ""Moratalaz"""	Corregidor Diego de Valderrßbano, s/n	10	true
115	EMT	Cerro de la Plata	8	false
116	"Colegio ""Fray Luis de Le¾n"""	Evaristo San Miguel, 10	10	true
117	Equipamientos deportivos, educativos o sociales	Plaza del Duque de Pastrana, 7	10	false
118	"ComisarÝa de PolicÝa ""ChamartÝn"""	JosÚ Bardasano Baos, 2	10	false
119	"IES ""Felipe II"""	Valdebernardo, 1	10	false
120	"IES ""Juana de Castilla"""	Valdebernardo, 3	10	false
121	"Metro ""Metropolitano"""	Vicente Alexandre	10	true
122	"Colegio Mayor ""Padre P¾veda"""	Isaac Peral, 60	10	false
123	Museo Reina SofÝa	Santa Isabel	20	false
124	Museo Reina SofÝa	Santa Isabel	14	false
125	"Colegio ""Gredos San Diego de Moratalaz"""	Luis de Hoyos Sainz, 170	10	false
126	Zona verde	Cairo - Laponia	10	false
127	"Plaza de ""ChamberÝ"""	Plaza de Chamberí, 1	12	false
128	"IES ""Santa Engracia"""	Santa Engracia, 13	10	false
129	"JMD ""Ciudad Lineal"""	Hermanos García Noblejas	10	false
130	"Biblioteca Centro ""Pedro Salinas"""	Toledo, 125	10	false
131	"Centro Comercial ""Valdebernardo"""	"Bulevar ""JosÚ Prat"""	10	false
132	"Metro ""La Peseta"""	Salvador Allende, 3	10	true
133	"Parque ""Emperatriz MarÝa de Austria"""	Vía Lusitana,1	10	false
134	"Intercambiador ""Plaza Eliptica"""	Av. Oporto, 2	10	false
135	"Centro Cultural ""Teresa de Calcuta"""	Plaza del Navio	5	false
136	"CEIP ""Claudio Moyano"""	Cea Berm·dez, 26	10	false
137	"Parque ""Enrique Herreros"""	Bravo Murillo, 49	10	false
138	Ministerio de Trabajo e Inmigraci¾n	Jose Abascal, 39	10	false
139	"Parque ""Campo del Toro"""	Av. Andaluces, 9	10	false
140	"Campo de futbol ""Arag¾n"""	Av. Rafael Alberti - Antonio Mairena	10	false
141	"Centro Cultural ""Palomeras"""	Luis Marín, s/n	10	true
142	"Centro Cultural ""Quinta del Berro"""	Enrique D' Almonte, 1	10	false
143	"Metro ""Lago"""	Paseo Puerta del ?ngel, 9	10	false
144	Parque de Atracciones	Ctra. Batßn	5	true
145	"Parque ""Alfredo Kraus"""	Ayacucho - Mar Adrißtico	10	false
146	ComitÚ OlÝmpico Espa±ol	Arequipa	10	false
147	"Metro ""Vicalvaro"""	Paseo de los Artilleros y San Cipriano	10	false
148	"Metro ""San Cipriano"""	San Cipriano, 48	10	false
149	"Parque de ""La Cu±a Verde"""	Av. Daroca	10	true
150	"Parque ""La Maceta"""	Casalarreina, 26	10	false
151	"Biblioteca P·blica Municipal ""Francisco Ayala"""	Bulevar Indalecio Prieto, 21 (lateral derecho)	10	false
152	"Centro Cultural ""Valdebernardo"""	Bulevar Indalecio Prieto, 21 (lateral izquierdo)	10	false
153	"Estaci¾n ""Vicßlvaro"""	Paseo del Polideportivo, 136	10	true
154	"Metro ""Valdebernardo"""	Bulevar de Indalecio Prieto, 1	10	true
155	Zool¾gico	Casa de Campo	14	false
156	Junto a equipamientos deportivos, educativos o sociales	Av. Pio XII, 2	8	false
157	"Metro ""O'Donell"""	Doctor Esquerdo, 42	10	false
158	"Metro ""La Estrella"""	Camino de Vinateros, 10	10	false
159	Corte InglÚs de Arguelles	Serrano Jover, 5	10	false
160	Universidad de Comillas - ICADE	Alberto Aguilera, 23	10	false
161	"Colegio ""Jes·s MarÝa"""	Hemanos García Noblejas, 68	10	false
162	"Centro Salud ""Hermanos GarcÝa Noblejas"""	Hermanos García Noblejas, 168	8	true
163	"Centro Salud ""Hermanos GarcÝa Noblejas"""	Hermanos García Noblejas, 168	10	false
164	Parque Canal Isabel II	Plaza de Castilla, 9	10	false
165	"Polideportivo ""Trißngulo del Oro"""	Bravo Murillo, 378	5	false
166	"Metro ""Tetußn"""	General Margallo, 2	6	false
167	Planetario	Av. Planetario, 16	10	true
168	"Metro ""Tetußn"""	Pensamiento, 2	10	false
402	Junto a carril bici	Av. Logro±o, 16	10	false
403	Oficinas 3M	Juan Ignacio Luca de Tena, 21	10	false
404	"Parque ""Calero"""	JosÚ del Hierro	10	false
405	"Parque ""Calero"""	Virgen de Nuria	10	false
406	"CEIP ""Pablo Picasso"""	Angel Luis de la Herrßn, 35	10	false
407	"CEIP ""Mirasierra"""	La Masó, 22	10	false
408	"Colegio ""Jes·s MarÝa"""	Hermanos Gracía Noblejas, 68	10	false
409	AZCA	Plaza de Carlos Trías Bertrßn	15	false
410	"Colegio ""Patrocinio de San JosÚ"""	Orense, 15	10	false
411	Liceo Italiano	Agustín de Betancourt y Ríos Rosas	10	false
412	Plaza de Vßzquez de Mella	Plaza de Vßzquez de Mella	10	false
413	Zona peatonal Fuencarral	Fuencarral, 45	6	false
414	Zona peatonal Fuencarral	Fuencarral, 42	6	false
415	Zona peatonal Fuencarral	Fuencarral, 35	6	false
416	Zona peatonal Fuencarral	Fuencarral, 29	6	false
417	Zona peatonal Fuencarral	Fuencarral, 6	6	false
418	Claudio Coello	Claudio Coello, 30	6	true
419	"Parque ""BerlÝn"""	Doctor Marco Corera	10	false
420	"Colegio P·blico ""La Guindalera"""	Camilo JosÚ Cela	6	false
421	Francisco Santos	Francisco Santos, 23	10	false
422	"Parque ""Eva Duarte de Per¾n"""	Florestßn Aguilar, 13	10	false
423	"Biblioteca ""Manuel Alvar"""	Azcona, 42	10	false
424	Plaza de AmÚrica Espa±ola	Sancho Dßvila,1	10	true
425	Palacio de Deportes Comunidad de Madrid	Plaza de Dalí, 15	14	false
426	Junto a equipamientos deportivos, educativos o sociales	Drßcena, 29	10	false
427	Junto a equipamientos deportivos, educativos o sociales	Rosa Jardón, 10	10	false
428	Ejes principales del Plan Director	Av. Alfonso XIII 97	10	false
429	Junto a equipamientos deportivos, educativos o sociales	Puerto Rico, 34	10	false
430	Junto a equipamientos deportivos, educativos o sociales	Padre Damißn, 20	10	false
431	Ejes principales del Plan Director	Av. Alberto Alcocer c/v Juan Ramón J.	10	false
432	JosÚ Lßzaro Galdeano	JosÚ Lßzaro Galdeano	10	false
433	"ColÚgio P·blico ""Padre Poveda"""	Av. Alfonso XIII, 25	10	false
434	"Metro ""Prosperidad"""	Plaza de la Prosperidad	10	false
435	"CEIP ""Patriarca Obispo Eijo Garayö"	López de Hoyos, 40	10	false
436	Av. Doctor Arce	Av. Doctor Arce, 1	10	false
437	"Centro de Bachillerato ""Fomento Fundaci¾n"""	Padre Claret, 16	10	false
438	"IFP ""Clara del Rey"""	Padre Claret, 8	10	false
225	Plaza del Campillo del Mundo Nuevo	Plaza del Campillo del Mundo Nuevo, 9	10	true
226	"ETSI ""Minas"""	Rios Rosas, 21	10	false
227	"Instalaciones Deportivas ""Canal Isabel II"""	Av. Filipinas y Bravo Murillo	10	false
228	"Parque ""MarÝa Tudor"""	María Tudor	10	false
229	"CEIP ""Miguel de Cervantes"""	Glorieta Cuatro Caminos, 1	10	false
230	"Metro ""Francos RodrÝguez"""	Av. Pablo Iglesias, 96	10	false
231	"Colegio ""San Juan Bautista Salesianos"""	Pamplona, 33	10	false
232	Ejes principales del Plan Director	Paseo de la Castellana, 53	10	false
233	"Colegio ""Inmaculada-Marillac"""	García Pardes, 37	10	false
234	Plaza Olavide	Trafalgar, 28	10	false
235	Museo Etnol¾gico de Atocha	Paseo Infanta Isabel, 11	10	false
236	"Escuela Municipal de M·sica ""Almudena Cano"""	Pasaje Tortosa, 4	10	false
237	"Centro Sociocultural ""Arganzuela"""	Palos de la Frontera, 40	10	false
238	Museo Reina SofÝa	Glorieta Emperador Carlos V	20	false
239	Ciclos Delicias	Paseo Delicias, 65	8	true
240	"CEIP ""Miguel de Unamuno"""	Alicante, 5	10	false
241	"Polideportivo ""La Fundi"""	Alicante, 14	10	false
242	"JMD ""Villa de Vallecas"""	Paseo Federico García Lorca, 12	14	false
243	"Metro ""San Bernardo"""	Glorieta Ruiz GimÚnez, 4	8	false
244	Sede Greenpeace	San Bernardo, 107	10	false
245	"Colegio P·blico ""JosÚ Ortega y Gasset"""	Infanta Mercedes, 72	10	true
246	"Plaza del ""Canal"""	Nuestra Se±ora del Carmen	10	false
247	Santa Clara	Santa Clara, 3	8	false
248	"Biblioteca P·blica Municipal ""Gloria Fuertes"""	Av. Logro±o, 179	10	false
249	Teatro MarÝa Guerrero	MarquÚs de Monasterio, 10	5	false
250	Direccion General de La Guardia Civil	Paseo San Francisco	10	false
251	"CEIP ""Sainz de Vicu±a"""	Camino de Vinateros, 104	10	false
252	"Metro ""Pico Artilleros"""	Camino de Vinateros, 119	10	false
253	"Polideportivo ""Sagrada Familia"""	Oberón, 9	20	false
254	"Colegio ""Gredos San Diego de Moratalaz"""	Luis de Hoyos Sainz, 170	35	false
255	"CEIP ""Real Armada"""	Corregidor Juan Francisco de Lujßn, 114	12	false
256	MADRIDSALUD	Juan Esplandiu, 13	10	false
257	"CEIP ""Asunci¾n Rinc¾n"""	Av. Filipinas, 5	10	true
258	SOITU	Cochabamba	10	false
259	Ejes principales del Plan Director	Plaza de JosÚ María Soler, 7	10	false
260	?rea de Urbanismo	Guatemala, 13	10	false
261	"Centro Cultural ""Valle-Inclßn"""	Arzobispo Morcillo s/n	10	true
262	ABB	San Romualdo, 13	10	false
263	"IES ""Jaime Vera"""	Infanta Mercedes, 47	6	false
264	"Campo Municipal ""Vereda de Ganapanes"""	Becerrea, 4 y Sinesio Delgado	10	false
265	"Plaza de ""La Remonta"""	Capitßn Blanco Argibay, 14	10	false
266	"Centro de Educaci¾n de Personas Adultas ""Tetußn"""	Pinos Alta, 77	10	false
268	"CEIP ""MartÝnez Monta±Ús"""	Hacienda de Pavones, 223	10	false
1219	"Facultad ""CC QuÝmicas"""	Leonardo Prieto Castro	6	false
269	Matadero (lateral izquierdo)	Paseo Chopera, 14	18	false
270	Matadero (lateral derecho)	Paseo Chopera, 14	18	false
271	"JMD ""Arganzuela"""	Paseo Chopera	10	false
272	Colegio Beata Maria Ana de Jes·s	Guillermo de Osma, 10	10	false
273	"Biblioteca P·blica ""JosÚ Hierro"""	Av. Rafaela Ybarra, 43	10	true
274	"Polideportivo ""Orcasitas"""	Tolosa, 24	10	false
275	"CEIP ""Conde Arruga"""	Hacienda de Pavones, 105	10	false
276	Escuela Municipal de M·sica	Agustín García Malla, 2	10	false
277	"Estaci¾n ""Vallecas"""	Sierra de Guadalupe	24	false
278	"CEIP ""Puerto Rico"""	Gainza, 22	10	false
279	"Estaci¾n ""Puente Alcocer"""	Villalonso, 54	14	false
280	"Metro ""Diego de Le¾n"""	Juan Bravo	10	false
281	"Polideportivo ""Pradillo"""	Pradillo, 49	10	true
282	"Centro Deportivo Municipal ""Pradillo"""	Pradillo, 43	10	false
283	"JMD ""ChamartÝn"""	Príncipe de Vergara, 142	10	false
284	Junto a equipamientos deportivos, educativos o sociales	Príncipe de Vergara, 139	10	false
285	"Biblioteca P·blica Municipal ""PÝo Baroja"""	Arganda, 12	10	false
286	"Parque ""AjofrÝn"""	Av. Arcentales	10	false
287	"Edificio ""Banesto"""	Gran Via de Hortaleza - Pinar del Rey	10	false
288	"IES ""Ciudad de los ?ngeles"""	Anoeta, 14	10	false
289	"Metro ""Villaverde Alto"""	Villa de Tobalina, 17	10	false
290	"Centro Deportivo Municipal ""San Cristobal"""	Rocafort, 4	10	false
291	"Parque ""Dehesa de Boyal"""	Burjasot, 3	10	true
292	"Metro ""Villaverde Bajo"""	Estación de Metro Villaverde Bajo	10	false
293	"Metro ""Ciudad de los ?ngeles"""	Tertulia, 17	10	false
294	"Cines ""Yelmo Ideal"""	Doctor Cortezo, 4	10	false
295	"Parque ""Templo de Debod"""	Pasep Pintor Rosales, 62	14	false
296	"Intercambiador ""Moncloa"""	Plaza de la Moncloa	12	false
297	"Colegio Mayor ""Juan Luis Vives"""	Francisco Suarez, 11	10	true
298	Agencia Estatal de Administracion Tributaria	"Guzmßn ""El Bueno"", 114"	0	false
299	Junto pistas deportivas	Miguel Yuste, 70	10	false
300	"Centro Sociocultural ""Miguel de Cervantes"""	Av. Arcentales - ctra. Canillejas a Vicßlvaro	10	false
301	Parque de la Vicalvarada	Villablanca, 1	10	true
302	"Plaza ""AgustÝn Gonzßlez"""	Plaza de Agustín Gonzßlez	8	false
303	"Metro ""La Elipa"""	MarquÚs de Corbera	10	false
304	Museo del Prado	Plaza de Murillo	10	false
305	Parque Casino de la Reina	Casino, 1	8	true
306	"Intercambiador ""Moncloa"""	Plaza de la Moncloa	10	false
307	"Colegio ""Nuestra Se±ora del Buen Consejo"""	Bulevar Reina Victoria	10	false
308	MarquÚs de Corbera	MarquÚs de Corbera, 14	10	false
309	Museo Taurino	Plaza de las Ventas	10	false
310	"Cementerio ""Nuestra Se±ora de la Almudena"""	Arroyo de la Media Legua, 2	10	true
311	"CEIP ""Gandhi"""	Gandhi	10	false
312	"Glorieta ""Mar Caribe"""	Av. Andes - Av. Arroyo del Santo	10	false
313	"Centro Comercial ""Campo de la Naciones"""	Boj	10	false
314	Alberge Juvenil	Mejía Lequeríca, 18	10	true
315	"Metro ""Montecarmelo"""	Av. Monasterio de Silos	10	false
316	"CEIP ""Lorenzo luzuriaga"""	Valencia de Don Juan, 19	10	false
317	"CEIP ""Vasco N·±ez de Balboa"""	Nuestra Se±ora de Valverde, 149	10	false
318	"Metro ""Gran VÝa"""	Gran Vía, 23	6	false
319	"Metro ""Sol"""	Puerta del Sol	10	true
320	Plaza de San MartÝn	Plaza de San Martín, 5	8	false
321	Casa de las Alhajas	Plaza de San Martín, 1	10	false
322	"Metro ""Callao"""	Plaza de Callao	10	false
323	"Metro ""Callao"""	Plaza de Callao	14	false
324	"JMD ""Retiro"""	Av. Ciudad de Barcelona,162 (Calle Tellez)	10	false
325	"Polideportivo ""Daoiz y Velarde"""	Av. Ciudad de Barcelona, 162 (zona peatonal)	10	false
326	Pante¾n de Hombres Ilustres	Paseo Reina Cristina, 4	10	false
327	JardÝn Botßnico	Alfonso XII, 54	10	false
328	"Centro Social ""Seco"""	Arregui y Aruej, 29	10	false
329	Plaza de Ministriles	LavapiÚs, 28	10	false
333	"Parque ""Cu±a Verde"""	Paseo Ermita del Santo - Vía Carpetana	10	false
1220	"IES ""Puerta Bonita"""	Padre Amigó, 5	6	false
1226	"Auditorio Parque ""Paraiso"""	Av. Arcentales	10	true
1227	"Parque ""Cu±a Verde de O'Donnell"""	JosÚ Bergamín	8	false
1228	"Parque ""Cu±a Verde de O'Donnell"""	JosÚ Bergamín	8	false
339	"IES ""Gran Capitßn"""	Paseo Melancólicos, 51	8	false
340	Mesonero Romanos	Mesonero Romanos, 2	6	false
341	"Colegio ""Ciudad de Roma"""	Juan Esplandiu, 2	10	false
342	Gerencia Municipal de Urbanismo	Av. Alfonso XIII	10	false
343	Zona comercial	Lopez de Hoyos, 301	8	false
344	"Instalaci¾n Deportiva ""Cerro Almodovar"""	Ctra. Valencia, Km. 9,501 (lateral izquierdo)	10	false
345	"Colegio ""Sagrado Coraz¾n"""	San Jaime, 17	10	false
346	"Biblioteca P·blica ""Luis MartÝn Santos"""	Enrique García ?lvarez	16	true
347	Campo de futbol	Plaza de Las Meninas - Vía Lusitana	10	false
348	"Instalaci¾n Deportiva ""La VÝa"""	Vía Lusitana, 5	10	true
349	Instalaciones Deportivas	Paseo de la Castellana, 302	27	false
350	"Parque ""Cu±a Verde de O'Donnell"""	JosÚ Bergamín	8	true
351	"Instalaciones Deportivas Universidad Complutense ""Zona Norte"""	Av. Complutense, s/n	10	false
352	"Intercambiador ""Plaza de Castilla"""	San Aquilino, 2	30	true
353	"Colegio ""Nuestra Sra. del Pilar Salesianas"""	San Benito, 6	10	true
354	"Metro Ligero ""Virgen del Cortijo"""	Av. Manoteras, 55	10	false
355	"Intercambiador ""PrÝncipe PÝo"""	Glorieta San Vicente	10	false
356	"Intercambiador ""PrÝncipe PÝo"""	Paseo La Florida	140	false
357	"Centro Comercial ""PrÝncipe PÝo"""	Paseo La Florida	8	false
358	Ejes principales del Plan Director	Paseo Castellana, 162	10	false
359	Oficina de empleo de INEM	Corazón de María, 27	10	true
360	Universidad de Alcalß	Conde de Serrallo	10	false
361	"Colegio P·blico ""Ciudad de Valencia"""	Ctra. Valencia Km.9	10	false
362	"IES ""Santa Eugenia"""	Ctra. Valencia, Km. 9,700	10	false
363	"Instalaci¾n Deportiva ""Cerro Almodovar"""	Ctra. Valencia, Km. 9,500 (lateral derecho)	10	true
364	"Estaci¾n ""Santa Eugenia"""	Av. Santa Eugenia, 3	10	false
365	"Campo de futbol ""La Uni¾n"""	Enrique García ?lvarez	10	false
366	"Escuela Infantil ""Arco Iris"""	Diego Olivera Victorio, 10	10	false
367	"Colegio P·blico ""Juan de Herrera"""	Enrique García ?lvarez	10	true
368	Parque Canal Isabel II	Paseo Castellana, 212	16	false
369	Centro Comercial Alcampo	Manuel Machado, 3	10	false
370	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	7	false
371	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	7	false
372	"Centro Socio Cultural ""Maestro Alonso"""	Mestro Alonso, 4	10	false
520	"Colegio ""SantÝsimo Sacramento"""	María Auxiliadora, 9	10	true
521	"Parque ""Dehesa de la Villa"""	Parque Dehesa de la Villa	10	false
522	"Colegio ""Amar Misericordioso"""	Paseo San Francisco de Sales, 42	10	false
523	"Parque ""Caramuel"""	Caramuel - Sepulveda	10	false
524	"Colegio ""Santa Cristina"""	Plaza de la Puerta del ?ngel	10	false
525	"Parque ""Caramuel"""	Caramuel - Calatayud	10	false
526	"Centro Socio Cultural ""San JosÚ de Calasanz"""	Paseo de los Olivos - María del Carmen	10	false
527	"Sala de lectura ""Paseo de Extremadura"""	Paseo Extremadura, 128	10	false
528	"Colegio ""Divino Maestro"""	Paseo de Extremadura, 165	10	false
529	"Polideportivo ""Olivillo"""	Olivillo, 4	10	true
530	"Centro Cultural ""Lucero"""	Castroserna, 4	10	false
531	"CEIP ""Bolivia"""	Villavaliente, 29	10	false
532	"CPR ""Lourdes"""	San Juan de la Mata	10	false
533	"CEIP ""Lourdes"""	San Roberto, 8	10	false
534	"Auditorio Parque ""Cerro Almodovar"""	Duquesa de Parcent - Marcelino Castillo	10	false
535	"Instalaciones Deportivas Parque ""Cerro Almodovar"""	Duquesa de Parcent	10	true
536	"Centro Cultural ""Fernando de los RÝos"""	Camarena, 10	10	false
537	"CEIP ""Amadeo Vives"""	Los YÚbenes, 6-8	10	false
538	"Parque ""Carlos Arias"""	Valmojado - Sese±a	10	false
539	"Parque ""Aluche II"""	Valmojado - Illescas	10	false
540	"Parque ""Aluche"""	Valmojado	10	false
541	"IES ""Blas de Otero"""	Maqueda, 130	10	false
542	"Colegio ""Gamo Diana"""	Tembleque, 104	10	true
543	"Colegio ""Arcangel Rafael"""	Maqueda, 4	10	true
544	"Parque ""Las Cruces"""	Vidauba	10	true
545	"IES ""Leonardo da Vinci"""	General Romero Basart, 90	10	true
546	Parque	Navia	10	false
547	"Polideportivo ""Aluche"""	Av. General Fanjul, 14	10	false
548	"Colegio ""La Salle"""	General Romero Basart, 50	10	false
549	"Centro Cultural ""Almirante Churruca"""	Fuente del Tiro, 72	8	false
550	UNED	Fuente de Lima, 22	10	false
551	"Centro Cultural ""Campamento"""	Boadilla del Monte, 40 - Sedano	10	false
552	Servicio Geogrßfico del Ejercito	Sanchidrißn -Mirue±a	10	true
553	"Intercambiador ""Cuatro Vientos"""	Los Lanceros	10	false
554	"Parque ""Piqueras"""	Clarinete	10	false
555	"Colegio ""Concepci¾n Arenal"""	Antonio López, 1	6	false
556	"Escuela Oficial de Idiomas ""Carabanchel"""	Portalegre, 52	10	true
557	"IES ""Emilio Castelar"""	Río de Oro, 4	10	false
558	"Instalaci¾n Deportiva ""Ernesto Cotorruelo"""	Vía Lusitana, 3	10	false
559	"Instalaci¾n Deportiva Elemental ""Los Poblados"""	Av. Poblados - Antonio Romero	10	false
560	"Biblioteca ""Pan Bendito"""	Camino Viejo de Leganes, 188	10	false
561	Instalaci¾n deportiva	Real Madrid - Nuestra Se±ora de la Antigua	10	false
562	EMT	Av. Poblados	10	false
563	EMT	Av. Poblados	10	false
564	Avenida de los Poblados	Av. Poblados - Vía Lusitana	10	false
565	Carril bici	Av. Princesa Juana de Austria - Av. de los Poblados	10	true
566	"Centro Integrado ""GarcÝa Lorca"""	Eugenia de Montijo - Plaza de la Emperatriz	10	false
567	Instituto PolitÚcnico del Ejercito de Tierra	Av. Carabanchel Alto - Callejón de la Rosa	10	false
568	"Parque ""Carlos Arias"""	Av. de los Poblados - Consuelo Guzmßn	10	false
569	Colegio institucion profesional Salesiano	Ronda de Don Bosco, 3	10	false
570	"Centro de Mayores ""Francisco de Goya"""	Alfredo Aleix, 3	10	false
571	"Colegio ""?rtica"""	Los Morales, 25	10	false
572	"Colegio ""MarÝa Inmaculada"""	Joaquín Turina, 62	10	false
573	"Parque ""Las Cruces"""	Av. de los Poblados - Camino de las Cruces	10	false
574	"Plaza de Toros ""Vistalegre"""	Castrojeliz	10	false
575	Instalaci¾n Deportiva Bßsica ôLa Chimeneaö	Vallandes, 5 - Hermenegildo Bielsa Calesas	10	false
576	"Metro ""Usera"""	Mirasierra, 37	10	false
577	"Polideportivo ""Moscard¾"""	AndrÚs Arteaga, 3	10	false
578	"Metro ""Usera"""	Amparo Usera	10	false
579	Caja Mßgica	Paseo Perales, s/n	20	false
580	"Centro Cultural ""San FermÝn"""	San Fermín - Taconera	10	false
581	Estaci¾n ôDoce de Octubreö	Av. Doctor Tolosa Latour	10	false
582	"Instalaci¾n Deportiva Bßsica ""Juan Gonzßlez Rubio"""	Av. Doctor Tolosa Latour, 6	10	false
583	"Polideportivo ""Jes·s Rollßn"""	Avena, 11 - Ricardo Beltrßn	10	false
584	Instalaci¾n Deportiva Bßsica ôZofioö	Ricardo Beltrßn - Rozpide, 12	10	false
585	Estaci¾n ôOrcasitasö	Sinca - Censo	10	false
586	"Centro Cultural ""Meseta de Orcasitas"""	Plaza de la Asociacion, 1 - Milquinientas	10	false
587	"Instalaci¾n Deportiva ""Meseta de Orcasitas"""	Talbot, 8	10	false
588	"Mercado ""Orcasitas"""	Villabona, 4	10	false
589	"Polideportivo ""Orcasur"""	Moreja, 11	10	false
590	"Centro de mayores ""Orcasur"""	Av. Orcasur, 60	10	false
591	"Centro de mayores ""Orcasur"""	Av. Orcasur, 7	10	false
592	"Centro Cultural ""Orcasur"""	Plaza del Pueblo, 2	10	false
593	Estaci¾n ôOrcasitasö	Campotejar, 24	18	false
594	"Colegio ""Los Tilos-Tajamar"""	El Bosco	10	false
595	"Parque ""Cerro del TÝo PÝo"""	Ramón PÚrez de Ayala	10	false
596	"Centro Cultural ""Alberto Sßnchez"""	Risco de Peloche	10	false
597	"Zona deportiva ""Camino de Valderribas"""	Sierra de la Cuerda Larga	10	true
598	Zona verde	Puerto de Canencia	8	false
599	Centro Cultural ?rea de Creatividad	Sierra Carbonera, 74	10	true
600	"Parque ""Am¾s Acero"""	Sierra Molina	10	false
601	"Estaci¾n ""Asamblea de Madrid EntrevÝas"""	Puerto de Balbarßn	10	false
602	"Zona estancial ""Puerto de Piedrahita - Calle 30"""	Pe±a Ubía, 1	10	false
603	Plaza de la Constituci¾n	Pedro Laborde	10	false
604	"Instalaciones Deportivas ""Puente de Vallecas"""	Carlos Sole, 42	10	false
605	"IES ""Tirso de Molina"""	JosÚ Paulete, 51	10	true
606	"IES ""Antonio DomÝnguez Ortiz"""	Av. Miguel Hernandez	10	true
607	"Colegio ""Tolosa Latour"""	Asturianos - Fuengirola	10	false
608	"Biblioteca P·blica ""Vallecas"""	Av. Rafael Alberti, 36	10	false
609	"Parque ""Campo de la Paloma"""	Extreme±os	10	false
610	Av. de las Comunidades	Av. de las Comunidades y Este	10	false
611	"Colegio ""El Valle"""	Los Juglares	10	false
612	"Parque ""Cordel de Pavones"""	Parque Cordel de Pavones	10	false
613	"IES ""Valdebernardo"""	Bulevar Indalecio Prieto	10	false
614	"Parque ""Canillejas"""	NÚctar, 32	10	false
615	Junto pistas deportivas	Albarique y Alconera	10	true
616	"Instituto secundaria ""San Blas"""	Arcos de Jalón, 120	6	false
617	Pistas deportivas	Arcos de Jalón, 114	10	true
618	Escuela oficial de Idiomas	Conserveros, 4	10	false
619	"Instalaciones Deportivas ""Alcalß 525"""	Alcala, 523 y Iquitos	10	false
620	Parque	Riobamba, 13	10	false
621	VÝa ciclista	López de Aranda y Plaza Barbados	10	false
622	"Colegio ""Brains"""	María Lombillo,5	10	false
623	"Colegio ""Nuestra Se±ora de Loreto"""	General Aranaz, 66	10	false
624	Campezo	Campezo, 3	10	false
102	Parque de Atenas	Calle de Segovia	10	false
103	"CEIP ""Pasamonte"""	Av. Dr. García Tapia, 47	10	true
104	"Zona verde ""Sierra Elvira, Heroes del Alcazar"""	HÚroes del Alcßzar, 8	10	true
105	ConsejerÝa de Familia y Asuntos Sociales	Alcalß, 59-61	8	false
106	"Metro ""Sevilla"""	Alcalß, 23	8	false
107	"Metro ""Sol"""	Puerta del Sol	10	false
108	"Metro ""Barajas"""	Av. Logro±o, 164	10	false
109	Colegio Montserrat II	JosÚ Martínez Velasco, 1	10	false
110	"Centro Nataci¾n ""Mundial 86"""	JosÚ Martínez Velasco, 3	10	true
169	"Centro Cultural ""Federico Chueca"""	Plaza de Nuestra Se±ora del Transito, 12	8	false
170	"CEIP ""Jaime Vera"""	Bravo Murillo, 162	10	false
171	Ministerio de Sanidad y PolÝtica Social	Huertas, 82	10	false
172	IFEMA	"Metro ""Campo de las Naciones"""	10	false
173	"Centro de Especialidades ""Pedro Gonzßlez Bueno"""	Hermanos García Noblejas, 89	10	false
174	Hermanos GarcÝa Noblejas	Hermanos García Noblejas, 129	20	false
175	JMD Salamanca	Velßzquez, 52	8	false
176	"Centro Comercial ""Las Rosas"""	Aquitania, 3	10	false
177	"Colegio ""Jes·s MarÝa Nuestra Se±ora Caridad del Cobre"""	Hermanos García Noblejas, 17	10	false
178	Gran Habitat Pinar de ChamartÝn	AnÚmonas - Av. San Luis	10	false
179	"Metro ""San Cristobal"""	Av. Andalucía	10	false
180	"Metro ""Sainz de Baranda"""	Doctor Esquerdo, 105	10	true
181	Junto a pistas deportivas	Av. Guadalajara, 28	10	false
182	"Metro ""San FermÝn"""	Av. Anadalucía, 20	10	false
183	"JMD ""Usera"""	Av. Rafaela Ybarra, 41	10	false
184	"Polideportivo ""Orcasitas"""	Rafaela Ybarra, 52	10	false
185	"Intercambiador ""Aluche"""	Av. de los Poblados, 60	10	false
186	"Parque ""Aluche"""	Oca±a, 1	10	false
187	"Complejo deportivo ""Gabriel Fernßndez"""	Cuart de Poblet - Duquesa de Parcent	10	false
188	Universidad PolitÚcnica de Madrid (Rectorado)	Fuencarral, 123	10	false
189	Grupo Alcatel Espa±a	Bustamante, 16	14	false
190	"Estaci¾n ""Delicias"""	Paseo Delicias	20	false
373	Museo Naval	Montalbßn, 3	10	false
374	Museo Naval	Montalbßn, 3	10	false
375	Agencia Estatal de Administraci¾n Tributaria	Montalbßn, 6	10	false
376	Ejes principales del Plan Director	Paseo Castellana, 272	10	false
377	Ministerio de Asuntos Exteriores	Plaza de la Provincia	10	false
378	San Bruno	San Bruno, 2	4	false
379	San Bruno	San Bruno, 1	4	false
380	"JMD ""ChamartÝn"" (Auditorio)"	Príncipe de Vergara, 146	10	false
381	"Biblioteca ""El ?guila"""	General Lacy	10	false
