OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
1156	"Pasarela M-30 (Poilideportivo ""JosÚ MarÝa Cajigal"")"	Anillo Verde Ciclista	12	false
1157	"Poilideportivo ""JosÚ MarÝa Cajigal"""	Santa Pola, 22	12	false
1158	"Poilideportivo ""JosÚ MarÝa Cajigal"""	Santa Pola, 22	12	false
1159	Madrid RÝo		0	false
1160	Madrid RÝo		0	false
1161	Madrid RÝo		0	false
1162	Madrid RÝo		0	false
1163	Madrid RÝo		0	false
1164	Madrid RÝo		0	false
1165	Madrid RÝo		0	false
1166	CEIP Ermita del Santo	Paseo Ermita del Santo,18	12	false
1167	Madrid RÝo	Paseo Ermita del Santo, 18	14	false
1168	Madrid RÝo	Daimiel	6	false
1169	Madrid RÝo	Daimiel	6	false
1170	"Fundaci¾n ""San Bernardo"""	San Galo	22	false
1233	"UAM Centro BiologÝa Molecular ""Severo Ochoa"""	Nicolßs Cabrera, 1	24	false
1234	Parque CientÝfico de Madrid	Faraday, 7	24	false
1235	Carril Bici UAM	Faraday, 7	8	false
1236	Instituto Madrile±o Estudios Avanzados NanotecnologÝa	Nicolßs Cabrera	8	false
1237	Carril Bici UAM	Nicolßs Cabrera	16	false
1238	"UAM ""Escuela PolitÚcnica Superior"""	Francisco Tomßs y Valiente	8	false
1239	"UAM ""Facultad de Ciencias JurÝdicas Econ¾micas y PolÝticas"""	Sor Juana InÚs de la Cruz	8	false
1240	Centro Nacional de BiotecnologÝa	Darwin	6	false
1251	Valdebebas		8	false
1252	Valdebebas		6	false
1253	Valdebebas		6	false
1254	Valdebebas		8	false
1256	"Intercambiador ""Avenida de AmÚrica"""	Av. AmÚrica, 7	10	false
1257	Cuesta de Santo Domingo	Cuesta de Santo Domingo	8	false
1258	"Colegio P·blico ""MarquÚs de Marcenado"""	Linneo, 31	10	false
1260	"Instituto ""Beatriz Galindo"""	Goya, 10	4	false
1261	AZCA	Plaza de Carlos Trías Bertrßn	15	false
1276	"Biblioteca ""Bernardo de la Torre Rojas"""	Camino de las Moreras	6	false
1277	"ETSI ""Montes"" - Selvicultura y Repoblaciones Forestales"	Camino de las Moreras	6	false
1278	"Facultad ""Farmacia"""	Av. Complutense, s.n.	6	false
1279	"Facultad ""Farmacia"""	Av. Complutense, s.n.	6	false
1280	"Metro ""Ciudad Universitaria"""	Av. Complutense, s.n.	12	false
1281	"Facultad ""Medicina"""	Av. Complutense, s.n.	35	false
1282	"Facultad ""Medicina"""	Av. Complutense, s.n.	35	false
