COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;NOMBRE_COMIENZA;NOMBRE_ACENTOS_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;NOMBRE_TERMINA;NOMBRE_ACENTOS_TERMINA
00906055;CALLE;;SIETE;SIETE;00623200;AVENIDA;;QUINTA;QUINTA;00706800;AVENIDA;;SEGUNDA;SEGUNDA
00721300;CALLE;DEL;SIETE DE JULIO;SIETE DE JULIO;00497800;CALLE;;MAYOR;MAYOR;00498000;PLAZA;;MAYOR;MAYOR
00905222;GLORIETA;DE LAS;SIETE HERMANAS;SIETE HERMANAS;00905210;PASEO;DE LOS;CASTAÑOS;CASTAÑOS;00905221;PASEO;DE LOS;PLATANOS;PLÁTANOS
00002209;CALLE;;SIETE MERCAMADRID;SIETE MERCAMADRID;00002199;CALLE;;DOS MERCAMADRID;DOS MERCAMADRID;00002194;AVENIDA;DE;ARGANZUELA MERCAMADRID;ARGANZUELA MERCAMADRID
00721500;CALLE;DE LOS;SIETE PICOS;SIETE PICOS;00121300;CALLE;DE;CABEZA REINA;CABEZA REINA;00905836;PASAJE;DE;CLAVILEÑO;CLAVILEÑO
00001948;CAMINO;DE LAS;SIETE REJAS;SIETE REJAS;00001947;PUENTE;DE LAS;GARRAPATAS;GARRAPATAS;00001955;CAMINO;DE;RONDA;RONDA
00721600;CALLE;DE;SIGERICO;SIGERICO;00739800;CALLE;DEL;TERCIO;TERCIO;00341600;CALLE;DEL;GORRION;GORRIÓN
31000530;CALLE;DE;SIGÜENZA;SIGÜENZA;00110600;CALLE;DE;BOLARQUE;BOLARQUE;00364600;CALLE;DE;HORCHE;HORCHE
00721850;CALLE;DE;SIGUERO;SIGUERO;00748000;CALLE;DE;TORREBELEÑA;TORREBELEÑA;00312150;CALLE;DE;FRESNEDILLAS;FRESNEDILLAS
00721900;CALLE;DEL;SIL;SIL;00532600;CALLE;DEL;NERVION;NERVIÓN;00451700;CALLE;DE LA;MADRE CARMEN DEL NIÑO JESUS;MADRE CARMEN DEL NIÑO JESÚS
00722000;CALLE;DE LA;SILFIDE;SÍLFIDE;00778910;AVENIDA;DE;CANILLEJAS A VICALVARO;CANILLEJAS A VICÁLVARO;00443800;CALLE;DE;LUCANO;LUCANO
00722100;GLORIETA;DEL;SILICE;SÍLICE;00627400;CALLE;DE;RAFAELA BONILLA;RAFAELA BONILLA;00746500;AVENIDA;DE LOS;TOREROS;TOREROS
00722200;CALLE;DE LA;SILLERIA;SILLERÍA;00420800;CALLE;DE LA;JUGUETERIA;JUGUETERÍA;00255600;CALLE;DE LA;EBANISTERIA;EBANISTERÍA
00722400;CALLE;DE;SILVA;SILVA;00702300;PLAZA;DE;SANTO DOMINGO;SANTO DOMINGO;00449600;CALLE;DE LA;LUNA;LUNA
00722500;CALLE;DE;SILVANO;SILVANO;00080500;CALLE;DE;ASURA;ASURA;00000963;CALLE;DE;MANUEL AZAÑA;MANUEL AZAÑA
00722600;CALLE;DE;SILVES;SILVES;00261700;CALLE;DE;ELVAS;ELVAS;00170900;CALLE;DE;CINTRA;CINTRA
00002727;CALLE;DE LA;SILVINA;SILVINA;00678700;AVENIDA;DE;LOS ROSALES;LOS ROSALES;00678700;AVENIDA;DE;LOS ROSALES;LOS ROSALES
31000646;CALLE;DE;SILVINA OCAMPO;SILVINA OCAMPO;31000486;CALLE;DE;ADOLFO MARSILLACH;ADOLFO MARSILLACH;31000474;AVENIDA;DEL;ENSANCHE DE VALLECAS;ENSANCHE DE VALLECAS
00002882;CALLE;DE LA;SILVINITA;SILVINITA;00002879;CALLE;DEL;BERROCAL;BERROCAL;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
00722700;CALLE;DE;SILVIO ABAD;SILVIO ABAD;00165800;CALLE;DEL;CERRO BLANCO;CERRO BLANCO;00627450;AVENIDA;DE;RAFAELA YBARRA;RAFAELA YBARRA
