MES;LOTE;DISTRITO;Kg Recogida de muebles;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
FEBRERO 2017;3;FUENCARRAL;;383312;943;33;52;75;54;70;4916;428000
FEBRERO 2017;3;MONCLOA;14240;119480;784;0;35;52;58;55;6192;267000
FEBRERO 2017;3;LATINA;;739420;720;0;110;223;54;84;7660;380000
FEBRERO 2017;4;BARAJAS;13700;141140;177;21;39;37;34;78;350;158450
FEBRERO 2017;4;HORTALEZA;33300;280000;640;43;89;93;89;170;2732;390300
FEBRERO 2017;4;SAN BLAS;35040;367420;846;19;61;96;71;252;4414;307900
FEBRERO 2017;4;CIUDAD LINEAL;58260;500640;954;3;96;114;85;341;7750;475840
FEBRERO 2017;5;PTE. VALLECAS;8080;507205;1376;60;181;140;149;98;10398;460000
FEBRERO 2017;5;VILLA VALLECAS;2424;152161,5;331;34;126;53;36;47;1578;172000
FEBRERO 2017;5;MORATALAZ;3232;202882;319;5;66;32;28;37;1056;180000
FEBRERO 2017;5;VICÁLVARO;2424;152161,5;187;23;79;70;40;32;2929;112000
FEBRERO 2017;6;CARABANCHEL;9844;399933;1005;6;100;164;121;192;7348;465214
FEBRERO 2017;6;USERA;5564;226049;649;3;64;72;41;76;1304;268480
FEBRERO 2017;6;VILLAVERDE;5992;243438;602;5;38;89;44;27;420;265789
MARZO 2017;1;CENTRO - ARGÜELLES;41760;662430;1670;20;37;855;52;510;3895;732000
MARZO 2017;1;CHAMBERÍ;30020;359260;497;25;14;396;117;249;3077;348000
MARZO 2017;1;TETUÁN;3460;324680;742;40;5;273;47;418;6207;324000
MARZO 2017;2;ARGANZUELA;2560;114545;807;38;8;158;115;177;8315;408000
MARZO 2017;2;RETIRO;9440;328520;729;46;56;93;93;96;1335;447400
MARZO 2017;2;SALAMANCA;42201;639610;1033;32;24;189;86;39;689;384000
MARZO 2017;2;CHAMARTÍN;0;445760;1031;12;100;146;31;69;2134;275000
MARZO 2017;3;FUENCARRAL;;682818;1040;40;60;60;49;63;1660;432000
MARZO 2017;3;MONCLOA;23720;135780;830;2;35;52;54;67;8790;267000
MARZO 2017;3;LATINA;10880;659770;730;0;120;133;26;74;8360;380000
MARZO 2017;4;BARAJAS;15260;100720;198;29;43;43;36;62;867;181550
MARZO 2017;4;HORTALEZA;40460;199860;717;60;93;96;74;296;4404;454300
MARZO 2017;4;SAN BLAS;47040;360500;905;20;61;108;68;303;5318;350650
MARZO 2017;4;CIUDAD LINEAL;63760;509060;1069;4;100;114;87;482;6760;538910
MARZO 2017;5;PTE. VALLECAS;10650;586585;1494;53;212;151;155;135;6753;760000
MARZO 2017;5;VILLA VALLECAS;3195;175975,5;356;34;146;54;42;57;903;264000
MARZO 2017;5;MORATALAZ;4260;234634;384;3;60;43;26;21;8951;260000
MARZO 2017;5;VICÁLVARO;3195;175975,5;192;5;80;90;39;62;3544;192000
MARZO 2017;6;CARABANCHEL;7581;481473;1118;15;134;156;109;182;6325;460360
MARZO 2017;6;USERA;4285;272137;723;8;78;70;38;57;2036;266248
MARZO 2017;6;VILLAVERDE;4614;293071;660;16;48;90;51;49;706;263214
ABRIL 2017;1;CENTRO - ARGÜELLES;20560;724220;2078;17;53;821;51;536;4230;752000
ABRIL 2017;1;CHAMBERÍ;19060;299250;501;15;58;385;112;217;3011;348000
ABRIL 2017;1;TETUÁN;1200;354160;623;47;20;226;61;315;5708;324000
ABRIL 2017;2;ARGANZUELA;3720;85900;707;44;15;150;84;131;5829;324000
ABRIL 2017;2;RETIRO;10360;349360;620;23;63;87;71;62;1094;366500
ABRIL 2017;2;SALAMANCA;36080;746620;953;16;78;196;79;36;558;375000
ABRIL 2017;2;CHAMARTÍN;0;318390;941;4;106;134;29;83;1008;272000
ABRIL 2017;3;FUENCARRAL;;561566;866;24;62;44;63;139;6860;428000
ABRIL 2017;3;MONCLOA;21900;157660;714;0;48;45;55;56;6235;267000
ABRIL 2017;3;LATINA;5400;618760;720;0;120;218;38;77;5708;380000
ABRIL 2017;4;BARAJAS;12700;103840;177;29;46;35;28;71;1072;176950
ABRIL 2017;4;HORTALEZA;31200;208480;613;44;109;101;69;239;3173;440450
ABRIL 2017;4;SAN BLAS;24780;324180;687;21;75;99;65;347;5442;383630
ABRIL 2017;4;CIUDAD LINEAL;49340;550580;894;3;116;110;68;571;5618;501000
ABRIL 2017;5;PTE. VALLECAS;5640;543915;1408;41;189;145;138;132;8816;760000
ABRIL 2017;5;VILLA VALLECAS;1692;163175;260;30;138;52;46;36;936;264000
ABRIL 2017;5;MORATALAZ;2256;217566;283;1;53;35;19;25;4170;180000
ABRIL 2017;5;VICÁLVARO;1692;163175;155;2;66;86;38;23;815;112000
ABRIL 2017;6;CARABANCHEL;7093;469863;1055;5;107;143;118;196;8155;458426
ABRIL 2017;6;USERA;4009;265574;707;0;60;60;54;78;1355;259125
ABRIL 2017;6;VILLAVERDE;4318;286003;601;4;40;76;47;66;1789;257700
MAYO 2017;1;CENTRO - ARGÜELLES;9740;774560;2314;20;42;869;59;580;4531;712000
MAYO 2017;1;CHAMBERÍ;13280;366240;572;9;7;445;128;225;3125;348000
MAYO 2017;1;TETUÁN;9840;389040;1008;58;2;268;53;478;7043;324000
MAYO 2017;2;ARGANZUELA;4200;145475;848;26;1;195;90;84;5780;324000
MAYO 2017;2;RETIRO;13700;368900;840;24;46;116;63;77;1423;402400
MAYO 2017;2;SALAMANCA;22980;844980;1324;32;49;237;81;49;937;384000
MAYO 2017;2;CHAMARTÍN;7200;232620;1174;5;76;171;34;104;2091;267000
MAYO 2017;3;FUENCARRAL;13760;670460;740;0;126;215;42;81;7610;390000
MAYO 2017;3;MONCLOA;;538590;998;29;69;54;65;102;4887;430000
MAYO 2017;3;LATINA;16180;163880;740;0;34;55;60;61;6319;267000
MAYO 2017;4;BARAJAS;11460;127100;193;10;40;47;67;42;793;186800
MAYO 2017;4;HORTALEZA;32860;250800;816;149;64;101;149;191;1900;449600
MAYO 2017;4;SAN BLAS;46120;361580;895;12;53;114;58;255;2939;354450
MAYO 2017;4;CIUDAD LINEAL;54500;516040;1122;5;98;153;107;625;9874;501400
MAYO 2017;5;PTE. VALLECAS;8350;644130;1527;44;170;152;152;98;7343;540000
MAYO 2017;5;VILLA VALLECAS;2505;193239;361;31;144;56;59;26;874;212000
MAYO 2017;5;MORATALAZ;3340;257652;372;5;56;38;27;36;2164;340000
MAYO 2017;5;VICÁLVARO;2505;193239;221;3;52;93;53;37;2731;232000
MAYO 2017;6;CARABANCHEL;5345;531383;1232;4;110;141;129;250;9733;461588
MAYO 2017;6;USERA;3021;300347;908;0;59;60;42;53;2456;263979
MAYO 2017;6;VILLAVERDE;3254;323450;711;4;38;87;55;41;864;260111
JUNIO 2017;1;CENTRO - ARGÜELLES;8720;782340;2543;25;37;861;80;610;4957;704000
JUNIO 2017;1;CHAMBERÍ;32800;371390;644;18;17;372;134;201;2890;348000
JUNIO 2017;1;TETUÁN;1040;475280;1207;35;3;288;63;423;6840;324000
JUNIO 2017;2;ARGANZUELA;1300;148600;920;34;8;181;71;161;3375;404000
JUNIO 2017;2;RETIRO;16580;377562;829;29;44;122;75;74;1559;406500
JUNIO 2017;2;SALAMANCA;23760;844360;1280;25;46;213;87;40;918;375000
JUNIO 2017;2;CHAMARTÍN;10900;281800;1180;12;73;161;32;130;2178;277000
JUNIO 2017;3;FUENCARRAL;15980;675320;730;0;130;242;82;77;8310;390000
JUNIO 2017;3;MONCLOA;;576840;976;21;69;77;84;90;4543;428000
JUNIO 2017;3;LATINA;26140;123200;652;0;33;87;62;63;6086;267000
JUNIO 2017;4;BARAJAS;38340;255420;252;4;43;42;73;41;757;179050
JUNIO 2017;4;HORTALEZA;38340;255420;884;29;74;117;145;244;2898;429375
JUNIO 2017;4;SAN BLAS;44820;390710;1031;15;60;124;68;263;2979;389300
JUNIO 2017;4;CIUDAD LINEAL;59860;531030;1250;8;82;135;120;647;7036;454250
JUNIO 2017;5;PTE. VALLECAS;7720;643215;1715;48;189;150;154;100;8291;760000
JUNIO 2017;5;VILLA VALLECAS;2316;192964,5;387;29;100;88;83;11;264;264000
JUNIO 2017;5;MORATALAZ;3088;257286;437;2;55;47;27;33;6555;180000
JUNIO 2017;5;VICÁLVARO;2316;192964,5;270;5;57;89;54;29;1349;112000
JUNIO 2017;6;CARABANCHEL;10001;536756;1333;6;102;162;148;251;7751;460886
JUNIO 2017;6;USERA;5652;303384;929;0;57;79;42;44;1684;261222
JUNIO 2017;6;VILLAVERDE;6087;326720;796;5;32;127;65;64;1688;263458
JULIO 2017;1;CENTRO - ARGÜELLES;9740;774560;2314;20;53;768;59;580;4531;712000
JULIO 2017;1;CHAMBERÍ;34200;381690;590;3;54;317;117;187;2540;348000
JULIO 2017;1;TETUÁN;0;484610;1049;40;17;245;52;298;5413;324000
JULIO 2017;2;ARGANZUELA;12280;109660;881;1;28;165;68;150;7517;204000
JULIO 2017;2;RETIRO;9720;393160;698;10;44;83;84;87;1363;359400
JULIO 2017;2;SALAMANCA;21820;867750;1074;13;39;233;78;27;671;380000
JULIO 2017;2;CHAMARTÍN;20180;217520;919;8;58;208;45;124;1880;257000
JULIO 2017;3;FUENCARRAL;;526480;822;0;52;65;84;76;4936;429600
JULIO 2017;3;MONCLOA;31680;122200;480;0;30;75;53;59;6040;267000
JULIO 2017;3;LATINA;27220;555380;700;0;125;293;98;67;7820;380000
JULIO 2017;4;BARAJAS;13680;137800;223;6;23;48;57;32;605;182900
JULIO 2017;4;HORTALEZA;35880;274640;716;18;44;118;98;220;2518;424250
JULIO 2017;4;SAN BLAS;47640;387270;716;4;34;132;80;320;3182;401450
JULIO 2017;4;CIUDAD LINEAL;62120;546730;851;6;82;16;118;465;4488;473150
JULIO 2017;5;PTE. VALLECAS;4255;646745;1743;45;176;155;108;91;4435;540000
JULIO 2017;5;VILLA VALLECAS;1276,5;194023,5;376;9;87;90;51;32;822;212000
JULIO 2017;5;MORATALAZ;1702;258698;463;1;30;51;27;30;896;300000
JULIO 2017;5;VICÁLVARO;1276,5;194023,5;306;11;49;89;43;33;2955;192000
JULIO 2017;6;CARABANCHEL;16532;520260;1369;4;93;175;146;130;2601;449865
JULIO 2017;6;USERA;9345;294060;868;0;31;77;38;49;2624;254475
JULIO 2017;6;VILLAVERDE;10063;316680;658;4;7;114;61;29;1432;266456
