Measurement,Fecha,NMT,Situacion,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
265,2017-09-01,24,Casa de Campo,49.4,49.8,43,48.2,56.4,51.1,45.4,38.8,36.2
266,2017-09-01,25,Santa Eugenia,65.9,65.3,61.4,64.8,69.4,66.9,64.3,57.3,49.3
267,2017-09-01,26,Embajada,63.7,62.4,60.6,62.4,70.6,66.7,57.6,50.4,42.8
268,2017-09-01,27,Barajas Pueblo,61.8,61,56.2,60.4,70.4,64.2,53.2,43.6,37.2
269,2017-09-01,28,Cuatro Vientos,66.9,66,59.9,65.5,73.9,69.8,60,41.9,36.1
270,2017-09-01,29,El Pardo,60,59.1,61.1,60.3,65.9,61.7,58.1,55.8,40.1
271,2017-09-01,30,Campo de las Naciones,59.8,58.9,52.7,58.3,65.6,61.3,56,43.6,38.6
272,2017-09-01,31,Sanchinarro,62.5,62.7,52.7,61,71.1,65.9,52.6,43.1,39.2
273,2017-09-01,47,Mendez alvaro,55,58.4,48.5,54.8,66.3,54.7,48.2,40.5,36.4
274,2017-09-01,48,Castellana,62.5,61.9,58.1,61.3,67.7,64.4,60,53.1,46.7
275,2017-09-01,50,Pza de Castilla,66.1,65.3,60.7,64.7,71.5,66.5,62.5,54.8,48.3
276,2017-09-01,54,Ensanche de Vallecas,59.7,60,57.4,59.1,65.6,61.8,56.6,43.2,37.5
277,2017-09-01,55,Urbanizacion Embajada II,55.3,54.1,52.2,54.3,62.2,56.9,50.3,45.3,42.4
278,2017-09-01,86,Tres Olivos,59.2,57.6,49.6,57.3,66.6,60.3,51.1,38.8,36.2
