Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula
439607,989;4473548,993;28/05/2014;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;1;301110056
439542,9897;4473439,356;28/05/2014;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;15;301110063
439755,4202;4473791,384;27/05/2014;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;13;301110042
439724,4731;4474317,372;26/05/2014;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;6;301110014
439923,6811;4474528,889;26/05/2014;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;11;301110012
439735,2317;4474489,959;26/05/2014;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;8;301110010
439343,0307;4473875,826;27/05/2014;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;2;301110031
439232,4395;4473811,933;27/05/2014;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;3;301110032
439481,4057;4473477,409;28/05/2014;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;301110046
439833,9635;4474515,843;26/05/2014;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;301110011
439885,3223;4473783,409;27/05/2014;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;6;301110041
439774,3871;4473741,008;27/05/2014;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;34;301110045
439781,8785;4473598,55;28/05/2014;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;301110058
439819,5452;4473647,634;27/05/2014;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;301110048
439834,739;4473661,909;27/05/2014;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;301110049
439153,1012;4474042,238;28/05/2014;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120022
438968,1585;4474047,693;01/07/2014;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;301120021
439752,7516;4473977,872;26/05/2014;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;3;301110030
439317,7117;4473348,222;28/05/2014;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;301110069
439363,041;4473727,75;27/05/2014;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;301110035
439497,7119;4473698,467;27/05/2014;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;301110044
439628,3223;4474667,409;26/05/2014;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;301110007
439693,318;4474587,814;26/05/2014;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;301110009
439815,9214;4474298,6;26/05/2014;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;9;301110013
439549,6247;4474178,174;26/05/2014;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;12;301110017
439718,1791;4474760,224;26/05/2014;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;16;301110004
439897,9673;4473827,636;27/05/2014;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;7;301110040
439438,2952;4473466,884;28/05/2014;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;301110061
439485,6702;4473409,509;28/05/2014;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;8;301110065
439561,7898;4473267,006;28/05/2014;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;4;301110072
439529,7898;4473271,256;28/05/2014;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;7;301110073
439718,1449;4473601,464;28/05/2014;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;10;301110057
439724,2952;4473505,384;28/05/2014;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;13;301110059
439703,239;4473689,409;27/05/2014;01  CENTRO;01-01 PALACIO;HUMILLADERO, PLAZA, DEL;5;301110036
439833,8088;4474770,94;26/05/2014;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;11;301110005
439629,3439;4474143,39;26/05/2014;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;5;301110018
439670,2133;4474954,732;26/05/2014;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;301110001
439713,3511;4474899,919;26/05/2014;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;28;301110002
439736,575;4474856,085;26/05/2014;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;22;301110003
439815,0708;4474702,921;26/05/2014;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;1;301110006
439396,2082;4474068,682;26/05/2014;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;301110024
439327,6308;4474007,468;30/08/2016;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;301110023
439384,1246;4473815,009;27/05/2014;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;12;301110033
439512,5944;4473852,605;27/05/2014;01  CENTRO;01-01 PALACIO;MORERIA, PLAZA, DE LA;3;301110039
439596,3217;4474269,236;26/05/2014;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;2;301110016
439621,3422;4473423,039;28/05/2014;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;1;301110064
439526,2831;4473772,539;27/05/2014;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;11;301110043
439340,4617;4473439,055;28/05/2014;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;21;301110062
439621,5507;4473863,636;27/05/2014;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;8;301110038
439417,045;4473405,555;28/05/2014;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;13;301110066
439365,8005;4473644,224;27/05/2014;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;4;301110051
439599,9619;4473649,55;27/05/2014;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;2;301110050
439473,0307;4473601,576;27/05/2014;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;14;301110054
439500,6702;4473595,509;27/05/2014;01  CENTRO;01-01 PALACIO;SAN ISIDRO LABRADOR, CALLE, DE;11;301110055
439703,7788;4473820,441;27/05/2014;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;10;301110034
439263,5484;4473950,959;26/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;35;301110025
439316,9016;4473935,377;26/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;29;301110026
439415,3436;4473949,135;26/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;23;301110027
439538,2025;4473951,358;26/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;24;301110029
439667,6324;4473907,894;27/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;13;301110037
439073,2807;4473645,576;27/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;23;301110052
439156,3223;4473454,076;27/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;43;301110053
439121,6752;4473762,896;28/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;9;301110060
439219,1557;4473359,451;28/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;301110068
439356,2812;4473286,115;28/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;69;301110071
439479,5723;4473224,243;28/05/2014;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;301110075
439922,1557;4474676,326;26/04/2014;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;2;301110008
439929,1557;4473723,826;27/05/2014;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;50;301110047
