Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines
439587,54;4473575,42;11/11/2005;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;4;PMR;;1;
439560,96;4473611,69;02/07/2003;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;10;PMR;;1;
439112,71;4473644,19;24/02/2006;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;3;PMR;;1;
439139,5;4473639,45;01/01/1900;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;PMR;;1;RESERVADO VEHICULOSMINUSVALIDOSAUTORIZADOS
439690,59;4474520,3;04/06/2003;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;11;PMR;;3;
439873,82;4474104,72;20/05/1998;01  CENTRO;01-01 PALACIO;BRINGAS, TRAVESIA, DE;Fte 5;PMR;;1;
439801,52;4473651,71;15/06/2012;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;6;PMR;;1;
439792,32;4473666,4;11/11/2016;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;7;PMR;Batería;1;
439868,04;4474182,06;01/07/2010;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;1;PMR;;1;
439627,54;4474222,12;17/11/2009;01  CENTRO;01-01 PALACIO;CRUZADA, CALLE, DE LA;3;PMR;;2;Reservado:[conductores vehículosminusválidos autorizados]
439321,13;4473343,89;22/08/1995;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;PMR;;1;RESERVADO:CONDUCTORES VEHICULOSMINUSVALIDOS AUTORIZADOS
439640,96;4474637,04;19/09/2014;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;3;PMR;Línea;1;
439814,53;4474325,31;01/12/2004;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;15;PMR;;1;
439763,08;4474879,45;11/05/2009;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;6;PMR;;1;
439360,22;4473736,06;15/05/2008;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;5;PMR;Línea;;
439329,55;4473720,68;11/05/2011;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;8;PMR;;1;
439656,01;4474146,74;28/10/2010;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;1;PMR;;1;
439693,74;4474923,29;01/07/2010;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;43;PMR;;1;
439428,58;4474063,49;01/12/2004;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;81;PMR;;2;
439397,86;4473813,06;18/01/2001;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;17;PMR;;1;
439677,2;4473680,08;31/03/2004;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;7;PMR;;1;
439379,45;4473447,89;21/10/2009;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;15;PMR;;1;
439608,18;4473840,32;19/04/2017;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;10;PMR;Línea;;
439369,28;4473635,71;11/05/2009;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;2;PMR;;1;
439468,42;4473597,72;17/09/2014;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16;PMR;Línea;1;
439836,4;4473939,81;15/03/2002;01  CENTRO;01-01 PALACIO;SAN JUSTO, CALLE, DE;1;PMR;;1;
439707,69;4473835,38;07/03/2012;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;6;PMR;;1;
439827,41;4474703,31;10/03/2003;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;11;PMR;;1;
439888,06;4474678,42;30/11/2009;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;14;PMR;;1;RESERVADO VEHICULOMINUSVALIDO AUTORIZADOLABORABLES DE 8 A 15 H.
439522,95;4473947,27;30/09/2011;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;24;PMR;;1;
439321,47;4473936,32;25/04/2013;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;29;PMR;Línea;1;
