"dc:identifier";"dc:modified";"id";"lpgc:NOMBRE_VIA";"lpgc:PARTICULA";"lpgc:TIPO_VIA";"lpgc:TRAMO_VIA"
"2856";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2856";"CASTOR GOMEZ NAVARRO";" ";"CALLE";"2856"
"2852";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2852";"CASTOR GOMEZ NAVARRO";" ";"CALLE";"2852"
"2859";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2859";"FOLIAS";" ";"CALLE";"2859"
"2858";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2858";"FOLIAS";" ";"CALLE";"2858"
"2857";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2857";"FOLIAS";" ";"CALLE";"2857"
"2851";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2851";"FOLIAS";" ";"CALLE";"2851"
"2863";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2863";"ISAS";" ";"CALLE";"2863"
"2862";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2862";"ISAS";" ";"CALLE";"2862"
"2861";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2861";"ISAS";" ";"CALLE";"2861"
"2868";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2868";"ISAS";" ";"CALLE";"2868"
"2874";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2874";"MAZURCA";" ";"CALLE";"2874"
"2873";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2873";"MAZURCA";" ";"CALLE";"2873"
"2878";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2878";"MASEQUERA";" ";"CALLE";"2878"
"2876";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2876";"MASEQUERA";" ";"CALLE";"2876"
"2875";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2875";"MASEQUERA";" ";"CALLE";"2875"
"2872";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2872";"MASEQUERA";" ";"CALLE";"2872"
"2886";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2886";"RANCHO DE ANIMAS";" ";"CALLE";"2886"
"2884";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2884";"RANCHO DE ANIMAS";" ";"CALLE";"2884"
"2881";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2881";"RANCHO DE ANIMAS";" ";"CALLE";"2881"
"2888";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2888";"SALTONAS";" ";"CALLE";"2888"
"2885";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2885";"SALTONAS";" ";"CALLE";"2885"
"2897";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2897";"TAJARASTE";" ";"CALLE";"2897"
"2893";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2893";"TAJARASTE";" ";"CALLE";"2893"
"2892";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2892";"TAJARASTE";" ";"CALLE";"2892"
"2739";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2739";"TAJARASTE";" ";"CALLE";"2739"
"2900";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2900";"ZORONDONGO";" ";"CALLE";"2900"
"2895";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2895";"ZORONDONGO";" ";"CALLE";"2895"
"2891";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2891";"ZORONDONGO";" ";"CALLE";"2891"
"2902";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2902";"POLCA";" ";"CALLE";"2902"
"2901";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2901";"POLCA";" ";"CALLE";"2901"
"2899";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2899";"POLCA";" ";"CALLE";"2899"
"2907";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2907";"ARRORRO";" ";"CALLE";"2907"
"2906";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2906";"ARRORRO";" ";"CALLE";"2906"
"2905";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2905";"ARRORRO";" ";"CALLE";"2905"
"2904";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2904";"ARRORRO";" ";"CALLE";"2904"
