id;about;title;estado;bicisDisponibles;anclajesDisponibles;geometry;lastUpdated;description;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/101";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=101";"C/ Doctor Iranzo -  C/ Escultor Benlliure";"OPN";"17";"4";"-0.8635188065232073,41.64990142803142";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 17</li><li>Anclajes disponibles: 4</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/102";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=102";"C/ Pedro Joaquín Soler - Coso";"OPN";"21";"0";"-0.8778279304764041,41.65123159281204";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 21</li><li>Anclajes disponibles: 0</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/103";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=103";"C/ Lacarra de Miguel - C/ San Vicente Martir";"OPN";"10";"11";"-0.8817090628114194,41.644703586977094";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/104";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=104";"C/ Madre Rafols - Esquina D.G.A.";"OPN";"11";"10";"-0.8895400150663142,41.65348573628704";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/108";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=108";"Plaza Emperador Carlos V";"OPN";"5";"16";"-0.8984653307918409,41.63777471749554";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/113";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=113";"Vía Hispanidad - Avda. Gómez Laguna";"OPN";"9";"12";"-0.9142454492699339,41.64069089549357";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/115";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=115";"Vía Hispanidad - C/ Océano Atlántico";"OPN";"14";"7";"-0.9174523950449878,41.64671296885167";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 14</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/118";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=118";"Avda. Juan Pablo II - Avda. Gómez Laguna";"OPN";"14";"7";"-0.9105173998141021,41.641453867954056";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 14</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/119";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=119";"Avda. Juan Carlos I - C/ Ramón Sainz de Varanda";"OPN";"5";"15";"-0.9078914134678145,41.63864082381775";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/120";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=120";"C/ Asín y Palacios - C/ Pedro IV El Ceremonioso";"OPN";"6";"15";"-0.9068034577118427,41.6348067858854";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/121";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=121";"C/ Eduardo Ibarra - C/ Violante de Hungría";"OPN";"11";"10";"-0.9019123463941845,41.63909876457145";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/125";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=125";"Via Univérsitas - C/ Hermanos Gambra";"OPN";"9";"11";"-0.9092812760844169,41.64912091353588";2017-11-06T17:04:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 18:04</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
