route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, wheelchair_accessible
8__171___,11_8__171___,11_8__171___-8__171____1_16:50:00_2_cc_ _36_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,6_8__171___,6_8__171___-8__171____1_07:35:00_1_-__6_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,4_8__171___,4_8__171___-8__171____1_14:30:00_1_-__26_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
8__171___,5_8__171___,5_8__171___-8__171____1_06:35:00_2_cc_ _5_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,6_8__171___,6_8__171___-8__171____2_15:00:00_2_-__16_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,105_9__1__006_,105_9__1__006_-9__1__006__1_16:40:00_1_-__16_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_12:30:00_2_-__7_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
9__2__006_,716_9__2__006_,716_9__2__006_-9__2__006__1_13:05:00_2_-__2_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
8__171___,3_8__171___,3_8__171___-8__171____1_16:10:00_2_cc_ _33_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_12:40:00_1_-__10_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_21:20:00_1_-__23_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_19:20:00_1_-__20_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_16:20:00_1_-__16_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,4_8__171___,4_8__171___-8__171____2_17:00:00_1_-__17_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
9__1__006_,804_9__1__006_,804_9__1__006_-9__1__006__1_14:00:00_1_-__12_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__2__006_,112_9__2__006_,112_9__2__006_-9__2__006__1_15:10:00_2_-__8_9__2__006_,PºCHOPERA-AV.CAMILO JOSÉ CELA,lv 2 ALCOBENDAS,1,0
9__2__006_,125_9__2__006_,125_9__2__006_-9__2__006__1_07:40:00_1_-__3_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
8__171___,6_8__171___,6_8__171___-8__171____2_22:00:00_1_-__24_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__3__006_,77_9__3__006_,77_9__3__006_-9__3__006__3_18:30:00_2_-__16_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
9__2__006_,716_9__2__006_,716_9__2__006_-9__2__006__1_13:45:00_1_-__10_9__2__006_,AV.LA VEGA-C.C.LA VEGA,lv 2 LA MORALEJA,0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_15:10:00_2_-__11_9__3__006_,AV.ERMITA-EST.LA MORALEJA,3 CIRCULAR (A.Vega-Soto-Encinar),1,0
8__171___,1_8__171___,1_8__171___-8__171____1_06:00:00_2_cc_ _1_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,4_8__171___,4_8__171___-8__171____3_19:50:00_1_-__13_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,6_8__171___,6_8__171___-8__171____2_20:00:00_1_-__22_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,3_8__171___,3_8__171___-8__171____3_20:00:00_2_-__15_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
8__171___,1_8__171___,1_8__171___-8__171____2_14:20:00_1_-__13_8__171___,AV.GUADALIX-CENTRO DE SALUD,Termina en Av. Guadalix Centro de Salud,0,0
9__1__006_,705_9__1__006_,705_9__1__006_-9__1__006__1_16:00:00_1_-__15_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,805_9__1__006_,805_9__1__006_-9__1__006__1_14:40:00_1_-__13_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__1__006_,104_9__1__006_,104_9__1__006_-9__1__006__1_08:00:00_1_-__3_9__1__006_,CAMINO HUERTA-CºANCHO,1 CIRCULAR (A.Vega-Soto-Moraleja),0,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_12:20:00_1_-__10_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,4_8__171___,4_8__171___-8__171____1_12:30:00_1_-__22_8__171___,AV.GUADALIX-CENTRO COMERCIAL,171 URB. SANTO DOMINGO,0,0
8__171___,6_8__171___,6_8__171___-8__171____1_10:40:00_2_cc_ _20_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
9__3__006_,76_9__3__006_,76_9__3__006_-9__3__006__3_15:00:00_1_-__14_9__3__006_,PºPARQUES-CTRA.A1,3 CIRCULAR (A.Vega-Soto-Encinar),0,0
8__171___,4_8__171___,4_8__171___-8__171____3_17:00:00_2_-__12_8__171___,INTERCAMBIADOR DE PLAZA CASTILLA,171 MADRID (Pza. Castilla),1,0
