CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;X_ETRS89;Y_ETRS89
1;CENTRO;PLAZA;ISABEL II;7;;4.398.398.515.798.900;4.474.444.743.744.640
1;CENTRO;PLAZA;EMPERADOR CARLOS V;9;;4.412.263.989.947.490;4.473.338.552.926.720
1;CENTRO;PLAZA;JACINTO BENAVENTE;3;;4.402.661.916.949.950;4.473.997.407.513.240
1;CENTRO;PLAZA;TIRSO DE MOLINA;14;;44.019.504.248.432.900;4.473.762.022.118.720
1;CENTRO;CALLE;SAN ANDRES;20;PLAZA DOS DE MAYO;4.403.053.293.062.440;4.475.393.997.985.420
1;CENTRO;PARQUE;MADRID RIO;;"CERCANO A QUIOSCO ""BONAPARTE""";438.780.686.556.434;4.474.293.682.548.060
1;CENTRO;PLAZA;CARMEN;2;;44.034.068.514.453.500;4.474.511.655.912.540
1;CENTRO;PLAZA;CAMPILLO DEL MUNDO NUEVO;9;;439.901.310;4.473.160.810
2;ARGANZUELA;GLORIETA;EMBAJADORES;7;;440.340.502.595.823;4.472.915.522.495.990
2;ARGANZUELA;CALLE;MENDEZ ALVARO ;5;;4.417.235.839.528.230;447.256.206.074.238
2;ARGANZUELA;CALLE;FERROCARRIL;1;;441.077.370;4.472.466.170
3;RETIRO;PASEO;INFANTA ISABEL;9;;44.150.666.754.864.400;4.473.234.044.979.890
4;SALAMANCA;CALLE;SERRANO;32;;4.416.245.857.204.550;447.518.529.602.858
4;SALAMANCA           ;AVENIDA;FELIPE II;12;;4.426.618.937.614.110;4.475.023.178.606.280
4;SALAMANCA;PLAZA;MANUEL BECERRA;7;;44.325.338.364.360.200;4.475.546.390.901.360
5;CHAMARTIN;PLAZA;CASTILLA;9;;4.416.064.695.112.840;4.479.655.688.535.210
6;TETUAN;PARQUE;RODRIGUEZ SAHAGUN;S/N;;4.397.324.695.644.010;44.800.436.668.744.200
9;MONCLOA-ARAVACA     ;PASEO;PINTOR ROSALES;14;;43.905.046.516.709.000;4.475.223.003.139.660
8;FUENCARRAL - EL PARDO;CALLE;COSTA BRAVA;13;;4.405.938.755.796.360;4.482.929.731.880.930
12;USERA;AVENIDA;RAFAELA YBARRA;S/N;PARQUE DE PRADOLONGO;4.395.625.824.081.620;4.469.943.716.288.720
12;USERA;CALLE;CAMINO DE PERALES;48;PARQUE LINEAL DEL MANZANARES;4.413.962.243.137.750;4.470.022.980.114.300
13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;1;CALLE 30;4.431.856.696.711.140;44.721.813.702.513.500
13;PUENTE DE VALLECAS;AVENIDA;DEMOCRACIA;1;;44.695.004.317.688.000;4.470.373.225.960.330
13;PUENTE DE VALLECAS;CALLE;MANCHA;1;;443.197.050;4.470.280.970
15;CIUDAD LINEAL;CALLE;MISTERIOS;1;;44.581.242.484.243.500;4.476.575.270.656.780
17;VILLAVERDE;CALLE;SANTA PETRONILA;15;INTERCAMBIADOR VILLAVERDE;44.118.437.902.738.100;44.668.443.700.481.400
17;VILLAVERDE;PLAZA;AGATA;1;;43.977.575.080.961.000;4.466.456.574.980.860
18;VILLA DE VALLECAS   ;AVENIDA;SANTA EUGENIA;79;;4.483.773.303.911.260;4.470.845.421.365.850
20;SAN BLAS-CANILLEJAS ;PLAZA;ALSACIA;1;INTERCAMBIADOR ALSACIA;4.471.485.784.102.550;4.474.274.741.817.040
20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;632;INTERCAMBIADOR CANILLEJAS;4.483.326.397.154.300;4.477.759.963.398.590
21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO DE PRIMAVERA;44.909.813.658.980.700;4.479.376.138.066.930
21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO CENTRAL;44.855.172.539.384.100;4.479.241.618.914.060
21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;OESTE AUDITORIO;44.839.774.902.227.600;4.478.599.446.737.630
