VIA_TYPE;VIA_INFIXE;VIA_NAME;VIA_NAME_WITH_ACCENT;DISTRIT_CODE;NEIGHB_CODE
CALLE;DEL;ABAD JUAN CATALAN;ABAD JUAN CATALÁN;19;2
CALLE;DE LA;ABADA;ABADA;1;6
CALLE;DE LOS;ABADES;ABADES;1;2
CALLE;DE LA;ABADESA;ABADESA;6;5
CALLE;DE;ABALOS;ÁBALOS;15;6
CALLE;DEL;ABANICO;ABANICO;20;3
CALLE;DE;ABANTOS;ABANTOS;5;3
CALLE;DEL;ABARDERO;ABARDERO;8;6
CALLE;DE;ABARZUZA;ABÁRZUZA;16;4
CALLE;DE;ABAY;ABAY;17;1
CALLE;DE;ABDON TERRADAS;ABDÓN TERRADAS;7;1
CALLE;DEL;ABEDUL;ABEDUL;5;5
CALLE;DE;ABEGONDO;ABEGONDO;16;4
CALLE;DEL;ABEJARUCO;ABEJARUCO;9;7
CALLE;DE LA;ABEJUELA;ABEJUELA;10;4
CALLE;DE;ABEL;ABEL;6;1
CALLE;DE LAS;ABELIAS;ABELIAS;16;1
CALLE;DE;ABELLA;ABELLA;11;6
CALLE;DE;ABERTURA;ABERTURA;16;4
CALLE;DEL;ABETAL;ABETAL;8;6
CALLE;DEL;ABETO;ABETO;9;5
CALLE;DE;ABIZANDA;ABIZANDA;16;4
CALLE;DEL;ABOLENGO;ABOLENGO;11;4
AVENIDA;DE;ABRANTES;ABRANTES;11;5
CALLE;DE;ABRIL;ABRIL;11;7
CALLE;DE;ABTAO;ABTAO;20;6
RONDA;DE LA;ABUBILLA;ABUBILLA;3;1
CALLE;DE;ABUNDIO GARCIA ROMAN;ABUNDIO GARCÍA ROMÁN;16;2
CALLE;DE;ABUÑOL;ABUÑOL;16;4
PASEO;DE LAS;ACACIAS;ACACIAS;2;2
CALLE;DE LA;ACADEMIA;ACADEMIA;3;5
CALLE;DE;ACADEMOS;ACADEMOS;16;1
CALLE;DE;ACAMAR;ACAMAR;9;7
CALLE;DEL;ACANTILADO;ACANTILADO;9;1
CALLE;DE LA;ACANTITA;ACANTITA;17;3
CALLE;DEL;ACANTO;ACANTO;2;7
CARRETERA;DE;ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.;13;1
CARRETERA;DE;ACCESO A LA ESTACION DE O'DONNELL;ACCESO A LA ESTACIÓN DE O'DONNELL;20;6
CALLE;DE;ACEBEDO;ACEBEDO;16;4
CALLE;DE;ACEBES;ACEBES;17;1
CALLE;DEL;ACEBO;ACEBO;5;4
CALLE;DEL;ACEBUCHE;ACEBUCHE;9;7
CAMINO;DE LOS;ACEITEROS;ACEITEROS;18;1
CALLE;DE;ACENTEJO;ACENTEJO;15;2
CALLE;DE;ACEREIRO;ACEREIRO;10;7
CALLE;DE;ACEUCHAL;ACEUCHAL;11;3
PLAZA;DE LA;ACHICORIA;ACHICORIA;11;4
CALLE;DE;ACHURI;ACHURI;10;3
CALLE;DE;ACONCAGUA;ACONCAGUA;15;2
CALLE;DEL;ACONITO;ACÓNITO;16;3
CALLE;DE LA;ACUARELA;ACUARELA;6;5
CALLE;DE;ACUARIO;ACUARIO;21;2
CALLE;DEL;ACUEDUCTO;ACUEDUCTO;21;3
CALLE;DEL;ACUEDUCTO DE SEGOVIA;ACUEDUCTO DE SEGOVIA;6;1
CALLE;DEL;ACUERDO;ACUERDO;11;6
CALLE;DE;ADAM SMITH;ADAM SMITH;1;5
CALLE;DE;ADANERO;ADANERO;8;8
CALLE;DE;ADELA BALBOA;ADELA BALBOA;10;5
CALLE;DE LAS;ADELFAS;ADELFAS;6;1
CALLE;DE;ADELINA PATTI;ADELINA PATTI;3;2
CALLE;DE;ADEMUZ;ADEMUZ;8;1
CALLE;DE;ADOLFO BIOY CASARES;ADOLFO BIOY CASARES;11;5
CALLE;DE;ADOLFO MARSILLACH;ADOLFO MARSILLACH;18;3
CALLE;DE;ADONIS;ADONIS;18;3
CALLE;DE;ADORA;ADORA;10;7
CALLE;DE;ADRA;ADRA;12;3
PASAJE;DE;ADRA;ADRA;13;5
CALLE;DE;ADRADA DE HAZA;ADRADA DE HAZA;13;5
CALLE;DE;ADRIAN ANDRES;ADRIÁN ANDRÉS;13;5
CALLE;DE;ADRIAN PULIDO;ADRIÁN PULIDO;9;4
CALLE;DE;ADRIANO DE UTRECHT;ADRIANO DE UTRECHT;6;1
CALLE;DE LA;ADUANA;ADUANA;16;6
CALLE;DE LA;AERONAVE;AERONAVE;1;6
CAMINO;DEL;AEROPUERTO;AEROPUERTO;21;4
CALLE;DEL;AFECTO;AFECTO;21;2
CALLE;DE LOS;AFLUENTES;AFLUENTES;17;4
CALLE;DE;AFUERAS A SAN ROQUE;AFUERAS A SAN ROQUE;17;1
CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;6
CALLE;DE;AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;6
PUENTE;DE LA;AGACHADIZA;AGACHADIZA;15;3
CALLE;DE;AGAMI;AGAMI;15;4
CALLE;DE;AGASTIA;AGASTIA;15;5
CALLE;DE;AGATA;ÁGATA;15;6
PLAZA;DE;AGATA;ÁGATA;15;7
CALLE;DE;AGATHA CHRISTIE;AGATHA CHRISTIE;17;1
CALLE;DEL;AGAVE;ÁGAVE;17;1
CALLE;DE;AGES;AGÉS;16;6
CALLE;DE;AGILA;AGILA;6;5
CALLE;DE;AGOSTO;AGOSTO;8;6
CALLE;DEL;AGRACEJO;AGRACEJO;10;2
CALLE;DE;AGRAMUNT;AGRAMUNT;20;6
CALLE;DE;AGREDA;ÁGREDA;6;5
PLAZA;DE;AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;21;4
CALLE;DEL;AGUACATE;AGUACATE;16;4
PLAZA;DEL;AGUADOR;AGUADOR;11;6
CALLE;DE;AGUADULCE;AGUADULCE;11;7
CALLE;DE;AGUARON;AGUARÓN;21;4
CALLE;DE LAS;AGUAS;AGUAS;9;5
CALLE;DE;AGUAVIVA;AGUAVIVA;1;1
CALLE;DE;AGUEDA DIEZ;ÁGUEDA DÍEZ;20;6
PLAZA;DE;AGUEDA DIEZ;ÁGUEDA DÍEZ;11;3
CALLE;DE;AGUETOL;AGUETOL;11;3
CALLE;DEL;AGUILA;ÁGUILA;21;4
CAMINO;DEL;AGUILA DE SAN JORGE;ÁGUILA DE SAN JORGE;1;1
CALLE;DE;AGUILAFUENTE;AGUILAFUENTE;9;4
CALLE;DE;AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;9;4
CALLE;DE;AGUILAR DEL RIO;AGUILAR DEL RÍO;11;6
CALLE;DE LAS;AGUILEÑAS;AGUILEÑAS;6;4
CALLE;DE;AGUILON;AGUILÓN;2;3
CALLE;DE;AGUIRRE;AGUIRRE;4;1
CALLE;DE LA;AGUJA;AGUJA;20;3
CALLE;DE;AGUSTIN CALVO;AGUSTÍN CALVO;16;3
CALLE;DE;AGUSTIN DE BETANCOURT;AGUSTÍN DE BETANCOURT;7;5
CALLE;DE;AGUSTIN DE FOXA;AGUSTÍN DE FOXÁ;5;6
CALLE;DE;AGUSTIN DE ITURBIDE;AGUSTÍN DE ITURBIDE;16;4
CALLE;DE;AGUSTIN DE ROJAS;AGUSTÍN DE ROJAS;5;3
CALLE;DE;AGUSTIN DURAN;AGUSTÍN DURÁN;4;4
CALLE;DE;AGUSTIN GARCIA MALLA;AGUSTÍN GARCÍA MALLA;18;2
PLAZA;DE;AGUSTIN GONZALEZ;AGUSTÍN GONZÁLEZ;15;1
CALLE;DE;AGUSTIN LARA;AGUSTÍN LARA;9;7
CALLE;DE;AGUSTIN QUEROL;AGUSTÍN QUEROL;3;5
CALLE;DE;AGUSTIN RODRIGUEZ BONAT;AGUSTÍN RODRÍGUEZ BONAT;11;2
CALLE;DE;AGUSTIN VIÑAMATA;AGUSTÍN VIÑAMATA;3;2
CALLE;DE;AGUSTINA DE ARAGON;AGUSTINA DE ARAGÓN;4;5
CALLE;DE;AGUSTINA FIERRA;AGUSTINA FIERRA;11;6
CALLE;DE LOS;AHIJONES;AHIJONES;13;3
PASAJE;DE;AHILLONES;AHILLONES;16;4
AVENIDA;DE LOS;AHONES;AHONES;16;2
PLAZA;DEL;AHORRO;AHORRO;17;5
CALLE;DE LOS;AHUMAOS;AHUMAOS;19;1
CALLE;DEL;AILANTO;AILANTO;6;4
CALLE;DE;AINSA;AÍNSA;20;5
CALLE;DEL;AIRE;AIRE;21;4
CALLE;DE;AIZGORRI;AIZGORRI;4;3
CALLE;DE;AJALVIR;AJALVIR;9;3
CALLE;DEL;AJENJO;AJENJO;9;7
CALLE;DE;AJOFRIN;AJOFRÍN;20;3
